,Close,High,Low,Open,Volume,"('Close', 'XLI')","('High', 'XLI')","('Low', 'XLI')","('Open', 'XLI')","('Volume', 'XLI')","('Close', 'XLI').1","('High', 'XLI').1","('Low', 'XLI').1","('Open', 'XLI').1","('Volume', 'XLI').1","('Close', 'XLI').2","('High', 'XLI').2","('Low', 'XLI').2","('Open', 'XLI').2","('Volume', 'XLI').2","('Close', 'XLI').3","('High', 'XLI').3","('Low', 'XLI').3","('Open', 'XLI').3","('Volume', 'XLI').3","('Close', 'XLI').4","('High', 'XLI').4","('Low', 'XLI').4","('Open', 'XLI').4","('Volume', 'XLI').4","('Close', 'XLI').5","('High', 'XLI').5","('Low', 'XLI').5","('Open', 'XLI').5","('Volume', 'XLI').5","('Close', 'XLI').6","('High', 'XLI').6","('Low', 'XLI').6","('Open', 'XLI').6","('Volume', 'XLI').6","('Close', 'XLI').7","('High', 'XLI').7","('Low', 'XLI').7","('Open', 'XLI').7","('Volume', 'XLI').7","('Close', 'XLI').8","('High', 'XLI').8","('Low', 'XLI').8","('Open', 'XLI').8","('Volume', 'XLI').8","('Close', 'XLI').9","('High', 'XLI').9","('Low', 'XLI').9","('Open', 'XLI').9","('Volume', 'XLI').9","('Close', 'XLI').10","('High', 'XLI').10","('Low', 'XLI').10","('Open', 'XLI').10","('Volume', 'XLI').10","('Close', 'XLI').11","('High', 'XLI').11","('Low', 'XLI').11","('Open', 'XLI').11","('Volume', 'XLI').11","('Close', 'XLI').12","('High', 'XLI').12","('Low', 'XLI').12","('Open', 'XLI').12","('Volume', 'XLI').12","('Close', 'XLI').13","('High', 'XLI').13","('Low', 'XLI').13","('Open', 'XLI').13","('Volume', 'XLI').13","('Close', 'XLI').14","('High', 'XLI').14","('Low', 'XLI').14","('Open', 'XLI').14","('Volume', 'XLI').14","('Close', 'XLI').15","('High', 'XLI').15","('Low', 'XLI').15","('Open', 'XLI').15","('Volume', 'XLI').15","('Close', 'XLI').16","('High', 'XLI').16","('Low', 'XLI').16","('Open', 'XLI').16","('Volume', 'XLI').16","('Close', 'XLI').17","('High', 'XLI').17","('Low', 'XLI').17","('Open', 'XLI').17","('Volume', 'XLI').17","('Close', 'XLI').18","('High', 'XLI').18","('Low', 'XLI').18","('Open', 'XLI').18","('Volume', 'XLI').18","('Close', 'XLI').19","('High', 'XLI').19","('Low', 'XLI').19","('Open', 'XLI').19","('Volume', 'XLI').19","('Close', 'XLI').20","('High', 'XLI').20","('Low', 'XLI').20","('Open', 'XLI').20","('Volume', 'XLI').20","('Close', 'XLI').21","('High', 'XLI').21","('Low', 'XLI').21","('Open', 'XLI').21","('Volume', 'XLI').21","('Close', 'XLI').22","('High', 'XLI').22","('Low', 'XLI').22","('Open', 'XLI').22","('Volume', 'XLI').22","('Close', 'XLI').23","('High', 'XLI').23","('Low', 'XLI').23","('Open', 'XLI').23","('Volume', 'XLI').23","('Close', 'XLI').24","('High', 'XLI').24","('Low', 'XLI').24","('Open', 'XLI').24","('Volume', 'XLI').24","('Close', 'XLI').25","('High', 'XLI').25","('Low', 'XLI').25","('Open', 'XLI').25","('Volume', 'XLI').25","('Close', 'XLI').26","('High', 'XLI').26","('Low', 'XLI').26","('Open', 'XLI').26","('Volume', 'XLI').26","('Close', 'XLI').27","('High', 'XLI').27","('Low', 'XLI').27","('Open', 'XLI').27","('Volume', 'XLI').27","('Close', 'XLI').28","('High', 'XLI').28","('Low', 'XLI').28","('Open', 'XLI').28","('Volume', 'XLI').28","('Close', 'XLI').29","('High', 'XLI').29","('Low', 'XLI').29","('Open', 'XLI').29","('Volume', 'XLI').29","('Close', 'XLI').30","('High', 'XLI').30","('Low', 'XLI').30","('Open', 'XLI').30","('Volume', 'XLI').30","('Close', 'XLI').31","('High', 'XLI').31","('Low', 'XLI').31","('Open', 'XLI').31","('Volume', 'XLI').31","('Close', 'XLI').32","('High', 'XLI').32","('Low', 'XLI').32","('Open', 'XLI').32","('Volume', 'XLI').32","('Close', 'XLI').33","('High', 'XLI').33","('Low', 'XLI').33","('Open', 'XLI').33","('Volume', 'XLI').33","('Close', 'XLI').34","('High', 'XLI').34","('Low', 'XLI').34","('Open', 'XLI').34","('Volume', 'XLI').34","('Close', 'XLI').35","('High', 'XLI').35","('Low', 'XLI').35","('Open', 'XLI').35","('Volume', 'XLI').35","('Close', 'XLI').36","('High', 'XLI').36","('Low', 'XLI').36","('Open', 'XLI').36","('Volume', 'XLI').36","('Close', 'XLI').37","('High', 'XLI').37","('Low', 'XLI').37","('Open', 'XLI').37","('Volume', 'XLI').37","('Close', 'XLI').38","('High', 'XLI').38","('Low', 'XLI').38","('Open', 'XLI').38","('Volume', 'XLI').38","('Close', 'XLI').39","('High', 'XLI').39","('Low', 'XLI').39","('Open', 'XLI').39","('Volume', 'XLI').39","('Close', 'XLI').40","('High', 'XLI').40","('Low', 'XLI').40","('Open', 'XLI').40","('Volume', 'XLI').40","('Close', 'XLI').41","('High', 'XLI').41","('Low', 'XLI').41","('Open', 'XLI').41","('Volume', 'XLI').41","('Close', 'XLI').42","('High', 'XLI').42","('Low', 'XLI').42","('Open', 'XLI').42","('Volume', 'XLI').42","('Close', 'XLI').43","('High', 'XLI').43","('Low', 'XLI').43","('Open', 'XLI').43","('Volume', 'XLI').43","('Close', 'XLI').44","('High', 'XLI').44","('Low', 'XLI').44","('Open', 'XLI').44","('Volume', 'XLI').44","('Close', 'XLI').45","('High', 'XLI').45","('Low', 'XLI').45","('Open', 'XLI').45","('Volume', 'XLI').45","('Close', 'XLI').46","('High', 'XLI').46","('Low', 'XLI').46","('Open', 'XLI').46","('Volume', 'XLI').46","('Close', 'XLI').47","('High', 'XLI').47","('Low', 'XLI').47","('Open', 'XLI').47","('Volume', 'XLI').47","('Close', 'XLI').48","('High', 'XLI').48","('Low', 'XLI').48","('Open', 'XLI').48","('Volume', 'XLI').48","('Close', 'XLI').49","('High', 'XLI').49","('Low', 'XLI').49","('Open', 'XLI').49","('Volume', 'XLI').49","('Close', 'XLI').50","('High', 'XLI').50","('Low', 'XLI').50","('Open', 'XLI').50","('Volume', 'XLI').50","('Close', 'XLI')","('High', 'XLI')","('Low', 'XLI')","('Open', 'XLI')","('Volume', 'XLI')"
Ticker,XLI,XLI,XLI,XLI,XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,121.57962799072266,121.9199133425219,120.86988361325767,120.86988361325767,7589900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04,120.51014709472656,122.88243479432322,120.15042005080242,122.37686905420574,10659800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,122.18241882324219,122.50326248140917,120.84071909499548,120.89905160823876,10718600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,121.96852111816406,122.56159305228658,121.88102234968584,122.35742184150635,6096100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09,121.68656921386719,122.46436320144964,120.29625420891243,122.13380242570149,9042200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,120.64624786376953,121.01570684220647,119.76150606219016,120.17957298886226,14119500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,120.78237915039062,121.2782203177799,119.78095742278705,120.70459752574227,8228700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-12,119.4892807006836,120.45180414387595,118.98370758671942,120.0240126501622,11604300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
