,Close,High,Low,Open,Volume,"('Close', 'XLC')","('High', 'XLC')","('Low', 'XLC')","('Open', 'XLC')","('Volume', 'XLC')","('Close', 'XLC').1","('High', 'XLC').1","('Low', 'XLC').1","('Open', 'XLC').1","('Volume', 'XLC').1","('Close', 'XLC').2","('High', 'XLC').2","('Low', 'XLC').2","('Open', 'XLC').2","('Volume', 'XLC').2","('Close', 'XLC').3","('High', 'XLC').3","('Low', 'XLC').3","('Open', 'XLC').3","('Volume', 'XLC').3","('Close', 'XLC').4","('High', 'XLC').4","('Low', 'XLC').4","('Open', 'XLC').4","('Volume', 'XLC').4","('Close', 'XLC').5","('High', 'XLC').5","('Low', 'XLC').5","('Open', 'XLC').5","('Volume', 'XLC').5","('Close', 'XLC').6","('High', 'XLC').6","('Low', 'XLC').6","('Open', 'XLC').6","('Volume', 'XLC').6","('Close', 'XLC').7","('High', 'XLC').7","('Low', 'XLC').7","('Open', 'XLC').7","('Volume', 'XLC').7","('Close', 'XLC').8","('High', 'XLC').8","('Low', 'XLC').8","('Open', 'XLC').8","('Volume', 'XLC').8","('Close', 'XLC').9","('High', 'XLC').9","('Low', 'XLC').9","('Open', 'XLC').9","('Volume', 'XLC').9","('Close', 'XLC').10","('High', 'XLC').10","('Low', 'XLC').10","('Open', 'XLC').10","('Volume', 'XLC').10","('Close', 'XLC').11","('High', 'XLC').11","('Low', 'XLC').11","('Open', 'XLC').11","('Volume', 'XLC').11","('Close', 'XLC').12","('High', 'XLC').12","('Low', 'XLC').12","('Open', 'XLC').12","('Volume', 'XLC').12","('Close', 'XLC').13","('High', 'XLC').13","('Low', 'XLC').13","('Open', 'XLC').13","('Volume', 'XLC').13","('Close', 'XLC').14","('High', 'XLC').14","('Low', 'XLC').14","('Open', 'XLC').14","('Volume', 'XLC').14","('Close', 'XLC').15","('High', 'XLC').15","('Low', 'XLC').15","('Open', 'XLC').15","('Volume', 'XLC').15","('Close', 'XLC').16","('High', 'XLC').16","('Low', 'XLC').16","('Open', 'XLC').16","('Volume', 'XLC').16","('Close', 'XLC').17","('High', 'XLC').17","('Low', 'XLC').17","('Open', 'XLC').17","('Volume', 'XLC').17","('Close', 'XLC').18","('High', 'XLC').18","('Low', 'XLC').18","('Open', 'XLC').18","('Volume', 'XLC').18","('Close', 'XLC').19","('High', 'XLC').19","('Low', 'XLC').19","('Open', 'XLC').19","('Volume', 'XLC').19","('Close', 'XLC').20","('High', 'XLC').20","('Low', 'XLC').20","('Open', 'XLC').20","('Volume', 'XLC').20","('Close', 'XLC').21","('High', 'XLC').21","('Low', 'XLC').21","('Open', 'XLC').21","('Volume', 'XLC').21","('Close', 'XLC').22","('High', 'XLC').22","('Low', 'XLC').22","('Open', 'XLC').22","('Volume', 'XLC').22","('Close', 'XLC').23","('High', 'XLC').23","('Low', 'XLC').23","('Open', 'XLC').23","('Volume', 'XLC').23","('Close', 'XLC').24","('High', 'XLC').24","('Low', 'XLC').24","('Open', 'XLC').24","('Volume', 'XLC').24","('Close', 'XLC').25","('High', 'XLC').25","('Low', 'XLC').25","('Open', 'XLC').25","('Volume', 'XLC').25","('Close', 'XLC').26","('High', 'XLC').26","('Low', 'XLC').26","('Open', 'XLC').26","('Volume', 'XLC').26","('Close', 'XLC').27","('High', 'XLC').27","('Low', 'XLC').27","('Open', 'XLC').27","('Volume', 'XLC').27","('Close', 'XLC').28","('High', 'XLC').28","('Low', 'XLC').28","('Open', 'XLC').28","('Volume', 'XLC').28","('Close', 'XLC').29","('High', 'XLC').29","('Low', 'XLC').29","('Open', 'XLC').29","('Volume', 'XLC').29","('Close', 'XLC').30","('High', 'XLC').30","('Low', 'XLC').30","('Open', 'XLC').30","('Volume', 'XLC').30","('Close', 'XLC').31","('High', 'XLC').31","('Low', 'XLC').31","('Open', 'XLC').31","('Volume', 'XLC').31","('Close', 'XLC').32","('High', 'XLC').32","('Low', 'XLC').32","('Open', 'XLC').32","('Volume', 'XLC').32","('Close', 'XLC').33","('High', 'XLC').33","('Low', 'XLC').33","('Open', 'XLC').33","('Volume', 'XLC').33","('Close', 'XLC').34","('High', 'XLC').34","('Low', 'XLC').34","('Open', 'XLC').34","('Volume', 'XLC').34","('Close', 'XLC').35","('High', 'XLC').35","('Low', 'XLC').35","('Open', 'XLC').35","('Volume', 'XLC').35","('Close', 'XLC').36","('High', 'XLC').36","('Low', 'XLC').36","('Open', 'XLC').36","('Volume', 'XLC').36","('Close', 'XLC').37","('High', 'XLC').37","('Low', 'XLC').37","('Open', 'XLC').37","('Volume', 'XLC').37","('Close', 'XLC').38","('High', 'XLC').38","('Low', 'XLC').38","('Open', 'XLC').38","('Volume', 'XLC').38","('Close', 'XLC').39","('High', 'XLC').39","('Low', 'XLC').39","('Open', 'XLC').39","('Volume', 'XLC').39","('Close', 'XLC').40","('High', 'XLC').40","('Low', 'XLC').40","('Open', 'XLC').40","('Volume', 'XLC').40","('Close', 'XLC').41","('High', 'XLC').41","('Low', 'XLC').41","('Open', 'XLC').41","('Volume', 'XLC').41","('Close', 'XLC').42","('High', 'XLC').42","('Low', 'XLC').42","('Open', 'XLC').42","('Volume', 'XLC').42","('Close', 'XLC').43","('High', 'XLC').43","('Low', 'XLC').43","('Open', 'XLC').43","('Volume', 'XLC').43","('Close', 'XLC').44","('High', 'XLC').44","('Low', 'XLC').44","('Open', 'XLC').44","('Volume', 'XLC').44","('Close', 'XLC').45","('High', 'XLC').45","('Low', 'XLC').45","('Open', 'XLC').45","('Volume', 'XLC').45","('Close', 'XLC').46","('High', 'XLC').46","('Low', 'XLC').46","('Open', 'XLC').46","('Volume', 'XLC').46","('Close', 'XLC').47","('High', 'XLC').47","('Low', 'XLC').47","('Open', 'XLC').47","('Volume', 'XLC').47","('Close', 'XLC').48","('High', 'XLC').48","('Low', 'XLC').48","('Open', 'XLC').48","('Volume', 'XLC').48","('Close', 'XLC').49","('High', 'XLC').49","('Low', 'XLC').49","('Open', 'XLC').49","('Volume', 'XLC').49","('Close', 'XLC').50","('High', 'XLC').50","('Low', 'XLC').50","('Open', 'XLC').50","('Volume', 'XLC').50","('Close', 'XLC')","('High', 'XLC')","('Low', 'XLC')","('Open', 'XLC')","('Volume', 'XLC')"
Ticker,XLC,XLC,XLC,XLC,XLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,80.88288116455078,80.95125185848802,80.12103416015105,80.1894048540883,5158900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04,79.78895568847656,81.63985296678045,79.75965502498664,81.25404847775098,8000500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,80.59964752197266,80.98057856347434,79.78896837969823,79.94524109378364,6619400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,80.6093978881836,81.04893016234766,80.53125782364152,80.73148894458805,3503100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09,80.69731903076172,81.25405403065943,80.20895473429539,80.81452169273106,4733100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,80.06244659423828,80.20895737837745,79.68152302658525,79.93058614332823,6845300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,80.76568603515625,81.00497976028261,79.89639822340705,80.38476249750649,4072900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-12,79.43733978271484,80.40429902183776,79.31036029400364,80.23825694628242,5997200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,78.43130493164062,80.17964246482579,78.2261853801209,80.08197110096003,6494700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16,78.1675796508789,78.6071119412977,77.96734852252746,78.20664968459482,7501000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-17,78.09921264648438,78.76338834735567,77.66944970714198,78.70478701993528,4862200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-18,78.48014068603516,79.12478513207488,78.26525920402192,78.37269994502853,4539400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-19,77.62062072753906,78.33362841131486,77.05411636793116,78.30432774648128,6854700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,77.72806549072266,78.35317121236143,77.11272168996874,78.15782101694431,5458300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
