current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,revenue,prev_revenue,capex,roe,debt_ratio,opm,year,short_term_investments
154353070171,178385704512,10456332701,62967358109,75264562088,66447428921,145290034448,142507413667,310622425196,126907246688,147117815799,66691864408.0,11709361744,204588370165,59748914625,106034055031,371602205916,330970359869,351338662,33652820258,26133757802,24210441962,-25782419140,9442378296,-28247284796,-24498437330,600161079,106249014.0,5866322069.0,-986778323,-84490925,-12259443020,,,,2016,
336138924743,154353070171,83320491318,156561277494,62967358109,58703702341,163757789013,145290034448,519806001803,255951805484,126907246688,90428571880.0,15126015520,367048763148,105028371208,152757238655,580991060071,371602205916,110350566478,351338662,34619376528,26133757802,75731189950,-25782419140,58689521716,46380928626,59042946035,28634442.0,6461670680.0,691341626549,371953544578,-37847473960,,,,2017,1940000000.0
242169816519,336138924743,68234102783,106901524278,156561277494,24705869985,195650934203,163757789013,469756137718,232066451088,255951805484,56251276335.0,28524303997,281845618183,186597025170,187910519535,614519912879,580991060071,153362556689,110350566478,62332731955,34619376528,91029824734,75731189950,99234763792,81634647434,161144645895,1940000000.0,8139974847.0,767882469568,691341626549,-65630650753,,,,2018,0.0
232725404322,242169816519,59889198057,89210306436,106901524278,43867335532,206363190519,195650934203,477943795573,174409315762,232066451088,47421259649.0,18225269759,198485725797,252991093089,279458069776,566414890928,614519912879,88438830506,153362556689,25870803476,62332731955,62568027030,91029824734,66531547764,56601199305,70745078542,13328246461.0,5600393538.0,654853721434,767882469568,-58468307815,,,,2019,0.0
302183106112,232725404322,64024633880,114066976783,89210306436,91367231008,213931453680,206363190519,561120408493,226640749125,174409315762,82358058505.0,10281381462,244143135882,279166289542,316977272611,658519137481,566414890928,62839059697,88438830506,28793356704,25870803476,34045702993,62568027030,33876025485,25903845202,20239508952,1740000000.0,3941091554.0,721358197178,654853721434,-39495736362,,,,2020,182286236461.0
505029567771,302183106112,98145643736,217283754141,114066976783,114416674569,240620081449,213931453680,793400422424,371498083286,226640749125,138626605199.0,10080719344,385423568360,350334199269,407976854064,936506155403,658519137481,100456501513,62839059697,29371081451,28793356704,71085420062,34045702993,104434075689,81735535426,33141443920,1470000000.0,3611011644.0,1036962656916,721358197178,-35341596929,,,,2021,2160000000.0
529238911435,505029567771,89880959394,128824692229,217283754141,99698410629,263169840112,240620081449,1007315366070,412054834185,371498083286,172304604003.0,0,429340136571,487884050485,577975229499,1488198957201,936506155403,192854962566,100456501513,61587420252,29371081451,131267542314,71085420062,164456373822,140664719735,197377693683,36470000000.0,5342571883.0,1681053919767,1036962656916,-239982317918,,,,2022,596800000000.0
575063094262,529238911435,138587141332,180121493043,128824692229,137206586069,272038283389,263169840112,1089361044645,419181211549,412054834185,97563173668.0,0,1089361044645,571584226169,650561021927,1436292916308,1488198957201,155699334401,192854962566,70907278717,61587420252,84792055684,131267542314,12292325040,84855132551,90466411730,,,1591992250709,1681053919767,-53259010903,,,,2023,1420000000.0
752149257044,575063094262,227460082700,245676110573,180121493043,170643982879,320035389898,272038283389,1319868751137,471938509300,419181211549,72660409808.0,1667916000,1319868751137,626874958442,740898515355,1588134201553,1436292916308,166307542738,155699334401,79254119756,70907278717,87053422982,84792055684,27889563232,77590055772,186535434732,,,1754441744291,1591992250709,-88529173658,,,,2024,1470000000.0
753485184565,752149257044,287959792602,233181445107,245676110573,185362474176,340928276453,320035389898,1370500771503,458034871241,471938509300,,25380875000,1370500771503,633517791305,790820471433,1645126552108,1588134201553,147533734434,166307542738,93555313659,79254119756,53978420775,87053422982,11556761749,40648029171,159158062222,,,1792660286542,1754441744291,-133204234597,,,,2025,1951673996.0
