date,feature,mean_ic,std_ic,ir
2026-03-21,atr_7,-0.0026,0.132,-0.0194
2026-03-21,lag_1,0.1366,0.0857,1.5942
2026-03-21,lag_2,0.0711,0.0911,0.781
2026-03-21,lag_3,0.0942,0.0888,1.0608
2026-03-21,lag_4,0.0983,0.0841,1.1696
2026-03-21,lag_5,0.1183,0.0646,1.8311
2026-03-21,lag_6,0.0908,0.0521,1.7434
2026-03-21,lag_7,0.0593,0.0524,1.1316
2026-03-21,lag_8,0.0734,0.0462,1.5867
2026-03-21,lag_9,0.0797,0.0532,1.4989
2026-03-21,lag_10,0.0404,0.0601,0.6723
2026-03-21,rmean_3,0.1409,0.0773,1.8228
2026-03-21,rstd_3,0.0696,0.0785,0.8867
2026-03-21,rmean_7,0.1207,0.0734,1.6443
2026-03-21,rstd_7,-0.0246,0.1338,-0.1835
2026-03-21,rmean_14,0.0866,0.0665,1.3022
2026-03-21,rstd_14,0.1118,0.1169,0.9564
2026-03-21,rmean_30,0.0687,0.0821,0.8363
2026-03-21,rstd_30,0.1342,0.0936,1.4341
2026-03-21,ema_30,0.085,0.0736,1.1556
2026-03-21,mom_1,0.0741,0.072,1.0283
2026-03-21,mom_7,0.1031,0.0875,1.1786
2026-03-21,roc_7,-0.0906,0.081,-1.1174
2026-03-21,bb_pctb,0.0919,0.0625,1.4703
2026-03-21,atr_14,0.1036,0.1107,0.9353
2026-03-21,rsi_14,0.136,0.0455,2.9901
2026-03-21,macd_hist,0.0999,0.0762,1.31
2026-03-21,log_ret,0.0744,0.0671,1.1093
2026-03-21,log_ret_skew_20,0.0378,0.0866,0.4369
2026-03-21,log_ret_kurt_20,0.0141,0.1203,0.1173
2026-03-21,price_ma_ratio_7,-0.0583,0.091,-0.6406
2026-03-21,price_ma_ratio_14,0.1122,0.0745,1.507
2026-03-21,price_ma_ratio_30,0.1622,0.0469,3.4589
2026-03-21,zscore_14,-0.0774,0.0718,-1.0778
2026-03-21,zscore_30,0.0913,0.0467,1.954
2026-03-21,realized_vol_5,-0.0096,0.1095,-0.0875
2026-03-21,dow,-0.1145,0.1144,-1.0004
2026-03-21,month,0.0589,0.0746,0.7891
2026-03-21,rsi_x_vol,0.1508,0.1082,1.3945
2026-03-21,mom_rsi_cross,0.0749,0.0662,1.1318
2026-03-21,vol_trend,0.0216,0.0944,0.2286
2026-03-21,ma_spread,0.1335,0.0604,2.2093
2026-03-21,bb_x_vol,0.1742,0.0924,1.8853
2026-03-21,alt_pc_ratio_proxy,0.0848,0.0804,1.0541
2026-03-21,alt_pc_ratio_5d_avg,0.0447,0.0825,0.542
2026-03-21,alt_pc_ratio_zscore,0.0938,0.0815,1.1517
2026-03-21,alt_fear_flag,0.116,0.0859,1.3503
2026-03-21,alt_greed_flag,0.0196,0.0727,0.2694
2026-03-21,flow_foreign_net_5d,0.0458,0.0724,0.6331
2026-03-21,flow_foreign_net_20d,-0.0114,0.104,-0.1092
2026-03-21,flow_inst_net_5d,0.0458,0.0724,0.6331
2026-03-21,flow_inst_net_20d,-0.0114,0.104,-0.1092
2026-03-21,flow_flow_momentum,0.0485,0.0839,0.5783
2026-03-21,flow_foreign_streak,0.0908,0.1189,0.7639
2026-03-21,flow_supply_demand_score,0.0471,0.0799,0.5896
2026-03-21,flow_inst_net_buy,-0.0189,0.0553,-0.3416
2026-03-21,flow_foreign_net_buy,0.1106,0.1011,1.0942
2026-03-21,flow_foreign_ratio,-0.0499,0.1099,-0.4541
2026-03-21,flow_inst_foreign_sum,0.0885,0.108,0.8198
2026-03-21,flow_flow_momentum_5d,0.1218,0.0926,1.3156
2026-03-21,flow_short_proxy_score,-0.0437,0.0273,-1.6012
2026-03-31,lag_1,-0.3744,0.131,-2.8571
2026-03-31,lag_2,-0.3476,0.1416,-2.4553
2026-03-31,lag_3,-0.3541,0.1433,-2.4706
2026-03-31,lag_4,-0.3505,0.1436,-2.4415
2026-03-31,lag_5,-0.3352,0.1523,-2.2006
2026-03-31,rmean_3,-0.3959,0.1388,-2.8529
2026-03-31,rmean_7,-0.3988,0.1475,-2.7032
2026-03-31,rstd_7,-0.1373,0.1857,-0.7395
2026-03-31,rmean_14,-0.3269,0.1755,-1.8627
2026-03-31,rstd_14,-0.2442,0.2152,-1.1349
2026-03-31,rmean_30,-0.2472,0.1646,-1.5013
2026-03-31,rstd_30,-0.21,0.2384,-0.8811
2026-03-31,ema_30,-0.3254,0.1685,-1.9307
2026-03-31,mom_1,-0.017,0.147,-0.1157
2026-03-31,mom_7,-0.1046,0.1886,-0.555
2026-03-31,roc_7,-0.0904,0.1865,-0.4845
2026-03-31,bb_pctb,-0.1247,0.1982,-0.6288
2026-03-31,atr_7,-0.0779,0.1882,-0.4141
2026-03-31,atr_14,-0.2081,0.21,-0.9907
2026-03-31,rsi_14,-0.2234,0.1851,-1.2068
2026-03-31,macd_hist,-0.1444,0.1916,-0.7533
2026-03-31,log_ret,-0.014,0.1429,-0.0979
2026-03-31,log_ret_skew_20,-0.0331,0.2437,-0.1359
2026-03-31,log_ret_kurt_20,-0.0054,0.2882,-0.0186
2026-03-31,price_ma_ratio_7,-0.0243,0.2007,-0.1211
2026-03-31,price_ma_ratio_14,-0.1543,0.1872,-0.8243
2026-03-31,price_ma_ratio_30,-0.2739,0.155,-1.7674
2026-03-31,zscore_14,-0.0806,0.2115,-0.381
2026-03-31,zscore_30,-0.175,0.1914,-0.914
2026-03-31,realized_vol_5,-0.037,0.2017,-0.1834
2026-03-31,dow,0.056,0.058,0.9658
2026-03-31,month,-0.1331,0.204,-0.6527
2026-03-31,trend_adx_14,-0.0929,0.2672,-0.3477
2026-03-31,trend_dist_high_52w,-0.2297,0.25,-0.9191
2026-03-31,trend_breakout_20d,-0.0375,0.1923,-0.1948
2026-03-31,trend_alignment,-0.105,0.1979,-0.5307
2026-03-31,trend_price_position,-0.2268,0.2393,-0.9478
2026-03-31,mtf_alignment,0.047,0.1905,0.2466
2026-03-31,mtf_weekly_mom,-0.2705,0.1967,-1.3755
2026-03-31,mtf_vs_ma100,-0.3789,0.1469,-2.5789
2026-03-31,mtf_weekly_rsi,-0.253,0.1849,-1.3684
2026-03-31,mtf_3w_position,-0.1326,0.2042,-0.6493
2026-03-31,mtf_cross_signal,-0.1211,0.2053,-0.59
2026-03-31,rsi_x_vol,-0.3055,0.1712,-1.7847
2026-03-31,mom_rsi_cross,-0.0147,0.1331,-0.1107
2026-03-31,vol_trend,-0.0548,0.2395,-0.2288
2026-03-31,ma_spread,-0.3021,0.155,-1.9498
2026-03-31,bb_x_vol,-0.2975,0.1678,-1.7736
2026-03-31,bear_down_mom_5d,-0.0128,0.2237,-0.0573
2026-03-31,bear_downside_vol_ratio,0.2199,0.1901,1.1566
2026-03-31,bear_consec_down,0.0077,0.1613,0.0477
2026-03-31,bear_drop_bounce_ratio,0.0087,0.1174,0.0739
2026-03-31,bear_rsi_below50,0.1516,0.1829,0.8291
2026-03-31,bear_rsi_slope,0.0047,0.2057,0.0231
2026-03-31,alt_pc_ratio_proxy,-0.0781,0.169,-0.4619
2026-03-31,alt_pc_ratio_5d_avg,-0.1316,0.1683,-0.782
