year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,1359551440000,896857873000,24245725654000,22352462296000,1359551440000,24245725654000,0.0847,0.5159,0.0,0.5078,1.0
2021,Q4,1524429392000,1359551440000,26289227767000,24245725654000,1524429392000,26289227767000,0.0843,0.1213,0.0,0.1952,1.0
2022,Q4,1664708210000,1524429392000,30079513121000,26289227767000,1664708210000,30079513121000,0.1442,0.092,0.0,0.1554,1.0
2023,Q4,1291582413000,1664708210000,353592040000,30079513121000,1291582413000,353592040000,-0.9882,-0.2241,0.0,-0.3095,-1.0
2024,Q1,375944152000.0,0,7215960546000.0,0.0,375944152000.0,7215960546000.0,0,375944152000.0,0.0,0.0,0.0
2024,Q2,383560174000.0,0,7238674606000.0,0.0,383560174000.0,7238674606000.0,0,383560174000.0,0.0,0.0,0.0
2024,Q3,416193547000.0,0,7414278491000.0,0.0,416193547000.0,7414278491000.0,0,416193547000.0,0.0,0.0,0.0
2024,Q4,1553017638000,1291582413000,180046860000,353592040000,1553017638000,180046860000,-0.4908,0.2024,0.0,0.2882,1.0
2025,Q1,333167940000.0,0,7208471055000.0,0.0,333167940000.0,7208471055000.0,0,333167940000.0,0.0,0.0,0.0
2025,Q2,353129964000.0,0,7237175773000.0,0.0,353129964000.0,7237175773000.0,0,353129964000.0,0.0,0.0,0.0
2025,Q3,346503142000.0,0,7439500106000.0,0.0,346503142000.0,7439500106000.0,0,346503142000.0,0.0,0.0,0.0
2025,Q4,1233604641000,1553017638000,27342589100000,180046860000,1233604641000,27342589100000,150.8637,-0.2057,0.0,-0.2915,-1.0
