current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,644362506000,179643523000,,,,,,15766238539000,,,,,9705761673000,2566519968000,6060476866000,14563257246000,12924472295000,,,,,,,,,,353548750000,800141934000,-1408917160000,,,,2016,
,,590855644000,99569523000,,,,,,16868123895000,,,,,10724270560000,2903422319000,6143853335000,16477174023000,14563257246000,,,,,,,,,,412797743000,1180837049000,-1463909010000,,,,2017,
,,547574267000,72494505000,,,,,,19497022884000,,,,,12188810794000,3694325190000,7308212090000,18670059989000,16477174023000,,,,,,,,,,925388625000,471425123000,-1034629208000,,,,2018,
,,690951592000,991863782000,,,,,,26280632351000,,,,,16799151931000,3786365635000,9481480420000,22352462296000,18670059989000,,,,,,,,,,191028303000,2143095681000,-3189885009000,,,,2019,
,,1212229101000,612409351000,,,,,,25611892185000,,,,,15445453188000,4406774696000,10166438997000,24245725654000,22352462296000,,,,,,,,,,786425538000,2001752173000,-345091608000,,,,2020,
,,1096870152000,248194031000,,,,,,26855804277000,,,,,16049003859000,4940160945000,10806800418000,26289227767000,24245725654000,,,,,,,1524429392000.0,1359551440000.0,,892393213000,1686409257000,-625359234000,,,,2021,
,,1797257804000,402928177000,,,,,,30013241845000,,,,,18484219204000,5451504037000,11529022641000,30079513121000,26289227767000,,,,,,,1664708210000.0,1524429392000.0,,802674084000,1627293112000,-1498466429000,,,,2022,
,,1853610633000,173463018000,,,,,,29606279551000,,,,,17826337301000,5731488854000,11779942250000,29023472909000,30079513121000,,,,,,,1291582413000.0,1664708210000.0,,559462096000,2444759803000,-702741211000,,,,2023,11569946000.0
,,1272398631000,359387149000,,,,,,30149997467000,,,,,17907211781000,5747132929000,12242785686000,29359081823000,29023472909000,,,,,,,1553017638000.0,1291582413000.0,,361835555000,2255253477000,-1103525104000,,,,2024,15576030000.0
,,1038957402000,243275982000,,,,,,29744790534000,,,,,29744790534000,5025743890000,11551202624000,27342589100000,27239748024000,,,,,,,,,,-416955408000,2481608395000,-1526835884000,,,,2025,628552000.0
