date,title,sentiment_score,positive_count,negative_count,source
2026-04-15,"신한은행, 더존비즈온과 ERP 연계 금융서비스 확대…'급여바로이체' 출...",0.0,0,0,https://www.industrynews.co.kr/news/articleView.html?idxno=80048
2026-04-15,"신한은행, 더존비즈온과 '뱅크인 플랫폼' 기반 협업",0.0,0,0,http://www.newslock.co.kr/news/articleView.html?idxno=128698
2026-04-15,"신한은행, 더존비즈온과 '뱅크인 플랫폼' 기반 협업 확대",0.0,0,0,http://www.enewstoday.co.kr/news/articleView.html?idxno=2419254
2026-04-15,"신한은행, 더존비즈온과 맞손... ''뱅크인 플랫폼'기반 협업 확대",0.0,0,0,https://www.joongangenews.com/news/articleView.html?idxno=511977
2026-04-15,"신한은행, 더존비즈온과 기업 금융 협력",0.0,0,0,https://www.newsclaim.co.kr/news/articleView.html?idxno=3060839
2026-04-15,"신한은행, 더존비즈온과 ‘뱅크인 플랫폼’ 협업 확대",0.0,0,0,https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065596050024027
2026-04-15,"신한은행, 더존비즈온과 맞손... '뱅크인 플랫폼' 기반 협업 확대",0.0,0,0,http://www.thefirstmedia.net/news/articleView.html?idxno=198032
2026-04-15,"급여이체도 ERP에서 끝낸다…신한은행, ‘뱅크인 플랫폼’ 적용",0.0,0,0,https://www.betanews.net/article/view/beta202604150060
2026-04-15,"신한은행·더존비즈온, 뱅크인 플랫폼 기반 협업 확대",0.0,0,0,http://www.smedaily.co.kr/news/articleView.html?idxno=355756
2026-04-15,"신한은행, 더존비즈온과 '뱅크인 플랫폼' 기반 협업...기업금융 서비스...",0.0,0,0,http://www.queen.co.kr/news/articleView.html?idxno=455125
2026-04-15,"신한은행, 뱅크인 플랫폼 선봬…""기업고객 ERP 내에서 금융업무 가능""",0.0,0,0,https://daily.hankooki.com/news/articleView.html?idxno=1358453
2026-04-15,"신한은행, 더존비즈온과 '뱅크인 플랫폼' 협업 확대",0.0,0,0,https://www.digitaltoday.co.kr/news/articleView.html?idxno=657187
2026-04-15,"신한은행, 더존비즈온과 협력 통한 기업금융 서비스 연계 강화",0.0,0,0,https://www.fetv.co.kr/news/articleView.html?idxno=300373
2026-04-15,"신한은행, 더존비즈온과 기업 업무 최적화 위한 금융·AI 융합 솔루션 선...",0.0,0,0,http://www.press9.kr/news/articleView.html?idxno=75085
2026-04-15,"신한은행, 더존비즈온과 협력...ERP 금융 서비스 강화",0.0,0,0,https://www.gukjenews.com/news/articleView.html?idxno=3557797
2026-04-15,[브리프] KB국민은행 신한은행 하나은행 우리은행 NH농협은행 IBK기업은...,0.0,0,0,https://www.s-journal.co.kr/news/articleView.html?idxno=40512
2026-04-15,[주요공시] 4월 15일 오후,0.0,0,0,https://www.ebn.co.kr/news/articleView.html?idxno=1705520
2026-04-15,"[금융 이모저모] 강태영 NH농협은행장, 경남권역 생산적금융을 위한 현...",0.0,0,0,https://www.greened.kr/news/articleView.html?idxno=339306
2026-04-15,"신한은행, 더존과 '뱅크인' 확대...""ERP 안에서 은행 업무""",0.0,0,0,http://www.kdfnews.com/news/articleView.html?idxno=181953
2026-04-15,"신한은행, 더존 WEHAGO에 금융 연계…급여이체 제공",0.0,0,0,https://www.pinpointnews.co.kr/news/articleView.html?idxno=445674
2026-04-15,"더존비즈온 공개매수, 특별위·이사회 찬성 의견 표명",0.0,0,0,https://www.mk.co.kr/article/12017626
2026-04-15,"한국동서발전, 더존비즈온과 'ERP 소송' 1심서 일부승소",-0.38,0,1,https://www.bloter.net/news/articleView.html?idxno=659550
2026-04-15,"신한은행, 더존비즈온과 ‘기업금융 서비스 연계’ 강화",0.0,0,0,https://www.ceoscoredaily.com/page/view/2026041513404906887
2026-04-15,"신한은행, 더존비즈온과 'ERP속 은행' 구축…""로그인 없이 급여이체""",0.0,0,0,https://www.thefairnews.co.kr/news/articleView.html?idxno=74439
2026-04-15,"신한은행, 더존비즈온 '위하고'에 뱅크인 플랫폼 적용",0.0,0,0,https://view.asiae.co.kr/article/2026041513553581079
