total_assets,current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_equity,retained_earnings,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,long_term_debt,operating_income,prev_operating_income,revenue,prev_revenue,income_tax,sga_expense,prev_sga,net_income,capex,short_term_investments,cash_from_operations,roe,debt_ratio,opm,year
153836050957,122510410471,127447811008,19699820842,2475847,604406,3198875985,2621612238,121764729716,-69812516927,31863567335,194516932425,0.0,32071321241,0,-8335353372,95606700347,13234019,271945673,424979251,12198262912,21104641717,-5740128540,-98460488363,0,-11281573867,,,,2024
169324738276,134372225042,122510410471,4065001613,558176,2475847,2807704845,3198875985,130888052377,18218311117,15608303861,31863567335,,38436685899,0,-51759177005,-8335353372,5698197469,13234019,-2183000664,16130019548,12198262912,-41969171956,-28323965010,70000000000,-35988691708,,,,2025
