current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,interest_expense
149460012810,127398337815,22612678695,1095000000.0,89713653628,74948691824,20901843818,167298720797,165026803631,338806894364,177962566962,156519621215,96181098103,52098493566,238205919395,89100824946,100600974969,394613663369,379284312662,345176463309,334485426242,49437200060,44798886420,36878545634.0,36738430236.0,12124975674,9661483683,3020883282,1001289576,8932681882,-7222726270,,,,2016,,
149118182255,149460012810,20060672463,1040000000.0,97066907602,99555856348,21503080653,167080772106,167298720797,334475765576,163876918953,177962566962,63761611295,8071126942,216380070261,101503821524,118095695315,528228838,155360962,408303983628,345176463309,56466998025,49437200060,38261601640.0,36878545634.0,17893869473,12124975674,16860186927,12380226423,24271920646,-8558734017,,,,2017,13224226686.0,4304591449.0
133932731380,149118182255,12493099196,2719584051.0,97177826849,97066907602,20012482954,168260486975,167080772106,330426200424,151618721791,163876918953,42538732288,22003109827,209577401032,100895201572,120848799392,528228838,528228838,388139968041,408303983628,48912474757,56466998025,35904609602.0,38261601640.0,12658852685,17893869473,5601197951,4030996350,18290045698,-20945362047,,,,2018,14240322745.0,4704988099.0
143602350394,133932731380,21532435935,,73513157183,78107238675,26432277783,166648974954,168260486975,348684313367,167089951985,151618721791,82573797117,37579675978,214879754732,105425471459,133804558635,453654135633,437052442798,405439657883,388139968041,48214477750,48912474757,36497302175.0,35904609602.0,10347058064,12658852685,8024803545,5282426887,6445856173,-15016265642,,,,2019,,
202712024316,143602350394,31802658656,,107148285380,73513157183,28536832601,161132388650,166648974954,411482016999,212480949398,167089951985,109086858118,25482826916,249364504270,111792490558,162117512729,493069483254,448754475394,447712536673,401085078075,45356946581,47669397319,31996793930.0,36119445588.0,14824184421,10179834220,10681718924,8876267494,6371208181,-12217290686,,,,2020,,
273952674104,202712024316,33488221100,,150411815945,107148285380,64728431291,197824233579,161132388650,517198673742,284252238905,212480949398,129870647847,27111077743,321661519286,133260390958,195537154456,737488102514,493069483254,645877994595,447712536673,91610107919,45356946581,56571362141.0,31996793930.0,43947732045,14824184421,42592450380,32688237227,16968651949,-11706440572,,,,2021,,
331626901834,273952674104,32812075292,,163111378148,150411815945,70849676235,228402336369,197824233579,627848217159,355595903922,284252238905,192468214725,41249787331,413358161001,146639599331,214490056158,793424019846,737488102514,703545055689,645877994595,89878964157,91610107919,57854249678.0,56571362141.0,32055395246,43947732045,29457980825,23919701899,-2906141277,-56923003774,,,,2022,,
383666955711,331626901834,41281716539,,148476026554,163111378148,71975641016,239618948271,228402336369,692344676799,349667116736,355595903922,220929895257,18973324569,692344676799,154538436257,307573599697,833704098779,793424019846,736139310027,703545055689,97564788752,89878964157,69150744637.0,57854249678.0,29867445100,32055395246,8301581986,20060610922,36100183130,-67854719407,,,,2023,,
433541107750,383666955711,32306071115,,203180862619,148476026554,87791725554,262640934541,239618948271,774111976556,424500528876,349667116736,232578659211,17254961953,774111976556,149066667097,317312385835,909722446409,833704098779,818944172263,736139310027,90778274146,97564788752,61715129871.0,69150744637.0,27176239810,29867445100,6794673492,7449970454,922444591,-14369855702,,,,2024,,13687871283.0
483452565904,433541107750,70602467437,,222398592410,203180862619,105339485865,359991832627,262640934541,932560259261,456580055942,424500528876,382240794060,224907588836,932560259261,167953317228,356862272945,945363793218,881982008853,849698802749,795059475001,95664990469,86922533852,,,27689928290,26466732671,7389714889,24207033883,14375832620,-52136008095,,,,2025,,
