year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,14824184421,10347058064,493069483254,453654135633,14824184421,493069483254,0.0869,0.4327,0.0,0.4639,1.0
2021,Q4,43947732045,14824184421,737488102514,493069483254,43947732045,737488102514,0.4957,1.9646,0.0,0.7971,1.0
2022,Q4,32055395246,43947732045,793424019846,737488102514,32055395246,793424019846,0.0758,-0.2706,0.0,-0.3512,-1.0
2023,Q4,29867445100,32055395246,833704098779,793424019846,29867445100,833704098779,0.0508,-0.0683,0.0,-0.1201,-1.0
2024,Q1,6193886128.0,0,222801032078.0,0.0,6193886128.0,222801032078.0,0,6193886128.0,0.0,0.0,0.0
2024,Q2,-2373391884.0,0,221271125928.0,0.0,-2373391884.0,221271125928.0,0,-2373391884.0,0.0,0.0,0.0
2024,Q3,1092998134.0,0,221649287447.0,0.0,1092998134.0,221649287447.0,0,1092998134.0,0.0,0.0,0.0
2024,Q4,27176239810,29867445100,909722446409,833704098779,27176239810,909722446409,0.0912,-0.0901,0.0,-0.1527,-1.0
2025,Q1,6263823178.0,0,259474668074.0,0.0,6263823178.0,259474668074.0,0,6263823178.0,0.0,0.0,0.0
2025,Q2,3526502798.0,0,220782410107.0,0.0,3526502798.0,220782410107.0,0,3526502798.0,0.0,0.0,0.0
2025,Q3,548144079.0,0,218299087995.0,0.0,548144079.0,218299087995.0,0,548144079.0,0.0,0.0,0.0
2025,Q4,27689928290,27176239810,945363793218,909722446409,27689928290,945363793218,0.0392,0.0189,0.0,0.0364,1.0
