날짜,Financial_Investment,Insurance,Investment_Trust,Private_Equity,Bank,Other_Financial,Pension_Fund,Other_Corporate,Individual,Foreign,기타외국인,전체
2020-01-02,-90721716887,927598520,2344330046,-17816127861,-340130630,-1153004450,-10302221085,-1268042366,183436682738,-64803199854,-304168171,0
2020-01-03,-57970152521,-2419859090,-10413985205,-57776030853,-1125466815,65960920,-16835469775,-1297722794,279860879452,-133557966944,1469813625,0
2020-01-06,-47317902180,-2719042325,-40300554933,-41746439131,-641217797,-9278992055,-5339075800,5275507384,215255768258,-75042994638,1854943217,0
2020-01-07,15826775503,-1952975057,-12164952835,-10160328545,-79603615,-3337167190,-7112928810,-3607240785,53608979581,-31410695055,390136808,0
2020-01-08,12251470665,6205639546,1279874196,-11903219716,626749650,-124284620,11566070,105659642,32267656417,-41402620626,681508776,0
2020-01-09,-1010422876,1644181576,19853841861,-9909371829,-582015385,-1364367525,-16147529572,26691778965,-180168322005,161431001824,-438775034,0
2020-01-10,-24894038003,-545065945,4068719530,-716477221,-1744771280,-2227108391,-4583635222,-11125143350,97644942500,-55565376225,-312046393,0
2020-01-13,-31855959999,-5646163710,-18316525023,-16291540740,92540305,-6527273655,7080671477,-22187469636,118670168333,-26354138257,1335690905,0
2020-01-14,-41067740888,-6302884823,-7242510825,-29786984936,-226320420,-2325234095,6121595813,-5241822191,116923964598,-32267189982,1415127749,0
2020-01-15,-66735861001,-1934000142,-7425117048,-15524400579,-1103185000,-1764344680,-1577089978,4274743943,102322477987,-9813338564,-719884938,0
2020-01-16,12558668598,1346560012,14459492990,-7902610532,212920480,-29141145,1422714926,-115740949,-23256531166,1312263791,-8597005,0
2020-01-17,-1067287871,5069790770,13041001722,12050198719,727454000,-561037845,-7848547429,-10938996560,-21150982964,13270675150,-2592267692,0
2020-01-20,-45529989324,981615363,-14069803883,-15314302498,5347241660,-1245690820,-7262336900,-4021447829,154707961527,-71299437969,-2293809327,0
2020-01-21,-74608303276,-4093490075,-35216928363,-4310390064,-1640734400,-2404044145,-9595948385,-2924737328,186333951946,-52676758068,1137382158,0
2020-01-22,48934108741,5287381995,14388762345,-3580053714,-623112985,-1833292505,9957147430,-9661512372,-128469409609,67529548966,-1929568292,0
2020-01-23,-80196281458,-1060138149,-2730981530,-6841761779,-1263624390,-1033498370,-19831320775,-9461370317,177784645358,-55378119298,12450708,0
2020-01-28,-58057644433,-3416481478,-63544188346,-18512340995,-1476813305,174740521,-17990057030,-12896971439,179003710960,-4607326084,1323371629,0
2020-01-29,-2502639305,3541800625,4959178589,-2213467469,-193358630,-551838058,-11979254076,-32085808177,78962841377,-37777942030,-159512846,0
2020-01-30,-41565142164,-2832359267,-9815817404,-17597144020,398093695,-1915731032,-9744534722,-10913363663,177713954354,-84743377164,1015421387,0
2020-01-31,50337742488,-1854087275,-5629392666,7003759619,-717901950,-3740805220,-4346134151,-14554352148,-12418810484,-15236796613,1156778400,0
2020-02-03,63194917866,-2036988260,5815575118,-989720840,631421300,155540595,7758533775,715096306,-229233413942,153936287263,52750819,0
2020-02-04,-48721779880,845569470,15087964295,-13131209003,-2464216240,-243939565,-6440018061,-2994645283,90796123732,-32496894565,-236954900,0
2020-02-05,-20098236477,-1914316145,-6458889470,-34110704745,-172838399,-1642696250,-9106509588,-8442805011,124223753653,-41693462869,-583294699,0
2020-02-06,12946742919,400409625,-17700113830,-20656652461,-991066754,-1924927360,-13263133120,-1116851343,-23423118094,64549057998,1179652420,0
2020-02-07,-50538493173,2005257420,-4858822630,-21367523194,-630224725,-1285409493,-13605034107,-644803769,150216688957,-61346673730,2055038444,0
2020-02-10,11789082847,5287872705,-11262365625,-19436513321,-797121030,-3654597022,-8560458362,-15345297467,96363218453,-54875907173,492085995,0
2020-02-11,9270594312,6644037705,16812061201,-34193107951,-605483885,-1634001355,-2440356713,-9223963763,315515514,18717121975,-3662417040,0
2020-02-12,-2658472954,8205740077,5639688017,7599168984,-576442355,-353641234,-23378467123,-5968697384,19976903387,-8246385697,-239393718,0
2020-02-13,-65007473459,5254939655,-9456928455,-12670780234,-725784250,-3908513179,-9693391149,-13589666259,173562786705,-62796561727,-968627648,0
