날짜,Financial_Investment,Insurance,Investment_Trust,Private_Equity,Bank,Other_Financial,Pension_Fund,Other_Corporate,Individual,Foreign,기타외국인,전체
2020-02-14,-24414774007,3294676855,-3230589471,7709683493,655365685,-2142046539,-17257304080,-9557363002,12975924700,32068599866,-102173500,0
2020-02-17,-12948966724,-679142420,-8833712465,-2876759350,78108670,-5100112741,-4589348955,-16220603843,85069563233,-33788409096,-110616309,0
2020-02-18,-69292340034,-3035377815,-8981419277,-23821475658,-1588305255,-1066325840,-31665955525,1623907367,262919818176,-124604603651,-487922488,0
2020-02-19,-9576770117,-2739702925,72167995,-24590635836,-1017480370,-298110175,-2843741352,3211087718,-10754993887,49255668939,-717489990,0
2020-02-20,-4999584671,-1500776605,-4569618950,-21047522647,92852340,-9145556240,-1743008259,-15273646727,77177470546,-18808309962,-182298825,0
2020-02-21,-17256907759,-7772456485,-11121787423,-11474369907,-5251338560,-5304845288,-13125511487,-23292999517,113588690457,-20402105920,1413631889,0
2020-02-24,52956688015,-1535721873,-26407600527,-30838674315,723375130,217868380,2108372745,-9963013512,-30546864805,41947007316,1338563446,0
2020-02-25,72146973233,-42617420,16426605307,-3164569458,6515808685,-1074875683,1587135966,11331360561,-224202612896,120603256366,-126464661,0
2020-02-26,2936167346,3714736179,16561826000,14093016726,775757105,-1614716000,-3116819212,-10210496440,159241114018,-182600907465,220321743,0
2020-02-27,-65353175464,-1459340260,-9783941687,-4876995548,-801982125,-1911825650,-12824635406,6327873120,326459203928,-235123265735,-651915173,0
2020-02-28,26017324496,1950305810,-11460113581,-8879775311,-688867370,-11745147015,-13064742000,-10613413932,-38009154577,68854414062,-2360830582,0
2020-03-02,52095269747,3166108925,50562184448,2541982349,-1638686760,218664511,3018024313,-6870167348,-223016805515,120178910649,-255485319,0
2020-03-03,-23462826576,3685057254,10978407361,-21579855903,169006095,-687293796,-6316090388,-4664134221,261943742953,-220853619164,787606385,0
2020-03-04,43124006721,2230868335,23766544629,-22978541917,809130080,-1743595433,-3774300485,-6601430920,-134539313137,99988395013,-281762886,0
2020-03-05,-59129192242,3219707025,4073022196,422362523,880536130,-2184260847,-2380250585,-9878022008,146548533797,-80294069692,-1278366297,0
2020-03-06,-56936227863,-1030601329,13796476153,-13163590429,1168646330,-2389851961,5663754812,-18499489194,215709830083,-148205356405,3886409803,0
2020-03-09,-17630297155,-438582040,-36647233765,-11025462007,-1492249170,-283453275,5235145461,-12262005556,216219317150,-138532984473,-3142195170,0
2020-03-10,147194701488,749235870,-5246358011,-16945605087,-3693651400,-774630074,-7159475310,-25408185436,-126230816359,37462949935,51834384,0
2020-03-11,15988815515,1616926185,-60057191166,-10565202698,-819220760,-799599630,-3311781788,-659878825,319983767708,-261508237292,131602751,0
2020-03-12,-3541005474,3579173365,-68147687815,-2402344925,-1810873893,-997215806,-15572329682,13080559700,-69531094190,146888120455,-1545301735,0
2020-03-13,115288028351,7218312405,-4301324725,-755420755,-5783256991,-601300155,18672255420,9614224797,-314172488447,175160373620,-339403520,0
2020-03-16,-12554782522,-536668560,-14580068744,-3334157903,1233104463,-1403098120,11805482319,-468344823,4126046935,14879791611,832695344,0
2020-03-17,78654743667,-777542900,11517124098,-1120629558,-220154680,477366890,-4512069408,20232881595,-354868945631,249054267995,1562957932,0
2020-03-18,8751650753,5237103780,-37549831088,4241650435,890130565,770830670,11329570107,10547406661,118514826835,-122936611219,203272501,0
2020-03-19,179458246991,3480055476,-151039804729,-14661653004,-2305774557,-2609370949,157240187,-5088346655,-174953086046,164574144366,2988348920,0
2020-03-20,59057608373,6941965483,55620413917,23253053934,2658090724,3698940260,4266760484,3062994297,-218532874512,59682932454,290114586,0
2020-03-23,-77172421176,-2168907250,-682981470,-10995887023,-1057424847,-1671402819,-1936930777,19384598570,206298165236,-130155500380,158691936,0
2020-03-24,105321200922,2623511814,-2310228643,-1959552794,4932000139,-567025635,-5081330404,4795761667,-187195939051,82575386090,-3133784105,0
2020-03-25,-55169353340,-3496598992,82093750182,-16090476720,1835672970,1005245870,-8643535323,-1389839768,83313360425,-85803042691,2344817387,0
2020-03-26,-81682166517,-5296899325,38641707439,-13247803773,2570479420,475297510,4602197705,-14624965371,160719068453,-89670973542,-2485941999,0
2020-03-27,-46357706479,-2721698440,-4857375059,-17420721652,1898024143,350112497,-346890690,2660785527,181044559058,-109293806012,-4955282893,0
2020-03-30,-23136836408,5222423740,-1138909292,-13619924028,1042527760,-265742120,5280913250,-8580882760,-1183159995,38989891602,-2610301749,0
2020-03-31,-66644425285,-1184826440,7074665955,-11073242995,3564079090,-2205244965,-6108120102,-12257745649,188446659448,-99698529217,86730160,0
2020-04-01,8953842561,941841350,-37331847987,6310783707,1246112405,-1625539085,4924475591,1531649870,107075942653,-90685685358,-1341575707,0
2020-04-02,83632763428,6941963,-808402422,2419592845,-544983175,-2481716325,19514145330,-32169607550,29407958050,-96159076551,-2817615593,0
2020-04-03,-48156549007,853040440,-8688212369,-18884303283,509945105,-2725550425,2958987350,5046268305,101899080221,-31416877964,-1395828373,0
2020-04-06,53815117839,-83410560,21167370182,-9564004969,2247394710,-3991354860,-4582293075,-17539934663,-150148112254,108981763611,-302535961,0
2020-04-07,-69898107695,-1080895880,3318199920,-16855619159,-40183665,704257630,339397130,-171610847759,397090887833,-139685546287,-2281542068,0
2020-04-08,-39421401741,-1032257622,-3219934015,-7720281447,806866004,-2214399242,16090100125,-27314766571,165497707779,-101570269043,98635773,0
2020-04-09,-15444025203,-4302011925,-23670763264,-22740572368,-893968145,-983955400,-3464504891,-6072632600,155558556261,-77564347674,-421774791,0
2020-04-10,-62069393408,-5554821087,-30432230642,-18846931816,141171801,-8009465000,16216132555,-3885152598,249779876608,-137178548863,-160637550,0
2020-04-13,-47005112708,-10399016840,-48399286555,-11520712614,-489374973,-1939260305,9092589765,-9975796349,214379019629,-93780132029,37082979,0
2020-04-14,19263202512,2344208775,-8715933962,-13615321622,1699316959,-535813790,2090653585,-12506968176,-168915621701,176866175543,2026101877,0
2020-04-16,-26199403645,4225284750,15429714705,273896186,439872892,412611573,18790392065,769900880,-85649664428,72934462698,-1427067676,0
2020-04-17,41948301867,-3354640615,6128340032,-2597687556,-1535950110,-18459880640,-3065740691,-2037828671,20862081593,-37053248578,-833746631,0
2020-04-20,-37232909796,-4844088815,-21483203920,-25060411702,-823346594,-2094758770,-10861242384,-1764065361,127824287146,-26020292448,2360032644,0
2020-04-21,-15736052388,248724845,-482871861,-867461731,-265232165,-688483882,7346710550,-6614025109,78050350293,-61677901372,686242820,0
2020-04-22,-30842795615,316216040,-4512486934,2272339508,-197749310,-6572083090,18459290015,-24094680997,69227834258,-24881267613,825383738,0
2020-04-23,11213222730,2294267905,2621075264,-4410703065,245926400,880730510,7567308605,-28852837267,42400802696,-33085601206,-874192572,0
2020-04-24,-12446172777,-3181420510,-30805987805,-13142376576,-6800390,-7151126605,9891370990,3114356343,158509918180,-103891288101,-890472749,0
2020-04-27,7582040241,2317222345,22661210334,-14388432138,-584145624,-1439172955,-4708209910,-26838957626,-56357966403,74140030432,-2383618696,0
2020-04-28,-26223866462,415304910,-12233077561,-17364804465,206802448,-3939381535,4907407070,-23515425410,196385112363,-117530943841,-1107127517,0
2020-04-29,-25377746715,-8698319135,-9158693692,-9575770504,1849168211,-1431365535,14321654220,-518526238,60121021115,-22332890230,801468503,0
2020-05-04,-51337258484,-587507020,-5332254932,-11267775554,-1431864303,-664802660,-6645271193,-11886605672,82046421049,7794990172,-688071403,0
2020-05-06,60381885570,2396156060,3535719107,5899451996,-1468941375,-6332744605,2897392830,-17770256474,-126219705209,77303662564,-622620464,0
2020-05-07,13481130879,2728697185,8194878857,-2761181623,107485035,-1633040138,11767643671,-20324303787,-27196892683,19104490592,-3468907988,0
2020-05-08,37532926497,58848276317,14920353270,16709811860,1551374115,-5381916415,21038495855,-24557177840,-198951595762,77630765328,658686775,0
2020-05-11,-74397385910,71769791709,-18426980076,-5913061246,-35147331,-7871480835,9547720005,-16769392506,149595479788,-108032323535,532779937,0
2020-05-12,-23747157867,6189844878,3066692410,242835742,-1240558155,-3050183440,-3955468160,-5590851597,75551056281,-49619942140,2153732048,0
2020-05-13,36957759564,-2018923357,-18631794830,1083453494,-144381770,-15057425968,-12003213790,-31298182819,42068739521,807355578,-1763385623,0
2020-05-14,27098204957,3435772905,-20668850983,-13107486593,1041783085,-6600756465,-9417052415,-33701430454,73471616792,-20982253881,-569546948,0
2020-05-15,26854615212,-2506331980,-3138000837,-3434870695,330964730,-3180759283,-2103228950,-16042517577,55770172139,-51850434983,-699607776,0
2020-05-18,-31365652212,-8120374243,-18383157976,-12426611769,-49637220,-854670785,-13508561585,-12232127211,105228440589,-11245767617,2958120029,0
2020-05-19,-131365299,-15528076243,-39259775756,-63632024700,-819709850,-6249812438,-22952361979,-37657766740,167886961502,19332055515,-988124012,0
2020-05-20,19529502815,-8669955187,16069116462,8881169586,660641180,-2330288240,16797099224,-12524043622,-99795504516,64891088117,-3508825819,0
2020-05-21,-27177983327,-5400312369,2142549201,-4566038751,852365395,2664724034,-8364940581,-25795689845,34907761514,28641304552,2096260177,0
2020-05-22,-64652216713,-11763388876,-30639764085,-32458681824,-1026197705,-2379635354,-3616620708,-4004416667,284702502986,-132034650152,-2126930902,0
2020-05-25,3390312302,1464914197,5833323283,-1812917336,138454320,-1308458883,-7198630635,-12359923896,-86780594307,99991931425,-1358410470,0
2020-05-26,10541313407,-7216410321,1024286338,-8651391942,-55709460,-18961930326,2598638835,-21685361863,72586017443,-31845751050,1666298939,0
2020-05-27,-34373927004,-14613642866,-16363565389,-16276890827,102190780,-8771552029,-7164522560,-23452735123,421953757023,-302079671947,1040559942,0
2020-05-28,-53963576156,-15814325192,-96137954296,-50778687322,-1185941785,-6528634374,-16329989880,-65061194341,343956537132,-36985285855,-1170947931,0
2020-05-29,-14196466562,-841584775,-11116633842,-21726694539,-1065337115,-2267985660,5711712015,-23804522102,-104563247946,172918697701,952062825,0
2020-06-01,10232714744,-2144476602,32878185256,-5305033780,-370730315,-7960022740,-6773940945,-14489306839,-60590968466,56267026058,-1743446371,0
2020-06-02,23721646998,-11534094792,-26207067221,6596898611,207229905,-7299939125,-13961497475,-27110466828,63723397622,-9171307202,1035199507,0
2020-06-03,-16972746529,-44623919715,-68375394102,-35193225898,-791737570,-7830622380,-49003337320,-32168858304,350615309055,-91221130598,-4434336639,0
2020-06-04,-56138636378,-5874385617,-38893723356,-15123905640,-3484097300,-15607575335,-8008344160,-12498916403,20853358634,134873558823,-97333268,0
2020-06-05,-2727385857,-10112196285,-47536422656,-2189734105,-2184428410,4642824345,-2569160090,-14922095764,-16491292292,100250120197,-6160229083,0
2020-06-08,3811649186,-7327369640,-38999491628,-27059297280,-1162990675,-7840385836,-19610757880,-14746787626,97011965884,13951888248,1971577247,0
2020-06-09,-26012472215,720806174,-18909220343,-15559720518,2161505675,-1696869050,-16476066435,-26882424238,10617575697,93638965525,-1602080272,0
2020-06-10,-14902652725,3709876460,-9954244448,-11261226855,649485925,-10694762680,-4740241585,-39849464651,21874293607,62196988055,2971948897,0
2020-06-11,-82994124287,-498834454,10837052294,-19896115203,-126031564,-5118355325,-2139055665,-38204424252,190045341974,-50231787700,-1673665818,0
2020-06-12,-34379005904,4579257031,2186193857,6019368550,-1053660935,-6214451320,14247423250,-72957237950,-43691837106,129162085010,2101865517,0
2020-06-15,-51320972766,5857172298,-84004827600,-5465253162,-1376977019,-186328875,-1839492585,-1173110987,271748886974,-134596511286,2357415008,0
2020-06-16,64917786301,9510298175,13479748837,-8625667469,-76564595,-7959656510,9176535715,-16482342078,-488474097595,430601417554,-6067458335,0
2020-06-17,-72161569630,5557161226,11503216243,-33799761132,442406775,-7075704010,14637130755,-10326779007,204712428260,-114861382176,1372852696,0
2020-06-18,-44602592867,15589083413,15090385962,300835551,-921397735,-7527870970,7843320905,-32539583430,142414014884,-96116103306,469907593,0
2020-06-19,-31254542931,7384225555,-862572895,-11253689599,-2097651985,-2003049030,9745496890,-57143120321,157082308369,-67345985237,-2251418816,0
2020-06-22,-12245834327,6859904089,34559545135,6469342179,-2936723720,-4170661465,10654082515,-7984075271,-8782391581,-21482288277,-940899277,0
2020-06-23,-20650758629,3369358525,4461624948,-7738418508,706729315,-1777596090,5838086050,-20273872013,111933783197,-79352326220,3483389425,0
2020-06-24,7351128983,5626489600,-34828465475,-52169123675,-2207926685,-1004237815,3256282305,-6399317902,12562244704,67640620239,172305721,0
2020-06-25,-68723688508,3141738181,-25085768852,-18147311033,1764504815,-24102556160,14345986320,-10087365723,197893929924,-69245216264,-1754252700,0
2020-06-26,-9675620969,4487327430,6566849390,6386996714,-342409035,-6157616445,6238103670,-35077041714,7587744297,19394829909,590836753,0
2020-06-29,-80777194289,-6927801630,-16423841780,-11889007186,-5035268960,1910680235,-5603170855,-3436997396,225051697666,-94864338585,-2004757220,0
2020-06-30,10899335453,-6419865625,713275587,41374515176,-870602150,-1190263810,-6281109980,-117357778175,-6177260981,139519753145,-54209998640,0
2020-07-01,-3882434105,-2234832100,2702249430,-32672964788,135504300,-383418945,339298090,-5479954634,67304025131,-21982434972,-3845037407,0
2020-07-02,35706709354,2024668165,-7467594865,6174325573,13635065,-4184420850,-981916190,2495575123,-183421552655,147878806919,1761764361,0
2020-07-03,-22638690989,3163317915,312029360,-1374385892,207222470,-14891693495,1734047810,-22640647804,17583615248,42325633425,-3780448048,0
2020-07-06,5379841365,-1295136275,70894036,-3971017484,-192648125,-8407817335,-5363221990,-4311553619,80872874364,-60864913656,-1917301281,0
2020-07-07,-46127987753,5284208092,-11249623000,17123696911,-1261385855,-8789441460,28380651405,-11171927022,262718913760,-239025255341,4118150263,0
2020-07-08,-15026293546,15107422160,446775977,-3045790257,53045120,-1725051615,22402658580,-25533124032,-17514080066,24021899438,812538241,0
2020-07-09,-1989224262,13951448120,1008685170,-20797043395,661174845,-4792708610,8598218510,-11361226724,23860307076,-7747420388,-1392210342,0
2020-07-10,-77682080222,11167227455,-242533736,-203358979,-698682295,763635280,20074485570,-3053677770,98021801553,-46707219444,-1439597412,0
2020-07-13,4999125037,-1587303220,3473279751,-31157717523,-486859085,-1150707660,1193286100,-19055183175,87617462268,-45619595684,1774213191,0
2020-07-14,2461138351,2947540795,-4114332877,6691461345,-190089018,-431343650,-95882127295,-22868175681,123285916859,-11792018754,-107970075,0
2020-07-15,8244440943,-7726853765,-5933396678,-15555854816,-700087065,801114875,-25382474495,-12239163501,16614823088,41642807782,234643632,0
2020-07-16,-59387511059,-2326428150,-40705902689,-58769193915,-764803120,-4116855885,-2293205960,-53413973029,364021593760,-144164226755,1920506802,0
2020-07-17,3307898368,1199529630,11182224657,-6866059242,-505858410,-1124634997,-3031920855,-28681426399,-92348542842,116170004085,698786005,0
2020-07-20,-3022193032,93453420,-3543798397,-7452665050,-738064455,383377270,7470978310,-14937781550,117084039338,-95663442346,326096492,0
2020-07-21,56279423121,-3655816984,17811991609,-34481624469,-3340736800,-356700615,-5321359227,-23818687764,-103064580884,103494650686,-3546558673,0
2020-07-22,-37969389927,-757505195,-8384275088,-36302902537,-2762864425,-2577627047,8196763505,-36346452430,66600904916,49723836139,579512089,0
2020-07-23,-37834483215,4744014160,13172840140,-18610532255,-2493001185,-18686878955,45833115585,-27100335725,-9757339765,50306640629,425960586,0
2020-07-24,-6119585018,4293936360,-17884371798,-31694508525,-3720900715,-3394936030,15799466625,-19987760703,187227584912,-125295396623,776471515,0
2020-07-27,19225095367,3465792099,19536434929,-6245405475,-7723683550,-10008012250,17961467570,-45248287745,-73386378007,85528594482,-3105617420,0
2020-07-28,-2819880389,-8451260725,25018445331,-134761952,-1025862075,-10817940595,381846330,-53790134134,61970752186,-9507510346,-823693631,0
2020-07-29,-50086115336,-2874255327,-46094794088,-20083015291,-1394126420,-26479066844,-19466998413,-94743192131,186487789096,74050548502,683226252,0
2020-07-30,-23978822915,-3810730970,-12131081639,-190962161,-963594800,-7141052010,5795763060,-42156336323,95340264732,-11196257707,432810733,0
2020-07-31,-44229728976,-7559016230,-27650397891,-35157967532,-2172579715,-9005414390,-7459820155,-12807016976,233954684831,-86172522868,-1740220098,0
2020-08-03,1989390337,4957962600,21954133396,-6317077891,-1455596170,-16579690230,-1184246835,-33346046340,-17763551052,46665647849,1079074336,0
2020-08-04,-3119553354,-1768505295,626446550,-21226503996,-3785698250,-9638340415,-16402411285,-29209917332,154895884365,-70866828511,495427523,0
2020-08-05,56514306634,-5900681385,26302915102,-19278102251,-2208578145,-3497301355,11915861275,-69822927485,-128686715135,134783925473,-122702728,0
2020-08-06,-9705645830,-10326042630,-43746906030,-46356458804,-5685947910,-9281572925,-8731271760,-14776173050,200258085363,-53543051404,1894984980,0
2020-08-07,-9117053588,-163030575,-8930499127,-28606702765,-6816040170,-4321221595,-2406033630,-22702714940,51555738543,29078264394,2429293453,0
2020-08-10,26807368789,-952282144,-39521669531,-53753217885,-3983426225,-11047202860,-14952857630,-32715073456,220946081179,-91454233625,626513388,0
2020-08-11,-47088962346,-7589420491,-46210529896,-19955508293,-2708937895,-6548103080,-16870787245,-23325152307,208501968088,-37646099422,-558467113,0
2020-08-12,-73923167229,-31696148235,-116002193377,-52210021666,-4937355965,-7638776435,-20186785705,-16974328855,438605429608,-116002808816,966156675,0
2020-08-13,77728353535,-7418889930,-27981963870,-13811932622,-8277910535,-13948879580,3076805925,-29143401903,-167498377357,188650463140,-1374266803,0
2020-08-14,-2724209870,-10795754280,-25481697006,-39477248750,-337164555,-11298172745,-11506680915,-5390816263,186747103857,-78105820163,-1629539310,0
2020-08-18,-38204090897,-9263926600,-70975116334,-36538578011,41193005,-15292012715,-7551085630,-42216836022,313640039214,-88971120385,-4668465625,0
2020-08-19,34464565831,812986375,68982566,-6667006148,-4460256665,-22408197765,-272828590,-24230376637,-95725165339,125210785822,-6793489450,0
2020-08-20,-109131762041,-8522582969,-27392622870,-20119318619,-3413530200,-1388601845,-5005025510,-14629826484,377388595570,-188848313557,1062988525,0
2020-08-21,54009012973,-7112179006,1947655288,-11080074601,417574905,-6416586510,767041229,-45487330513,-4419866636,18248393323,-873640452,0
2020-08-24,45861801444,-6851006840,43925674595,30569288214,480483325,-8493053665,-2630660957,-37687772391,-231461069080,164739798094,1546517261,0
2020-08-25,44096110719,-1111196975,32876573757,43311012092,-11844795,-12702486460,3694124330,-8552716792,-134715738859,34535996201,-1419833218,0
2020-08-26,-79968712106,-2161223315,16375103366,13209421380,156683260,199924515,22970477595,-24194619074,133857363356,-78173864977,-2270554000,0
2020-08-27,-44640513200,1403049530,-15894340176,-29956626485,830710500,-1342296510,3276268640,-65856654881,276924963927,-126280299580,1535738235,0
2020-08-28,81860737872,405900410,15400827159,-14451118661,-4601531320,-7256862305,-911742105,-12422796269,-118462554507,63417532219,-2978392493,0
2020-08-31,-27437172331,-3288186345,-30639668058,-32644905816,-6640066520,-322066487,-21778217860,27508142088,-149206971336,249884248201,-5435135536,0
2020-09-01,-12607493258,-1197721765,-8609156324,-18323431448,-8508874695,-2798835269,26350918765,-11856034091,141296881209,-104061025559,314772435,0
2020-09-02,2234792927,3241313920,17456018896,-6436055868,-378617365,-147106470,29084335640,-16519247244,-174774117916,150166248283,-3927564803,0
2020-09-03,5003774359,4497781185,-7956435788,-6539817181,900564710,-4824425205,10266527730,1548321632,4058737221,-5131400796,-1823627867,0
2020-09-04,-71112265653,11169409895,-43749262152,-25059158547,1156044030,-4038407325,10806484445,-70899060390,224094484840,-31978282057,-389987086,0
2020-09-07,-34399691022,-9289523796,-16470794739,-50451463836,-1774166480,-8058156860,8175799240,-3161108724,140793753998,-25885490728,520842947,0
2020-09-08,42574718089,-9230364345,-5680670092,-36874569542,-3702325210,-4025513525,1678068363,-67405202520,158483506943,-69560966536,-6256681625,0
2020-09-09,-35809257523,-4167665158,-27788922828,-32771734902,-4286363845,-2905685655,6229726945,-26561090848,160614441515,-35322925084,2769477383,0
2020-09-10,97005064988,-5011242382,8134513010,-51581211590,-1163131920,-3715301820,13270517205,-14573460263,-56868810105,15439814636,-936751759,0
2020-09-11,-96558825927,-4481377070,-57007391284,-67835370862,-462642730,-2588709040,-7301135908,-88546435220,516680745528,-189266098368,-2632759119,0
2020-09-14,-29060780471,-1635385200,-18487005050,-62898053348,-10021025610,-9954055855,2644874180,-58830805467,202082270199,-10727478180,-3112555198,0
2020-09-15,13414128177,-2622618115,-8114219675,-31168010664,-937773670,-3597809195,15643455425,-34191048141,82496652564,-29716778856,-1205977850,0
2020-09-16,-53125147323,-1609170175,-49898908311,-35982334783,-119618530,-4304188530,7661760552,-27647429016,170092391797,-6966970898,1899615217,0
2020-09-17,-73661134710,-6245671415,-46701588035,-42171035560,-2255422550,-1552662170,584426510,-20498177702,223645004646,-31383887787,240148773,0
2020-09-18,-6863965550,-108572575,-37076295587,-69340167648,-3434962530,-22781658835,-7222117830,-41880936699,53753575884,136685789403,-1730688033,0
2020-09-21,-77326577294,-19781634270,-58985684984,-55810907762,-2909557370,-1560922905,-38424129860,-40326303265,444457983107,-152116241749,2783976352,0
2020-09-22,-21672294834,-7651403462,-47114844211,-50923890444,-993172190,-7201628905,-28330354665,-12352041743,144790655245,30604954083,844021126,0
2020-09-23,-448603327,-1275467800,-18308294950,-30842386819,-3994461180,920690830,-17582015737,-20474464522,79274590743,11390007529,1340405233,0
2020-09-24,-13806565501,-4469877544,-34316685763,-34619830069,-1798009085,-4379401275,-26248087540,-23335940206,179414200088,-39269572027,2829768922,0
2020-09-25,7654123338,-3223941680,-1289926007,-26435904423,-2658251780,-797834980,-4015635625,-34030100566,-73969623,64127610102,743831244,0
2020-09-28,25922825094,-2190015005,21171951186,-3511689025,692178500,-864803660,4874935465,-5043492158,-121118249505,81819229243,-1752870135,0
2020-09-29,-6350924176,4399858114,4145630079,-16665341495,-730755710,-4713578420,-256469150,-2620955312,83583110917,-59461757903,-1328816944,0
2020-10-05,76885103453,-3034176524,-15334797069,-13849919795,-191891765,-1211357765,-20345601030,-25298215574,6906918047,-2805927065,-1720134913,0
2020-10-06,-52940213073,-8564241139,6381322798,-13084570173,-819501910,-1126338115,-11849330735,-11988627853,150816673876,-57305999021,480825345,0
2020-10-07,-3364507905,2875876625,11616312530,-2328848613,-1606773550,-1735679370,2021733085,-15844847226,-32024720326,42260982446,-1869527696,0
2020-10-08,-42387034608,-3301291720,-114354290,-19676392680,-941916695,-8951790800,-7854971500,-31038828358,111281059401,2786985394,198535856,0
2020-10-12,19674669947,-15264617793,-13177825632,-126415899700,-970382260,-3667761745,-19871613660,-21222096575,201350633156,-19539278859,-895826879,0
2020-10-13,-31805986305,-7580910470,8894910726,3679588832,432016835,-5867354966,-10626246375,-30407435557,134672990655,-59914647199,-1476926176,0
2020-10-14,-97353830799,-9785519770,-17550448476,-38388601276,-2916998735,-19548648020,-18631649725,-45714290138,278764008480,-29346120853,472099312,0
2020-10-15,-59178468285,-28586395025,-57062928510,-32933183379,-1228129165,-10225799335,-30865337760,-22552872605,254126115581,-10116699729,-1376301788,0
2020-10-16,-64944035706,-13297426547,-16614798985,-36134146285,-3216628800,-5517442645,-32055383395,8546263272,171286444593,-9219861639,1167016137,0
2020-10-19,15311978516,-15832713055,-34926711816,-30512844785,-1625134860,-5836325683,-26919051520,-13295702020,86365802119,26583391066,687312038,0
2020-10-20,10987733893,-6261927035,-13284659832,-26205138869,-3637662675,-10118379240,-13304435545,-9894812030,-23106653459,94660424607,165510185,0
2020-10-21,59177506825,-10761451144,-10307637635,-6344197897,-1253691750,-6290030464,-18006982315,-30389389254,95655515502,-72100429889,620788021,0
