_date,Volume
2026-04-27,1887349
2026-04-28,1620459
2026-04-29,1655514
2026-04-30,2173316
2026-05-04,2253174
2026-05-06,3281458
2026-05-07,2958102
2026-05-08,2170669
2026-05-11,2856833
2026-05-12,5863435
2026-05-13,5352766
2026-05-14,3966268
2026-05-15,3593624
2026-05-18,3158844
2026-05-19,4054311
2026-05-20,6148211
2026-05-21,2882320
