날짜,IT,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,1696.14,,,,,,,,,,,,
2010-01-05,1690.62,,,,,,,,,,,,
2010-01-06,1705.32,,,,,,,,,,,,
2010-01-07,1683.45,,,,,,,,,,,,
2010-01-08,1695.26,,,,,,,,,,,,
2010-01-11,1694.12,,,,,,,,,,,,
2010-01-12,1698.64,,,,,,,,,,,,
2010-01-13,1671.41,,,,,,,,,,,,
2010-01-14,1685.77,,,,,,,,,,,,
2010-01-15,1701.8,,,,,,,,,,,,
2010-01-18,1711.78,,,,,,,,,,,,
2010-01-19,1710.22,,,,,,,,,,,,
2010-01-20,1714.38,,,,,,,,,,,,
2010-01-21,1722.01,,,,,,,,,,,,
2010-01-22,1684.35,,,,,,,,,,,,
2010-01-25,1670.2,,,,,,,,,,,,
2010-01-26,1637.34,,,,,,,,,,,,
2010-01-27,1625.48,,,,,,,,,,,,
2010-01-28,1642.43,,,,,,,,,,,,
2010-01-29,1602.43,,,,,,,,,,,,
2010-02-01,1606.44,,,,,,,,,,,,
2010-02-02,1595.81,,,,,,,,,,,,
2010-02-03,1615.02,,,,,,,,,,,,
2010-02-04,1616.42,,,,,,,,,,,,
2010-02-05,1567.12,,,,,,,,,,,,
2010-02-08,1552.79,,,,,,,,,,,,
2010-02-09,1570.49,,,,,,,,,,,,
2010-02-10,1570.12,,,,,,,,,,,,
2010-02-11,1597.81,,,,,,,,,,,,
2010-02-12,1593.66,,,,,,,,,,,,
2010-02-16,1601.05,,,,,,,,,,,,
2010-02-17,1627.43,,,,,,,,,,,,
2010-02-18,1621.19,,,,,,,,,,,,
2010-02-19,1593.9,,,,,,,,,,,,
2010-02-22,1627.1,,,,,,,,,,,,
2010-02-23,1628.9,,,,,,,,,,,,
2010-02-24,1612.83,,,,,,,,,,,,
2010-02-25,1587.51,,,,,,,,,,,,
2010-02-26,1594.58,,,,,,,,,,,,
2010-03-02,1615.12,,,,,,,,,,,,
2010-03-03,1622.44,,,,,,,,,,,,
2010-03-04,1618.2,,,,,,,,,,,,
2010-03-05,1634.57,,,,,,,,,,,,
2010-03-08,1660.04,,,,,,,,,,,,
2010-03-09,1660.83,,,,,,,,,,,,
2010-03-10,1662.24,,,,,,,,,,,,
2010-03-11,1656.62,,,,,,,,,,,,
2010-03-12,1662.74,,,,,,,,,,,,
2010-03-15,1649.5,,,,,,,,,,,,
2010-03-16,1648.01,,,,,,,,,,,,
2010-03-17,1682.86,,,,,,,,,,,,
2010-03-18,1675.17,,,,,,,,,,,,
2010-03-19,1686.11,,,,,,,,,,,,
2010-03-22,1672.67,,,,,,,,,,,,
2010-03-23,1681.82,,,,,,,,,,,,
2010-03-24,1681.01,,,,,,,,,,,,
2010-03-25,1688.39,,,,,,,,,,,,
2010-03-26,1697.72,,,,,,,,,,,,
2010-03-29,1691.99,,,,,,,,,,,,
2010-03-30,1700.19,,,,,,,,,,,,
2010-03-31,1692.85,,,,,,,,,,,,
2010-04-01,1719.17,,,,,,,,,,,,
2010-04-02,1723.49,,,,,,,,,,,,
2010-04-05,1724.99,,,,,,,,,,,,
2010-04-06,1726.09,,,,,,,,,,,,
2010-04-07,1726.6,,,,,,,,,,,,
2010-04-08,1733.78,,,,,,,,,,,,
2010-04-09,1724.47,,,,,,,,,,,,
2010-04-12,1710.3,,,,,,,,,,,,
2010-04-13,1710.59,,,,,,,,,,,,
2010-04-14,1735.33,,,,,,,,,,,,
2010-04-15,1743.91,,,,,,,,,,,,
2010-04-16,1734.49,,,,,,,,,,,,
2010-04-19,1705.3,,,,,,,,,,,,
2010-04-20,1718.03,,,,,,,,,,,,
2010-04-21,1747.58,,,,,,,,,,,,
2010-04-22,1739.52,,,,,,,,,,,,
2010-04-23,1737.03,,,,,,,,,,,,
2010-04-26,1752.2,,,,,,,,,,,,
2010-04-27,1749.55,,,,,,,,,,,,
2010-04-28,1733.91,,,,,,,,,,,,
2010-04-29,1728.42,,,,,,,,,,,,
2010-04-30,1741.56,,,,,,,,,,,,
2010-05-03,1721.21,,,,,,,,,,,,
2010-05-04,1718.75,,,,,,,,,,,,
2010-05-06,1684.71,,,,,,,,,,,,
2010-05-07,1647.5,,,,,,,,,,,,
2010-05-10,1677.63,,,,,,,,,,,,
2010-05-11,1670.24,,,,,,,,,,,,
2010-05-12,1663.03,,,,,,,,,,,,
2010-05-13,1694.58,,,,,,,,,,,,
2010-05-14,1695.63,,,,,,,,,,,,
2010-05-17,1651.51,,,,,,,,,,,,
2010-05-18,1643.24,,,,,,,,,,,,
2010-05-19,1630.08,,,,,,,,,,,,
2010-05-20,1600.18,,,,,,,,,,,,
2010-05-24,1604.93,,,,,,,,,,,,
2010-05-25,1560.83,,,,,,,,,,,,
2010-05-26,1582.12,,,,,,,,,,,,
2010-05-27,1607.5,,,,,,,,,,,,
2010-05-28,1622.78,,,,,,,,,,,,
2010-05-31,1641.25,,,,,,,,,,,,
2010-06-01,1630.4,,,,,,,,,,,,
2010-06-03,1661.84,,,,,,,,,,,,
2010-06-04,1664.13,,,,,,,,,,,,
2010-06-07,1637.97,,,,,,,,,,,,
2010-06-08,1651.48,,,,,,,,,,,,
2010-06-09,1647.22,,,,,,,,,,,,
2010-06-10,1651.7,,,,,,,,,,,,
2010-06-11,1675.34,,,,,,,,,,,,
2010-06-14,1690.6,,,,,,,,,,,,
2010-06-15,1690.03,,,,,,,,,,,,
2010-06-16,1705.33,,,,,,,,,,,,
2010-06-17,1707.92,,,,,,,,,,,,
2010-06-18,1711.95,,,,,,,,,,,,
2010-06-21,1739.68,,,,,,,,,,,,
2010-06-22,1731.48,,,,,,,,,,,,
2010-06-23,1725.82,,,,,,,,,,,,
2010-06-24,1739.87,,,,,,,,,,,,
2010-06-25,1729.84,,,,,,,,,,,,
2010-06-28,1732.03,,,,,,,,,,,,
2010-06-29,1707.76,,,,,,,,,,,,
2010-06-30,1698.29,,,,,,,,,,,,
2010-07-01,1686.24,,,,,,,,,,,,
2010-07-02,1671.82,,,,,,,,,,,,
2010-07-05,1675.37,,,,,,,,,,,,
2010-07-06,1684.94,,,,,,,,,,,,
2010-07-07,1675.65,,,,,,,,,,,,
2010-07-08,1698.64,,,,,,,,,,,,
2010-07-09,1723.01,,,,,,,,,,,,
2010-07-12,1734.05,,,,,,,,,,,,
2010-07-13,1735.08,,,,,,,,,,,,
2010-07-14,1758.01,,,,,,,,,,,,
