_date,Open,High,Low,Close,Volume
2026-02-24,3683.57,3686.83,3585.09,3680.47,41877178
2026-02-25,3700.32,3747.89,3666.21,3723.83,98932100
2026-02-26,3777.81,3895.76,3763.9,3893.46,99947370
2026-02-27,3907.3,4113.36,3907.3,4056.58,84010914
2026-03-03,4007.23,4031.66,3715.05,3720.98,52587596
2026-03-04,3557.1,3633.51,3118.08,3177.79,62494168
2026-03-05,3257.28,3680.08,3256.39,3600.13,38314667
2026-03-06,3612.95,3804.11,3530.49,3804.11,29385324
2026-03-09,3684.14,3764.76,3508.52,3663.36,24553792
2026-03-10,3778.51,3923.76,3758.49,3862.46,30023904
2026-03-11,3894.46,3916.25,3750.88,3817.44,31141796
2026-03-12,3809.47,3892.93,3803.94,3892.93,20869353
2026-03-13,3778.32,3947.86,3778.32,3903.88,26346117
2026-03-16,3915.73,3962.62,3797.63,3844.84,21311011
2026-03-17,3923.15,3923.92,3834.39,3834.69,21535956
2026-03-18,3918.8,3939.39,3899.23,3937.42,40800677
2026-03-19,3863.63,3955.04,3853.32,3894.2,35745631
2026-03-20,3925.32,4031.62,3904.75,3983.66,40390720
2026-03-23,3873.83,3876.94,3718.58,3723.03,26111336
2026-03-24,3888.26,3896.85,3625.22,3731.53,18971120
2026-03-25,3808.09,3855.65,3783.92,3819.39,16618094
2026-03-26,3828.67,3837.32,3685.7,3699.89,13905175
2026-03-27,3608.99,3662.77,3491.64,3629.51,15628102
2026-03-30,3447.31,3501.04,3395.34,3482.17,11651946
2026-03-31,3465.83,3520.93,3372.7,3391.02,16094292
2026-04-01,3575.21,3692.8,3541.71,3674.67,22412919
2026-04-02,3715.03,3757.2,3439.72,3478.47,26315300
2026-04-03,3554.61,3594.98,3536.22,3578.96,19302460
2026-04-06,3586.18,3644.79,3524.38,3540.01,16559941
2026-04-07,3603.48,3606.69,3479.15,3523.68,15957022
2026-04-08,3722.13,3789.14,3696.08,3788.43,39957045
2026-04-09,3748.99,3796.54,3730.77,3781.48,71531821
2026-04-10,3820.53,3824.31,3772.13,3805.72,29673025
2026-04-13,3718.12,3759.44,3686.13,3759.33,12314012
2026-04-14,3831.97,3834.37,3788.96,3804.75,21611106
2026-04-15,3893.14,3954.95,3892.0,3924.92,31309510
2026-04-16,3976.75,4062.12,3976.75,4044.65,31530601
2026-04-17,4048.85,4050.02,3963.56,4034.4,62800157
2026-04-20,4032.33,4151.92,4032.33,4077.09,22267980
2026-04-21,4138.98,4229.07,4133.2,4229.07,85554482
2026-04-22,4202.51,4258.84,4124.28,4252.55,36456623
2026-04-23,4322.48,4409.57,4252.69,4389.42,48788537
2026-04-24,4399.34,4550.98,4399.34,4540.27,30242595
2026-04-27,4629.01,4875.19,4577.09,4844.06,36169372
2026-04-28,4805.79,4832.66,4750.57,4774.53,44142076
2026-04-29,4742.67,4822.05,4701.99,4802.88,24054660
2026-04-30,4832.69,4879.07,4742.63,4768.41,29163286
2026-05-04,4853.1,4853.1,4796.38,4833.73,140025622
2026-05-06,4891.33,4910.24,4792.2,4854.04,160735762
2026-05-07,4981.02,5109.29,4876.78,5019.14,127675329
2026-05-08,4916.37,4916.37,4785.24,4845.44,59043971
2026-05-11,4857.15,4883.84,4784.49,4853.32,194144744
2026-05-12,4910.08,5013.29,4535.13,4706.74,102519914
2026-05-13,4675.91,4678.53,4512.75,4658.01,75673676
2026-05-14,4664.15,4674.65,4520.68,4622.46,47667386
2026-05-15,4641.18,4643.25,4304.12,4384.77,99857935
2026-05-18,4277.75,4278.1,3969.65,4220.9,42340086
2026-05-19,4171.42,4171.42,3881.08,3966.01,37557571
2026-05-20,4023.16,4023.16,3777.66,3844.3,32095594
2026-05-21,4043.76,4179.73,4024.84,4171.15,44823767
