날짜,Energy,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,279.42,,,,,,,,,,,,
2010-01-05,277.78,,,,,,,,,,,,
2010-01-06,278.92,,,,,,,,,,,,
2010-01-07,276.04,,,,,,,,,,,,
2010-01-08,277.73,,,,,,,,,,,,
2010-01-11,278.36,,,,,,,,,,,,
2010-01-12,276.73,,,,,,,,,,,,
2010-01-13,274.91,,,,,,,,,,,,
2010-01-14,275.74,,,,,,,,,,,,
2010-01-15,280.08,,,,,,,,,,,,
2010-01-18,280.28,,,,,,,,,,,,
2010-01-19,276.4,,,,,,,,,,,,
2010-01-20,274.66,,,,,,,,,,,,
2010-01-21,279.62,,,,,,,,,,,,
2010-01-22,277.37,,,,,,,,,,,,
2010-01-25,274.2,,,,,,,,,,,,
2010-01-26,268.0,,,,,,,,,,,,
2010-01-27,266.0,,,,,,,,,,,,
2010-01-28,265.99,,,,,,,,,,,,
2010-01-29,258.59,,,,,,,,,,,,
2010-02-01,259.19,,,,,,,,,,,,
2010-02-02,262.47,,,,,,,,,,,,
2010-02-03,267.19,,,,,,,,,,,,
2010-02-04,267.3,,,,,,,,,,,,
2010-02-05,263.49,,,,,,,,,,,,
2010-02-08,263.59,,,,,,,,,,,,
2010-02-09,263.9,,,,,,,,,,,,
2010-02-10,265.51,,,,,,,,,,,,
2010-02-11,269.73,,,,,,,,,,,,
2010-02-12,271.35,,,,,,,,,,,,
2010-02-16,269.96,,,,,,,,,,,,
2010-02-17,271.49,,,,,,,,,,,,
2010-02-18,275.13,,,,,,,,,,,,
2010-02-19,275.69,,,,,,,,,,,,
2010-02-22,280.69,,,,,,,,,,,,
2010-02-23,277.93,,,,,,,,,,,,
2010-02-24,279.62,,,,,,,,,,,,
2010-02-25,277.05,,,,,,,,,,,,
2010-02-26,278.6,,,,,,,,,,,,
2010-03-02,279.38,,,,,,,,,,,,
2010-03-03,279.4,,,,,,,,,,,,
2010-03-04,278.09,,,,,,,,,,,,
2010-03-05,278.85,,,,,,,,,,,,
2010-03-08,281.01,,,,,,,,,,,,
2010-03-09,279.93,,,,,,,,,,,,
2010-03-10,280.36,,,,,,,,,,,,
2010-03-11,282.37,,,,,,,,,,,,
2010-03-12,283.77,,,,,,,,,,,,
2010-03-15,284.85,,,,,,,,,,,,
2010-03-16,284.27,,,,,,,,,,,,
2010-03-17,283.62,,,,,,,,,,,,
2010-03-18,281.95,,,,,,,,,,,,
2010-03-19,283.22,,,,,,,,,,,,
2010-03-22,283.65,,,,,,,,,,,,
2010-03-23,285.11,,,,,,,,,,,,
2010-03-24,284.32,,,,,,,,,,,,
2010-03-25,282.33,,,,,,,,,,,,
2010-03-26,284.03,,,,,,,,,,,,
2010-03-29,282.59,,,,,,,,,,,,
2010-03-30,283.96,,,,,,,,,,,,
2010-03-31,284.64,,,,,,,,,,,,
2010-04-01,287.1,,,,,,,,,,,,
2010-04-02,286.47,,,,,,,,,,,,
2010-04-05,280.36,,,,,,,,,,,,
2010-04-06,282.73,,,,,,,,,,,,
2010-04-07,291.49,,,,,,,,,,,,
2010-04-08,294.63,,,,,,,,,,,,
2010-04-09,293.6,,,,,,,,,,,,
2010-04-12,288.43,,,,,,,,,,,,
2010-04-13,291.36,,,,,,,,,,,,
2010-04-14,295.26,,,,,,,,,,,,
2010-04-15,297.14,,,,,,,,,,,,
2010-04-16,293.98,,,,,,,,,,,,
2010-04-19,294.8,,,,,,,,,,,,
2010-04-20,307.61,,,,,,,,,,,,
2010-04-21,307.07,,,,,,,,,,,,
2010-04-22,310.07,,,,,,,,,,,,
2010-04-23,303.94,,,,,,,,,,,,
2010-04-26,302.81,,,,,,,,,,,,
2010-04-27,299.57,,,,,,,,,,,,
2010-04-28,296.98,,,,,,,,,,,,
