날짜,Healthcare,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,176.24,,,,,,,,,,,,
2010-01-05,178.32,,,,,,,,,,,,
2010-01-06,178.04,,,,,,,,,,,,
2010-01-07,177.97,,,,,,,,,,,,
2010-01-08,178.2,,,,,,,,,,,,
2010-01-11,177.28,,,,,,,,,,,,
2010-01-12,176.78,,,,,,,,,,,,
2010-01-13,172.78,,,,,,,,,,,,
2010-01-14,172.92,,,,,,,,,,,,
2010-01-15,174.43,,,,,,,,,,,,
2010-01-18,173.2,,,,,,,,,,,,
2010-01-19,171.26,,,,,,,,,,,,
2010-01-20,171.13,,,,,,,,,,,,
2010-01-21,170.3,,,,,,,,,,,,
2010-01-22,166.77,,,,,,,,,,,,
2010-01-25,167.34,,,,,,,,,,,,
2010-01-26,167.56,,,,,,,,,,,,
2010-01-27,164.65,,,,,,,,,,,,
2010-01-28,166.14,,,,,,,,,,,,
2010-01-29,161.71,,,,,,,,,,,,
2010-02-01,163.37,,,,,,,,,,,,
2010-02-02,163.09,,,,,,,,,,,,
2010-02-03,163.89,,,,,,,,,,,,
2010-02-04,164.33,,,,,,,,,,,,
2010-02-05,162.08,,,,,,,,,,,,
2010-02-08,160.86,,,,,,,,,,,,
2010-02-09,161.49,,,,,,,,,,,,
2010-02-10,159.97,,,,,,,,,,,,
2010-02-11,161.65,,,,,,,,,,,,
2010-02-12,160.49,,,,,,,,,,,,
2010-02-16,160.66,,,,,,,,,,,,
2010-02-17,163.66,,,,,,,,,,,,
2010-02-18,162.99,,,,,,,,,,,,
2010-02-19,163.42,,,,,,,,,,,,
2010-02-22,165.4,,,,,,,,,,,,
2010-02-23,166.6,,,,,,,,,,,,
2010-02-24,167.24,,,,,,,,,,,,
2010-02-25,165.46,,,,,,,,,,,,
2010-02-26,165.9,,,,,,,,,,,,
2010-03-02,166.51,,,,,,,,,,,,
2010-03-03,165.48,,,,,,,,,,,,
2010-03-04,162.7,,,,,,,,,,,,
2010-03-05,163.36,,,,,,,,,,,,
2010-03-08,163.69,,,,,,,,,,,,
2010-03-09,163.78,,,,,,,,,,,,
2010-03-10,165.81,,,,,,,,,,,,
2010-03-11,169.38,,,,,,,,,,,,
2010-03-12,170.2,,,,,,,,,,,,
2010-03-15,169.96,,,,,,,,,,,,
2010-03-16,171.84,,,,,,,,,,,,
2010-03-17,174.14,,,,,,,,,,,,
2010-03-18,175.14,,,,,,,,,,,,
2010-03-19,177.91,,,,,,,,,,,,
2010-03-22,178.88,,,,,,,,,,,,
2010-03-23,178.69,,,,,,,,,,,,
2010-03-24,176.93,,,,,,,,,,,,
2010-03-25,176.9,,,,,,,,,,,,
2010-03-26,177.38,,,,,,,,,,,,
2010-03-29,175.24,,,,,,,,,,,,
2010-03-30,177.13,,,,,,,,,,,,
2010-03-31,175.95,,,,,,,,,,,,
2010-04-01,176.56,,,,,,,,,,,,
2010-04-02,176.51,,,,,,,,,,,,
2010-04-05,173.92,,,,,,,,,,,,
2010-04-06,175.2,,,,,,,,,,,,
2010-04-07,176.2,,,,,,,,,,,,
2010-04-08,175.14,,,,,,,,,,,,
2010-04-09,174.04,,,,,,,,,,,,
2010-04-12,173.66,,,,,,,,,,,,
2010-04-13,173.9,,,,,,,,,,,,
2010-04-14,174.99,,,,,,,,,,,,
2010-04-15,175.4,,,,,,,,,,,,
2010-04-16,173.69,,,,,,,,,,,,
2010-04-19,170.78,,,,,,,,,,,,
2010-04-20,173.37,,,,,,,,,,,,
2010-04-21,174.31,,,,,,,,,,,,
2010-04-22,173.46,,,,,,,,,,,,
2010-04-23,174.33,,,,,,,,,,,,
2010-04-26,174.97,,,,,,,,,,,,
2010-04-27,173.9,,,,,,,,,,,,
2010-04-28,171.81,,,,,,,,,,,,
2010-04-29,171.52,,,,,,,,,,,,
2010-04-30,172.67,,,,,,,,,,,,
2010-05-03,172.81,,,,,,,,,,,,
2010-05-04,173.6,,,,,,,,,,,,
2010-05-06,171.81,,,,,,,,,,,,
2010-05-07,167.45,,,,,,,,,,,,
2010-05-10,169.31,,,,,,,,,,,,
2010-05-11,170.9,,,,,,,,,,,,
2010-05-12,173.18,,,,,,,,,,,,
2010-05-13,174.28,,,,,,,,,,,,
2010-05-14,176.51,,,,,,,,,,,,
2010-05-17,173.95,,,,,,,,,,,,
2010-05-18,176.96,,,,,,,,,,,,
2010-05-19,174.45,,,,,,,,,,,,
2010-05-20,170.03,,,,,,,,,,,,
2010-05-24,168.18,,,,,,,,,,,,
2010-05-25,162.95,,,,,,,,,,,,
2010-05-26,164.36,,,,,,,,,,,,
2010-05-27,167.55,,,,,,,,,,,,
2010-05-28,167.95,,,,,,,,,,,,
2010-05-31,169.92,,,,,,,,,,,,
2010-06-01,168.44,,,,,,,,,,,,
2010-06-03,169.42,,,,,,,,,,,,
2010-06-04,168.42,,,,,,,,,,,,
2010-06-07,164.96,,,,,,,,,,,,
2010-06-08,168.59,,,,,,,,,,,,
2010-06-09,170.12,,,,,,,,,,,,
