날짜,Finance,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,1657.56,,,,,,,,,,,,
2010-01-05,1651.45,,,,,,,,,,,,
2010-01-06,1666.71,,,,,,,,,,,,
2010-01-07,1642.87,,,,,,,,,,,,
2010-01-08,1653.4,,,,,,,,,,,,
2010-01-11,1650.97,,,,,,,,,,,,
2010-01-12,1657.99,,,,,,,,,,,,
2010-01-13,1630.18,,,,,,,,,,,,
2010-01-14,1645.47,,,,,,,,,,,,
2010-01-15,1661.34,,,,,,,,,,,,
2010-01-18,1672.12,,,,,,,,,,,,
2010-01-19,1671.55,,,,,,,,,,,,
2010-01-20,1678.04,,,,,,,,,,,,
2010-01-21,1686.55,,,,,,,,,,,,
2010-01-22,1647.5,,,,,,,,,,,,
2010-01-25,1634.43,,,,,,,,,,,,
2010-01-26,1601.13,,,,,,,,,,,,
2010-01-27,1589.38,,,,,,,,,,,,
2010-01-28,1607.52,,,,,,,,,,,,
2010-01-29,1569.0,,,,,,,,,,,,
2010-02-01,1572.38,,,,,,,,,,,,
2010-02-02,1559.62,,,,,,,,,,,,
2010-02-03,1579.32,,,,,,,,,,,,
2010-02-04,1580.98,,,,,,,,,,,,
2010-02-05,1531.29,,,,,,,,,,,,
2010-02-08,1518.86,,,,,,,,,,,,
2010-02-09,1537.53,,,,,,,,,,,,
2010-02-10,1536.58,,,,,,,,,,,,
2010-02-11,1564.68,,,,,,,,,,,,
2010-02-12,1559.15,,,,,,,,,,,,
2010-02-16,1566.02,,,,,,,,,,,,
2010-02-17,1593.67,,,,,,,,,,,,
2010-02-18,1586.9,,,,,,,,,,,,
2010-02-19,1558.73,,,,,,,,,,,,
2010-02-22,1591.7,,,,,,,,,,,,
2010-02-23,1592.62,,,,,,,,,,,,
2010-02-24,1573.82,,,,,,,,,,,,
2010-02-25,1548.14,,,,,,,,,,,,
2010-02-26,1554.23,,,,,,,,,,,,
2010-03-02,1576.72,,,,,,,,,,,,
2010-03-03,1585.1,,,,,,,,,,,,
2010-03-04,1580.62,,,,,,,,,,,,
2010-03-05,1596.61,,,,,,,,,,,,
2010-03-08,1623.16,,,,,,,,,,,,
2010-03-09,1623.43,,,,,,,,,,,,
2010-03-10,1624.54,,,,,,,,,,,,
2010-03-11,1618.4,,,,,,,,,,,,
2010-03-12,1623.26,,,,,,,,,,,,
2010-03-15,1609.47,,,,,,,,,,,,
2010-03-16,1607.36,,,,,,,,,,,,
2010-03-17,1644.34,,,,,,,,,,,,
2010-03-18,1635.61,,,,,,,,,,,,
2010-03-19,1647.03,,,,,,,,,,,,
2010-03-22,1633.1,,,,,,,,,,,,
2010-03-23,1643.45,,,,,,,,,,,,
2010-03-24,1643.88,,,,,,,,,,,,
2010-03-25,1652.32,,,,,,,,,,,,
2010-03-26,1660.61,,,,,,,,,,,,
2010-03-29,1655.87,,,,,,,,,,,,
2010-03-30,1663.58,,,,,,,,,,,,
2010-03-31,1655.6,,,,,,,,,,,,
2010-04-01,1685.22,,,,,,,,,,,,
2010-04-02,1693.16,,,,,,,,,,,,
2010-04-05,1698.2,,,,,,,,,,,,
2010-04-06,1697.67,,,,,,,,,,,,
2010-04-07,1696.27,,,,,,,,,,,,
2010-04-08,1703.78,,,,,,,,,,,,
2010-04-09,1693.95,,,,,,,,,,,,
2010-04-12,1677.86,,,,,,,,,,,,
2010-04-13,1678.74,,,,,,,,,,,,
2010-04-14,1703.66,,,,,,,,,,,,
2010-04-15,1712.28,,,,,,,,,,,,
2010-04-16,1702.24,,,,,,,,,,,,
2010-04-19,1671.69,,,,,,,,,,,,
2010-04-20,1683.05,,,,,,,,,,,,
2010-04-21,1713.61,,,,,,,,,,,,
2010-04-22,1704.83,,,,,,,,,,,,
2010-04-23,1702.28,,,,,,,,,,,,
2010-04-26,1718.97,,,,,,,,,,,,
2010-04-27,1716.49,,,,,,,,,,,,
2010-04-28,1701.47,,,,,,,,,,,,
2010-04-29,1696.52,,,,,,,,,,,,
2010-04-30,1709.5,,,,,,,,,,,,
2010-05-03,1687.62,,,,,,,,,,,,
2010-05-04,1684.18,,,,,,,,,,,,
2010-05-06,1649.65,,,,,,,,,,,,
2010-05-07,1612.56,,,,,,,,,,,,
2010-05-10,1642.02,,,,,,,,,,,,
2010-05-11,1632.01,,,,,,,,,,,,
2010-05-12,1625.23,,,,,,,,,,,,
2010-05-13,1656.62,,,,,,,,,,,,
