날짜,Telecom,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,4001.35,,,,,,,,,,,,
2010-01-05,3975.46,,,,,,,,,,,,
2010-01-06,4001.62,,,,,,,,,,,,
2010-01-07,3975.39,,,,,,,,,,,,
2010-01-08,3970.58,,,,,,,,,,,,
2010-01-11,3948.32,,,,,,,,,,,,
2010-01-12,3915.13,,,,,,,,,,,,
2010-01-13,3867.89,,,,,,,,,,,,
2010-01-14,3865.34,,,,,,,,,,,,
2010-01-15,3920.49,,,,,,,,,,,,
2010-01-18,3901.74,,,,,,,,,,,,
2010-01-19,3911.8,,,,,,,,,,,,
2010-01-20,3853.86,,,,,,,,,,,,
2010-01-21,3877.05,,,,,,,,,,,,
2010-01-22,3814.88,,,,,,,,,,,,
2010-01-25,3765.75,,,,,,,,,,,,
2010-01-26,3733.24,,,,,,,,,,,,
2010-01-27,3762.39,,,,,,,,,,,,
2010-01-28,3754.28,,,,,,,,,,,,
2010-01-29,3687.61,,,,,,,,,,,,
2010-02-01,3694.76,,,,,,,,,,,,
2010-02-02,3696.93,,,,,,,,,,,,
2010-02-03,3698.94,,,,,,,,,,,,
2010-02-04,3694.38,,,,,,,,,,,,
2010-02-05,3649.76,,,,,,,,,,,,
2010-02-08,3683.48,,,,,,,,,,,,
2010-02-09,3675.0,,,,,,,,,,,,
2010-02-10,3642.43,,,,,,,,,,,,
2010-02-11,3679.4,,,,,,,,,,,,
2010-02-12,3644.46,,,,,,,,,,,,
2010-02-16,3654.91,,,,,,,,,,,,
2010-02-17,3629.86,,,,,,,,,,,,
2010-02-18,3638.99,,,,,,,,,,,,
2010-02-19,3641.73,,,,,,,,,,,,
2010-02-22,3686.56,,,,,,,,,,,,
2010-02-23,3696.85,,,,,,,,,,,,
2010-02-24,3709.33,,,,,,,,,,,,
2010-02-25,3655.09,,,,,,,,,,,,
2010-02-26,3679.1,,,,,,,,,,,,
2010-03-02,3693.42,,,,,,,,,,,,
2010-03-03,3688.36,,,,,,,,,,,,
2010-03-04,3689.04,,,,,,,,,,,,
2010-03-05,3702.62,,,,,,,,,,,,
2010-03-08,3700.7,,,,,,,,,,,,
2010-03-09,3693.3,,,,,,,,,,,,
2010-03-10,3705.02,,,,,,,,,,,,
2010-03-11,3684.52,,,,,,,,,,,,
2010-03-12,3723.64,,,,,,,,,,,,
2010-03-15,3701.38,,,,,,,,,,,,
2010-03-16,3710.56,,,,,,,,,,,,
2010-03-17,3734.32,,,,,,,,,,,,
2010-03-18,3725.37,,,,,,,,,,,,
2010-03-19,3745.29,,,,,,,,,,,,
2010-03-22,3718.87,,,,,,,,,,,,
2010-03-23,3741.72,,,,,,,,,,,,
2010-03-24,3702.58,,,,,,,,,,,,
2010-03-25,3709.13,,,,,,,,,,,,
2010-03-26,3723.18,,,,,,,,,,,,
2010-03-29,3710.45,,,,,,,,,,,,
2010-03-30,3721.88,,,,,,,,,,,,
2010-03-31,3719.07,,,,,,,,,,,,
2010-04-01,3701.22,,,,,,,,,,,,
2010-04-02,3666.74,,,,,,,,,,,,
2010-04-05,3615.69,,,,,,,,,,,,
2010-04-06,3656.11,,,,,,,,,,,,
2010-04-07,3667.57,,,,,,,,,,,,
2010-04-08,3667.78,,,,,,,,,,,,
2010-04-09,3658.54,,,,,,,,,,,,
2010-04-12,3663.48,,,,,,,,,,,,
2010-04-13,3642.44,,,,,,,,,,,,
2010-04-14,3645.33,,,,,,,,,,,,
2010-04-15,3637.13,,,,,,,,,,,,
2010-04-16,3618.33,,,,,,,,,,,,
2010-04-19,3594.44,,,,,,,,,,,,
2010-04-20,3606.39,,,,,,,,,,,,
2010-04-21,3621.1,,,,,,,,,,,,
2010-04-22,3641.96,,,,,,,,,,,,
