_date,Open,High,Low,Close,Volume
2026-02-24,1324.33,1351.59,1310.58,1348.91,20031594
2026-02-25,1353.76,1381.26,1336.59,1365.61,33631164
2026-02-26,1364.25,1373.56,1353.71,1368.12,28851648
2026-02-27,1372.92,1389.48,1365.58,1368.56,31661059
2026-03-03,1356.02,1475.4,1344.61,1408.62,124122752
2026-03-04,1424.99,1457.49,1198.98,1228.36,74006011
2026-03-05,1296.68,1384.08,1292.93,1352.77,59958596
2026-03-06,1367.78,1411.09,1355.53,1404.25,41594121
2026-03-09,1385.03,1404.37,1312.66,1349.7,34138108
2026-03-10,1350.82,1387.98,1333.04,1369.41,24439090
2026-03-11,1378.23,1405.12,1344.85,1359.9,24066107
2026-03-12,1370.73,1388.74,1364.49,1388.74,21419040
2026-03-13,1356.72,1363.17,1339.61,1362.41,20205162
2026-03-16,1366.34,1385.41,1354.91,1359.96,25622084
2026-03-17,1377.58,1377.58,1354.9,1363.41,15513910
2026-03-18,1377.77,1382.6,1363.33,1380.88,15290344
2026-03-19,1379.44,1384.71,1357.62,1370.33,13322920
2026-03-20,1378.32,1379.87,1362.28,1365.91,19937792
2026-03-23,1336.48,1337.83,1281.37,1287.86,21162877
2026-03-24,1326.82,1339.97,1292.84,1336.06,18165053
2026-03-25,1355.75,1393.05,1355.06,1393.0,17245787
2026-03-26,1401.29,1403.69,1363.55,1372.34,15805490
2026-03-27,1338.01,1365.85,1301.31,1364.74,17139583
2026-03-30,1306.45,1352.41,1292.91,1337.41,13064542
2026-03-31,1314.31,1316.59,1263.37,1272.54,16701070
2026-04-01,1328.08,1391.36,1313.85,1379.73,19731297
2026-04-02,1401.47,1446.87,1364.13,1380.4,26989727
2026-04-03,1399.44,1414.53,1381.4,1402.0,19278714
2026-04-06,1406.75,1423.75,1389.6,1401.47,13443564
2026-04-07,1395.47,1430.49,1394.27,1423.1,20658929
2026-04-08,1435.85,1444.56,1412.49,1434.12,22977546
2026-04-09,1444.78,1446.91,1422.36,1446.38,16672261
2026-04-10,1449.97,1472.58,1448.35,1465.45,21558259
2026-04-13,1477.95,1492.36,1458.33,1468.64,19415512
2026-04-14,1477.24,1493.96,1465.84,1474.12,18929941
2026-04-15,1480.69,1493.07,1473.06,1485.8,54601605
2026-04-16,1498.15,1508.99,1489.43,1498.52,33349406
2026-04-17,1498.37,1499.55,1475.57,1479.06,21672359
2026-04-20,1489.56,1502.1,1486.43,1491.25,33301218
2026-04-21,1504.53,1521.98,1502.16,1521.65,29358753
2026-04-22,1540.15,1564.98,1525.4,1557.3,24542551
2026-04-23,1573.6,1573.6,1514.27,1548.36,37926907
2026-04-24,1559.51,1583.49,1559.03,1576.75,37804516
2026-04-27,1595.04,1597.98,1575.02,1588.15,22809540
2026-04-28,1588.76,1619.27,1573.41,1580.51,34327454
2026-04-29,1595.44,1613.21,1589.52,1608.04,41879427
2026-04-30,1611.24,1621.38,1586.75,1600.67,48148993
2026-05-04,1627.94,1667.23,1627.94,1665.61,39460205
2026-05-06,1681.95,1703.19,1665.34,1690.54,48246493
2026-05-07,1700.77,1700.77,1629.35,1649.02,42121355
2026-05-08,1655.76,1655.76,1623.82,1647.23,39029998
2026-05-11,1656.09,1657.23,1614.26,1628.26,25466841
2026-05-12,1638.79,1642.27,1531.69,1576.28,29570512
2026-05-13,1577.59,1579.0,1527.75,1565.46,24224552
2026-05-14,1589.78,1592.05,1546.5,1580.97,28192635
2026-05-15,1578.25,1578.25,1460.08,1481.2,24868334
2026-05-18,1483.29,1486.38,1408.42,1475.26,19850461
2026-05-19,1493.78,1510.63,1442.52,1464.88,19147428
2026-05-20,1469.08,1475.46,1393.81,1418.68,16626461
2026-05-21,1451.98,1495.53,1449.57,1489.8,18021424
