티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
0001A0,덕양에너젠,83118557,84523841,1405284,2871334435050,2905968836500,34634401450
000250,삼천당제약,122906979,123296232,389253,6511656883400,6520253544100,8596660700
000440,중앙에너비스,41560911,41607590,46679,458382198995,459801227370,1419028375
0004V0,엔비알모션,11931638,12552775,621137,243855694095,254614654655,10758960560
0004Y0,디비금융제14호스팩,61824,39409,-22415,127494680,81114073,-46380607
0007C0,아크릴,14593130,14752626,159496,695154472000,702792725925,7638253925
0008Z0,에스엔시스,684598,619291,-65307,22845373950,20539913650,-2305460300
0009K0,에임드바이오,2296708,2636048,339340,122419241250,140623679500,18204438250
001000,신라섬유,276650766,276875092,224326,668678860332,669848273687,1169413355
0010V0,제이피아이헬스케어,1628798,1694011,65213,25174110930,26293202020,1119091090
0013V0,삼진식품,40399143,40354712,-44431,457122519525,457756358480,633838955
001540,안국약품,60351612,60266350,-85262,828708797900,827944807400,-763990500
0015G0,그린광학,16597974,17058283,460309,650825673250,668815909850,17990236600
0015N0,아로마티카,51365883,51289432,-76451,691613401205,691531014020,-82387185
0015S0,페스카로,8378378,8449517,71139,192831566965,194727642020,1896075055
001810,무림SP,158429123,158583836,154713,477624657835,478741871400,1117213565
001840,이화공영,174906610,175159438,252828,1023503930090,1025829095550,2325165460
002230,피에스텍,30074904,29153930,-920974,127864587110,124504586775,-3360000335
002290,삼일기업공사,86831243,87316250,485007,331080521415,332915613900,1835092485
002680,한탑,54242873,54544927,302054,131523281895,133024658410,1501376515
002800,신신제약,324419172,324466443,47271,3127028827450,3129315386295,2286558845
003100,선광,4538614,4456394,-82220,95674166290,95357467540,-316698750
003310,대주산업,1104009551,1104215456,205905,2276992956426,2278019671308,1026714882
003380,하림지주,45167295,47249097,2081802,321021061020,336223588465,15202527445
0037T0,KB제32호스팩,167670,71978,-95692,340776361,146270028,-194506333
003800,에이스침대,911161,928349,17188,36666812300,37428931100,762118800
0041B0,교보18호스팩,30815,39256,8441,64535341,82215406,17680065
0041J0,엘에스스팩1호,214426,139538,-74888,434651443,283348358,-151303085
0041L0,하나35호스팩,137951,85573,-52378,278381148,172459438,-105921710
0044K0,삼성스팩10호,358014,185054,-172960,727709005,375204337,-352504668
004590,한국가구,6583499,6104760,-478739,29687512870,27555908300,-2131604570
004650,창해에탄올,136436857,136866850,429993,2103984514090,2112661545010,8677030920
004780,대륙제관,29819206,29550302,-268904,134095601510,134191658160,96056650
005160,동국산업,195775356,195512068,-263288,660081863170,658539484530,-1542378640
005290,동진쎄미켐,341928428,341664859,-263569,8605725622540,8607555997750,1830375210
0054V0,엔에이치스팩32호,300326,191858,-108468,619189067,394076829,-225112238
005670,푸드웰,69832080,70480967,648887,504541271930,508515628160,3974356230
005710,대원산업,10965268,11354032,388764,58162409200,60199825285,2037416085
005860,한일사료,275621313,276370560,749247,509899729928,511631398317,1731668389
005990,매일홀딩스,4060151,4396250,336099,34151621680,36896276900,2744655220
006050,국영지앤엠,1479434331,1478957696,-476635,4564616622160,4566771794450,2155172290
006140,피제이전자,23074794,23180948,106154,129559295170,129867469780,308174610
006580,대양제지,67438852,66957481,-481371,219100206210,217762812905,-1337393305
006620,동구바이오제약,72171295,72401052,229757,1544647818850,1551463346750,6815527900
006730,서부T&D,59976473,60480060,503587,405519245670,411141298800,5622053130
0068Y0,비엔케이제3호스팩,396793,246842,-149951,800182315,497493596,-302688719
006910,보성파워텍,385431807,386125664,693857,788881739465,791332131165,2450391700
006920,모헨즈,121135363,121143338,7975,583733977745,584254181570,520203825
0071M0,삼성스팩11호,396749,270811,-125938,806657707,550548037,-256109670
0072Z0,KB제33호스팩,362575,299755,-62820,726281600,600703612,-125577988
007330,푸른저축은행,3533133,3292853,-240280,27703692320,26028728840,-1674963480
007370,진양제약,430635560,431132374,496814,2944535656675,2949428880845,4893224170
007390,네이처셀,357565452,355910749,-1654703,3450692486460,3445623605250,-5068881210
007530,영신금속,38025972,37858533,-167439,80206052650,80159961955,-46090695
007680,대원,19297930,19615457,317527,198986440770,202409242350,3422801580
007720,대명소노시즌,238849023,239626865,777842,304525460445,306157382637,1631922192
007770,한일화학,2813790,2979041,165251,27013764880,28675280830,1661515950
007820,에스엠코어,49026469,50636185,1609716,391654894870,403880771630,12225876760
008290,원풍물산,179117127,179167058,49931,501903227275,503016241840,1113014565
008370,원풍,7382432,7087150,-295282,29916215105,28875991525,-1040223580
008470,부스타,27302432,27451682,149250,141833199075,142689113150,855914075
008830,대동기어,5126895,5142885,15990,14861299795,14888309185,27009390
0088D0,메리츠제1호스팩,904968,917639,12671,1941726598,1978253780,36527182
0091W0,신영스팩11호,301802,182615,-119187,626070342,376928937,-249141405
009300,삼아제약,12559163,12583598,24435,232503321410,233579739470,1076418060
0093G0,미래에셋비전스팩8호,579504,309470,-270034,1162864177,620785977,-542078200
009520,포스코엠텍,262300912,262185410,-115502,1286840167580,1286790507435,-49660145
009620,삼보산업,777556840,780476993,2920153,890230032925,893846050309,3616017384
0096B0,삼성스팩12호,1833935,1252691,-581244,3735073657,2545866342,-1189207315
0096D0,미래에셋비전스팩9호,450927,290664,-160263,913700148,587652736,-326047412
009730,코센,1538404735,1559614710,21209975,664097712723,672099244699,8001531976
009780,엠에스씨,24871368,24686690,-184678,126721817420,125953729140,-768088280
0097F0,미래에셋비전스팩10호,706305,456921,-249384,1414949157,914693952,-500255205
0098T0,교보19호스팩,385404,546294,160890,793104938,1119263557,326158619
0099W0,미래에셋비전스팩11호,561647,400076,-161571,1129175180,802456649,-326718531
0099X0,IBKS제25호스팩,222512,152463,-70049,482630692,329390457,-153240235
010170,대한광통신,1101915996,1102372210,456214,4358847469185,4364684294055,5836824870
0101C0,하나36호스팩,1279491,843189,-436302,2555230285,1682952982,-872277303
010240,흥국,32857586,31739269,-1118317,149487802745,144772551205,-4715251540
010280,쌍용정보통신,171889762,171559973,-329789,271803887217,271928027422,124140205
010470,오리콤,30756798,30772931,16133,155738351220,155787612985,49261765
0105P0,유진스팩12호,521866,247145,-274721,1048891445,497107062,-551784383
011040,경동제약,160680195,165380125,4699930,1980796429960,2035288098030,54491668070
011080,형지I&C,338219253,338319453,100200,398604668032,398774552044,169884012
011320,유니크,359193305,359959385,766080,2845406832710,2853291210425,7884377715
011370,서한,742875184,743894675,1019491,1079230443481,1083460769709,4230326228
011560,세보엠이씨,11469574,11783062,313488,61936416995,63519441415,1583024420
0115H0,삼성스팩13호,20611737,22710486,2098749,56984852473,62634452570,5649600097
012210,삼미금속,41578577,41648521,69944,718568030870,720293402035,1725371165
012340,뉴인텍,284096101,283939550,-156551,702522774855,703360410380,837635525
012620,원일특강,2608887,2686888,78001,22477223770,23064608700,587384930
012700,리드코프,60968172,63186914,2218742,402254937405,417273643300,15018705895
012790,신일제약,362400910,362495062,94152,9374523497100,9381390765115,6867268015
012860,모베이스전자,838546684,843867937,5321253,1490525369235,1499022181992,8496812757
013030,하이록코리아,19746055,23070109,3324054,267603834160,310084339580,42480505420
013120,동원개발,29713140,35440572,5727432,118297742505,140859804415,22562061910
013310,아진산업,298618816,300324334,1705518,861777302500,867403310765,5626008265
013720,청보산업,34282665,34336600,53935,172474566740,173371403385,896836645
013810,스페코,950071349,949405740,-665609,6882728946655,6882913818375,184871720
013990,아가방컴퍼니,224801052,224554343,-246709,825789171970,826438057440,648885470
014100,메디앙스,70350190,70744776,394586,785167244230,790830272055,5663027825
014190,원익큐브,89312402,89110150,-202252,144104771055,144080314061,-24456994
014200,광림,133281042,133299066,18024,247121552515,247569107400,447554885
014470,부방,307403279,286895748,-20507531,795817239230,746695733345,-49121505885
014570,고려제약,364008909,364309962,301053,3829700774540,3834637310060,4936535520
014620,성광벤드,53608837,60252132,6643295,391340393270,437569850150,46229456880
014940,오리엔탈정공,354276625,356824078,2547453,658016831940,663804985127,5788153187
014950,삼익제약,2881050,2968646,87596,44556852460,45933431745,1376579285
014970,삼륭물산,161481516,161986215,504699,1514367892420,1520963854640,6595962220
015710,코콤,52599969,52619597,19628,337110143285,337609939040,499795755
015750,성우하이텍,202446122,207009590,4563468,820903175380,833320080555,12416905175
016100,리더스코스메틱,24776424,24910029,133605,103097037175,103788900765,691863590
016250,SGC이테크건설,5774419,5910237,135818,449073358850,460202601650,11129242800
016600,큐캐피탈,1039403156,1052629657,13226501,932347946096,941432235876,9084289780
016670,포비스티앤씨,804807345,811001375,6194030,1102786524039,1109395926752,6609402713
016790,현대사료,38894733,38930391,35658,601375299990,602566071420,1190771430
016920,카스,646975961,649328951,2352990,1394893196649,1401222348319,6329151670
017000,신원종합개발,59006014,59327339,321325,272580387665,274527102575,1946714910
017250,인터엠,34716899,34695632,-21267,72255985685,72391874230,135888545
017480,삼현철강,31729902,31834044,104142,121491528205,121849838695,358310490
017510,세명전기,30983845,31125062,141217,129399574500,130273244635,873670135
017650,대림제지,513545633,512654971,-890662,1066480199300,1064635941565,-1844257735
017890,한국알콜,686744663,690077166,3332503,9462474653180,9502945649940,40470996760
018000,유니슨,2190665956,2198621191,7955235,8369373833517,8402755366309,33381532792
018120,진로발효,2742734,2789251,46517,86323527250,88165508850,1841981600
018290,브이티지엠피,194256719,193556235,-700484,1864925823290,1860802683790,-4123139500
018310,삼목에스폼,9287614,9430629,143015,73601501025,74582109380,980608355
018620,우진비앤지,493172371,494390019,1217648,1518605233870,1523583444840,4978210970
018680,서울제약,159196284,159281813,85529,1671667270530,1676232240390,4564969860
018700,바른손,433331540,433936660,605120,1546154255965,1551352511555,5198255590
019010,베뉴지,53290438,53506408,215970,86470300648,86949527562,479226914
019210,와이지-원,52604075,56026961,3422886,280371838865,298072809565,17700970700
019540,일지테크,153229654,154195476,965822,601261084205,605682259560,4421175355
019550,SBI인베스트먼트,1268391021,1269644413,1253392,1297529337946,1299424687159,1895349213
019570,리더스 기술투자,266311445,268995612,2684167,160280415171,162022931621,1742516450
019590,엠벤처투자,183113013,180750691,-2362322,189582312064,187396835751,-2185476313
019660,글로본,60662547,61338822,676275,175014873295,177521415905,2506542610
019770,서연탑메탈,384958411,385386673,428262,2614513623755,2617388218850,2874595095
019990,에너토크,53446759,53285953,-160806,228294501280,228011545855,-282955425
020180,대신정보통신,815505773,816060994,555221,1373045888517,1375335266772,2289378255
020400,대동금속,2382774,2425422,42648,20889370490,21234902040,345531550
020710,시공테크,14411259,14489451,78192,77230815315,77846211885,615396570
021040,대호피앤씨,288142933,285921630,-2221303,280288013137,279017391916,-1270621221
021045,대호피앤씨우,79982762,79872461,-110301,144228708500,144183536592,-45171908
021080,에이티넘인베스트,810531923,811400522,868599,2058318264765,2061578126344,3259861579
021320,KCC건설,12865725,11692595,-1173130,85251794915,77382196315,-7869598600
021650,한국큐빅,105802621,105622677,-179944,353627973530,353861748485,233774955
021880,메이슨캐피탈,877988333,871377963,-6610370,342685990299,340613597466,-2072392833
022100,포스코 ICT,729262240,732962365,3700125,4881667307025,4902887575545,21220268520
022220,정산애강,187894818,187953847,59029,374248260495,375517778175,1269517680
023160,태광,29620581,34256641,4636060,225744144020,257528164420,31784020400
023410,유진기업,134760906,138549657,3788751,564179366845,580454962075,16275595230
023440,제일제강,42020246,37720108,-4300138,89197599715,80397447530,-8800152185
023460,CNH,44475104,41893308,-2581796,79642697610,75057000225,-4585697385
023600,삼보판지,48536346,48943963,407617,467421004670,471497415870,4076411200
023760,한국캐피탈,92751309,91833555,-917754,47570088523,47100802582,-469285941
023770,플레이위드,25924228,25851529,-72699,351551967660,350818197270,-733770390
023790,동일철강,22263311,22426944,163633,114571231105,115936510620,1365279515
023890,한국아트라스비엑스,420650,521120,100470,21031443900,25909794650,4878350750
023900,풍국주정,126233856,126299363,65507,2691905896270,2696709650280,4803754010
023910,대한약품,20502899,20909839,406940,736213332550,752613825400,16400492850
024060,흥구석유,393653426,393437789,-215637,2969726984530,2968572643270,-1154341260
024120,KB오토시스,6950499,7031611,81112,48668721805,49278671935,609950130
024740,한일단조,1086573776,1087144604,570828,2180291424121,2184165350966,3873926845
024800,유성티엔에스,61354247,61306217,-48030,171677854505,172084870855,407016350
024810,이화전기,4890447019,4967726625,77279606,950413027555,964488291555,14075264000
024830,세원물산,118318,109532,-8786,1379168175,1277686700,-101481475
024840,KBI메탈,127718892,127322126,-396766,199032747484,198871199356,-161548128
024850,피에스엠씨,110397964,115023090,4625126,141207101935,147699003169,6491901234
024880,케이피에프,115742332,115641233,-101099,598713091850,598485089515,-228002335
024910,경창산업,90477719,90053750,-423969,129926817484,129406175377,-520642107
024940,PN풍년,80149399,80091761,-57638,278919167050,279997892760,1078725710
024950,삼천리자전거,121058818,120341481,-717337,1269791385145,1267713279590,-2078105555
025320,시노펙스,2237218481,2239932603,2714122,10111087464920,10125278584095,14191119175
025440,대성엘텍,1113767389,1129156809,15389420,1113841440701,1129677458732,15836018031
025550,한국선재,177413303,177115203,-298100,564311811910,564919762135,607950225
025770,한국정보통신,62664901,62642655,-22246,645047413380,646886351960,1838938580
025870,신라에스지,83068916,83395552,326636,813482901650,817599180995,4116279345
025880,케이씨피드,79926233,80111494,185261,175223011535,175909225325,686213790
025900,동화기업,54688811,55644785,955974,1890096947800,1914322406900,24225459100
025950,동신건설,78086739,78292679,205940,1212988103960,1216649514190,3661410230
025980,아난티,1331442723,1339350675,7907952,12454799497940,12524996140060,70196642120
026040,제이에스티나,25619295,25738762,119467,63454015695,64093890005,639874310
026150,특수건설,250539496,250870975,331479,1795706377955,1799485058605,3778680650
026910,광진실업,21047062,21260242,213180,71415545880,72132029300,716483420
027040,서울전자통신,189203985,189859190,655205,182649669052,183520416086,870747034
027050,코리아나,504522298,502682004,-1840294,2618562172460,2611652636995,-6909535465
027360,아주IB투자,1291796800,1290048490,-1748310,3460862000695,3461087555369,225554674
027580,상보,554385128,553299600,-1085528,668207710809,667900737857,-306972952
027710,팜스토리,357734717,357813308,78591,432644051390,433657428328,1013376938
027830,대성창투,258738989,258986726,247737,512267263724,513568434452,1301170728
028040,미래SCI,36891575,38765642,1874067,13033419015,13880445722,847026707
028080,휴맥스홀딩스,49443438,49265492,-177946,215079476540,214604885190,-474591350
028150,GS홈쇼핑,2774596,3025834,251238,349652207500,376238574400,26586366900
028300,에이치엘비,229422000,230044173,622173,22735248382800,22809649231000,74400848200
029480,릭스솔루션,563868540,586047062,22178522,525709327636,543117742319,17408414683
029960,코엔텍,146967578,151082066,4114488,1428005289700,1470248228100,42242938400
030190,NICE평가정보,40093094,38803420,-1289674,743622844100,718418692500,-25204151600
030270,에스마크,40831591,40596470,-235121,9321030853,9592564206,271533353
030350,드래곤플라이,73892216,75429291,1537075,227192427060,231293833941,4101406881
030520,한글과컴퓨터,104108694,104571762,463068,1535650728970,1541683200280,6032471310
030530,원익홀딩스,190382750,192034519,1651769,919878992005,923819539080,3940547075
030960,양지사,24567993,24583285,15292,271789730880,271888584560,98853680
031310,아이즈비전,177356226,177865380,509154,773455277330,776094183605,2638906275
031330,에스에이엠티,212209605,210957927,-1251678,471395661565,467531462860,-3864198705
031390,녹십자셀,100011347,100635048,623701,4713145351050,4743442930300,30297579250
031510,오스템,361615868,361953528,337660,986030130629,988290738755,2260608126
031860,엔에스엔,300201484,305345643,5144159,540246611806,549463566828,9216955022
031980,피에스케이홀딩스,6382098,6464401,82303,49094132245,49798399385,704267140
032080,아즈텍WB,64102873,64044678,-58195,115837567575,115839323900,1756325
032190,다우데이타,144809347,143311098,-1498249,2018783131775,2013979136615,-4803995160
032280,삼일,27306778,26644047,-662731,55601377230,54508048055,-1093329175
032300,한국파마,132856543,135236619,2380076,3241458804450,3291605839700,50147035250
032500,케이엠더블유,237898679,239985051,2086372,15306159907950,15418726348650,112566440700
032540,TJ미디어,5111553,5200792,89239,14869952890,15110939785,240986895
032580,피델릭스,239245164,244418068,5172904,405440321348,413632781859,8192460511
032620,유비케어,815438614,818086141,2647527,8379627635210,8405746930880,26119295670
