ppe_net,prev_ppe_net,current_assets,prev_current_assets,inventory,accounts_receivable,prev_accounts_receivable,cash,total_assets,retained_earnings,total_equity,long_term_debt,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,operating_income,prev_operating_income,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,sga_expense,prev_sga
283816000000,265541000000,449827000000,569624000000,184870000000,114432000000,176921000000,105137000000,830228000000,-499597000000.0,107263000000,0.0,636876000000,404765000000,439818000000,722965000000,529846000000,633303000000,481050000000,583135000000,48796000000,50168000000,-18733000000,-27951000000.0,36440000000.0,-27951000000,32015000000,-17842000000,,,,2016,,
285014000000,283816000000,435291000000,449827000000,148655000000,106229000000,114432000000,90125000000,817766000000,,100022000000,0.0,631483000000,636876000000,412612000000,717744000000,470149000000,529846000000,423160000000,481050000000,46989000000,48796000000,-8113000000,,,-6016000000,66444000000,-40114000000,,,,2017,36275000000.0,44680000000.0
279819000000,285014000000,493819000000,435787000000,215308000000,137782000000,94910000000,50390000000,864148000000,,221216000000,222729000000.0,349866000000,631851000000,123410000000,642932000000,577328000000,467832000000,503346000000,421518000000,73982000000,46314000000,24174000000,,,27898000000,-59180000000,-3962000000,,,,2018,42645000000.0,36275000000.0
273271000000,279819000000,438989000000,493819000000,196959000000,110369000000,137782000000,64392000000,828375000000,,237465000000,169971000000.0,355270000000,349866000000,120335000000,590910000000,610608000000,577328000000,544086000000,503346000000,66522000000,73982000000,14210000000,,,20377000000,72910000000,14107000000,,,,2019,36481000000.0,42645000000.0
271996000000,273271000000,438696000000,438989000000,152224000000,133538000000,110369000000,113320000000,809261000000,,266470000000,899000000.0,480640000000,355270000000,263482000000,542791000000,586695000000,610608000000,531532000000,544086000000,55163000000,66522000000,17235000000,,,20647000000,57388000000,30208000000,,,,2020,40819000000.0,36481000000.0
294844000000,271996000000,427101000000,438696000000,181566000000,92653000000,133538000000,104687000000,837480000000,,283975000000,0.0,490794000000,480640000000,258774000000,553505000000,493455000000,586695000000,452221000000,531532000000,41234000000,55163000000,-2090000000,,,1005000000,18199000000,-10101000000,,,,2021,37590000000.0,40819000000.0
277601000000,294844000000,468460000000,427101000000,188620000000,96745000000,92653000000,88277000000,853388000000,,260245000000,0.0,539906000000,490794000000,237830000000,593143000000,544021000000,493455000000,507139000000,452221000000,36882000000,41234000000,-28410000000,,,-26683000000,26578000000,-15225000000,,,,2022,45698000000.0,37590000000.0
276836000000,277601000000,490899000000,468460000000,205831000000,131418000000,96745000000,86616000000,899134000000,,259634000000,,577722000000,539906000000,259304000000,899134000000,4801000000,18466000000,562476000000,507139000000,67901000000,36882000000,7657000000,18868000000.0,-8816000000.0,5685000000,-13277000000,3664000000,,,,2023,49033000000.0,45698000000.0
276213388993,276835709395,555213660302,490898756224,276995241590,84597218622,131417795562,131440923187,968810437104,,276569773273,,628413767045,577722381716,312315662520,692240663831,1298372892,4800683881,626056863398,562476183814,98552944488,67901550184,22259933354,42236835042.0,18868403982.0,27215787172,36712198026,-14898126004,,,,2024,56316109446.0,49033146202.0
279161299146,276213388993,727075771630,555213660302,337393697123,133929170372,84597218622,164134327680,1157535042858,64325378600.0,342971092433,2083333338.0,744923467069,628413767045,311529618572,814563950425,4019280196,1298372892,657406599653,626056863398,131935315034,98552944488,61838709853,69592939476.0,42236835042.0,68948215486,72871045623,-26608968287,,,,2025,62342375558.0,56316109446.0
