current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,revenue,prev_revenue,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,interest_expense,income_tax,cash_from_operations,depreciation,capex,net_income,roe,debt_ratio,opm,year
1380701365976,1278486007800,73266052092,4467864042,530979882003,447909482042,740956110757,1185564234417,1175176058443,2714949031495,963534231759,968603259354,392517230458,199414236721,1480106423223,585143332329,573424337329,440177125007,1234842608272,2460679667725,2579417194046,371090383824,240260120978,153289619674.0,129205867414.0,217800764150,111054253564,31908619958,182161809389,246265591998,2710365140,-100846867514,137705682599,,,,2016
1422437958579,1380701365976,56846795334,5674663921,485699408602,530979882003,838532489586,1155923561739,1185564234417,2729495591735,986449175389,963534231759,354769641681,199462494811,1420361198004,682863427060,669174432060,573424337329,1309134393731,2536521507943,2460679667725,408441575227,371090383824,167373351081.0,153289619674.0,241068224146,217800764150,27594093697,204789808156,137450449384,0,-87686698769,150694834888,,,,2017
1361614065770,1422437958579,55655710291,6600000000,393754965850,485699408602,871248626194,1144809296996,1155923561739,2668117561064,839768920117,986449175389,395347869876,168095805211,1288793217601,742701139798,726762144798,669174432060,1379324343463,2507344412499,2536521507943,267155362494,408441575227,159654225786.0,167373351081.0,107501136708,241068224146,28665728839,87370960570,81185306288,3109649513,-75066281817,62100098363,,,,2018
1245174941764,1361614065770,70496499495,6230000000,335804791777,393754965850,789638785342,1136177869738,1144809296996,2562507866141,763345152755,839768920117,293390976327,204762581109,1178693551157,732573070414,714944075414,726762144798,1383814314984,2263690812784,2507344412499,187614722546,267155362494,146472059268.0,159654225786.0,41142663278,107501136708,29731624502,26347560870,201663596226,0,-56756691962,17625569038,,,,2019
1302006261080,1245174941764,79367268328,6580000000,387720941707,335804791777,790349168852,1075173578857,1136177869738,2552025017070,747273688812,763345152755,328616229533,150117292244,1105623742384,810424819183,791665824183,714944075414,1446401274686,2322565320908,2263690812784,271070704828,187614722546,149861918311.0,146472059268.0,121208786517,41142663278,20929503666,98972705440,114510883480,0,-53774429271,71907050762,,,,2020
1859455077778,1302006261080,126248332899,5300000000,499260133995,387720941707,1183455318498,1099321732986,1075173578857,3148260459261,1108833495035,747273688812,517943297124,159215756794,1462625455417,1033621330001,1013172335001,791665824183,1685635003844,3009895070834,2322565320908,499603207689,271070704828,185478171982.0,149861918311.0,314125035707,121208786517,18807088253,306844285685,-19475545632,1067773676,-114194321926,243387043769,,,,2021
2013246003210,1859455077778,154823314955,13629881250,578026203754,499260133995,1204278374058,1137930107657,1099321732986,3395297191796,1117973551094,1108833495035,539460511434,129627602975,1553056946285,1195084724032,1172274724032,1013172335001,1842240245511,3911020311571,3009895070834,461962189657,499603207689,230342636245.0,185478171982.0,231619553412,314125035707,32465007074,219757501334,136558056211,519100042,-141482088425,175261942564,,,,2022
2239437467040,2013246003210,407883024572,6309607500,517022764334,578026203754,1227253339332,1183360522005,1137930107657,3660628679317,1352196007511,1117973551094,327936452074,77648724002,3660628679317,1314983911413,1289433911413,1172274724032,1965954520498,3684408050550,3911020311571,440855896707,461962189657,212219415989.0,230342636245.0,228636480718,231619553412,39193237941,44646239225,696183745202,0,-136766942713,156440326543,,,,2023
2561697235286,2239437467040,345191574366,10000000000,602404857493,517022764334,1458732325662,1308904431401,1183360522005,4096582596724,1358506297397,1352196007511,392830935766,149617853445,4096582596724,1490669299588,1461839299588,1289433911413,2199301948907,3938496724187,3684408050550,615914730446,440855896707,,,323768893078,228636480718,37444591434,82260073178,39903295797,12363934800,-216843753523,236045982790,,,,2024
2763158539049,2561697235286,239069532140,10002756715,797119795830,602404857493,1623355782857,1387105343016,1308904431401,4329189509985,1450288182765,1358506297397,535368466545,279372462183,4329189509985,1592225958102,1556285958102,1461839299588,2298131546597,4473813049627,3938496724187,574767337012,615914730446,,,297427463130,323768893078,37295991693,88377678675,-168485078220,0,-177419594961,147164434318,,,,2025
