current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,depreciation,interest_expense,cash_from_operations,capex,roe,debt_ratio,opm,year
8432957386157,6244525087847,156147522458,2692940356895,2211384779709,85414112028.0,1050043107,227460804951,246015314798,9818253245713,7900882340229,5418320928172,2112876485789,100303901878,8210684424188,699888143421,1607568821525,1153420151411,1038501857685,673332958813,567707850134,480087192598,470794007551,226674266526,210304580011,253412926072,260489427540,260833207606,191978016777,34474811714,61850191016,-357440620686,-631764197064,,,,2016
11478071632566,8432957386157,182206694915,4528837461161,2692940356895,53770365551.0,445841220,217859292914,227460804951,13126401793871,10415514013485,7900882340229,2990703967199,99916415954,11215409981183,804324148119,1910991812688,1351213660827,1153420151411,763668691237,673332958813,587544969590,480087192598,256041336898,226674266526,331503632692,253412926072,345149445256,243142590266,12415347118,86630725038,-851365168858,-273391876476,,,,2017
16330576824123,11478071632566,485713971505,9202869560,20685262409,0.0,822740456,245159735559,217859292914,19345653729825,15548171145081,10415514013485,5352167842331,1052744891057,16905080888565,889688770696,2440572841260,2210006671982,1332912532631,1575493917536,749026541076,634512754446,583885991555,310566742378,253683996156,323946012068,330201995399,324374480265,225403523353,4098563088436,155606071135,-1441357903307,-783864489696,,,,2018
20530675109864,16330576824123,276059372555,10333738921,9202869560,0.0,66822083,291175083703,245159735559,24741606799542,19327847444888,15548171145081,7485622899722,2128742278736,22077381030365,1058599745012,2664225769177,2901833125630,2202395571443,1998008740387,1570618700761,903824385243,631776870682,396285532453,307724993493,507538852790,324051877189,533415674420,395865387334,6447929591387,226121621953,-2947197122174,-374384899848,,,,2019
34479396476833,20530675109864,1171288133803,11894407626,10333738921,,38506440,318079822422,291175083703,38622232829692,34064117910568,19327847444888,11236630836076,660452509883,35377055589844,1315750275361,3245177239848,5164695883437,2712162416002,3679129753414,1808338030759,1485566130023,903824385243,470179403915,396285532453,1015386726108,507538852790,1030435361357,679446474293,11874297910506,229493901921,-1334999877348,49357697761,,,,2020
38642271056585,34479396476833,1324230799910,8751850947,11894407626,,52023065,336296157921,318079822422,46322445969793,39317599574341,34064117910568,13674528927304,1766661440478,41705976712451,1667199474034,4616469257342,6086980401897,4732935103980,4240482825559,3247368973957,1846497576338,1485566130023,589263741895,470179403915,1257233834443,1015386726108,1298774374386,914188890009,13815984720550,236243292464,-3480396426778,-355782674613,,,,2021
41023415125846,38642271056585,1496407628053,44966395766,8751850947,,1282211187,405633429877,336296157921,49260008742513,41130104856236,39317599574341,16836104502554,1334053171692,44071595509884,2016827962325,5188413232629,9210610313082,6086980401897,7903903064010,4240482825559,1306707249072,1846497576338,588019761679,589263741895,718687487393,1257233834443,744926029245,680524455388,12498857924142,536417458630,-2018477733657,-364323125730,,,,2022
415124432271,415082904768,249719570164,61599936324,44966395766,,774992793,183475862639,182621364361,53342459330150,510051969531,386913646586,316796011327,30168955240,53342459330150,2205550956068,5550533034939,60040956976,45050237416,8625638689171,7903903064010,1229503107963,1306707249072,589623090804,588019761679,639880017159,718687487393,176563684750,490015745774,10709552824357,1039690799189,-2049758439316,-327813627203,,,,2023
47687656704946,44695467208396,2035112004523,75009012256,61599936324,,479613586,425928119094,408077174259,57147924043319,47941097923479,45790889448507,22959032637576,2545482831883,50855367307244,2526305130356,6292556736075,133105749950,60040956976,9693444811348,8625638689171,1932353644384,1229503107963,757671701665,589623090804,1174681942719,639880017159,302851604078,852762689452,16159068458257,1103822007499,-4907791750876,-280551977161,,,,2024
69855302330297,47687656704946,2592685257435,86529471176,75009012256,,200575184519,522027165102,425928119094,82950227249756,71081847489500,47941097923479,32119392614335,3801573203925,75456002681683,2972414991195,7494224568073,77996636422,133105749950,15011211920310,9693444811348,2483791915998,1932353644384,924508187729,757671701665,1559283728269,1174681942719,473235896122,1156018987903,21344144687564,1128554550555,-6533814135627,-1577493326355,,,,2025
