total_assets,depreciation,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,revenue,prev_revenue,income_tax,interest_expense,net_income,operating_income,prev_operating_income,sga_expense,prev_sga,cash,long_term_debt,capex,cash_from_operations,roe,debt_ratio,opm,year
95901185591112,22214386769589,,,8445052101350,7151446313890,87456133489762,,,,,708063414580,820404542965,545781243811,,,2976262747458,,-1180011286446,-7286638461012,,,,2023
109220199166181,25090121989122,,,9734548934537,8036084576765,99485650231644,,,,,1045868641939,1199724124887,820404542965,,,3720031431833,,2447779631073,-7773511990534,,,,2024
136161928000000,30400184000000,,,12099491000000,10282692000000,124062437000000,,,,,2024352000000,2345329000000,1199724000000,,,3148921000000,,317745000000,-7607218000000,,,,2025
