current_assets,prev_current_assets,cash,depreciation,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
49905885256,18054185139,21622035614,14961550686,5580743224,4901816937,1447139012,57378890527,3060295819,3284045771,0.0,1000000000,4579460096,13654348001,52799430431,21240893559,17900842823,7859473966,6764401543,13381419593,11136441280,7904101875,6264885922,5477317718,4871555358,796455594,5094406872,3845774822,-16764055819,,,,2018
46090063355,49905885256,12766060244,12936483564,6229654758,7287414843,4901816937,66226107019,3400748496,3060295819,0.0,0,5955350052,20746125331,60270756967,29151665336,21240893559,10487389895,7859473966,18664275441,13381419593,9631959230,7904101875,9032316211,5477317718,9921729096,8453916728,6430855616,-15813699005,,,,2019
45500681185,46090063355,22266110937,3955583563,8084641075,9482536326,7287414843,80575589282,3674860711,3400748496,0.0,1000000000,19322699724,20638626478,61252889558,32972771325,29151665336,13414432030,10487389895,19558339295,18664275441,12234171967,9631959230,7324167328,9032316211,12944498714,12148992179,7419054671,823503377,,,,2020
47632402624,45500681185,17381915497,1961320548,12311603200,17895201343,9482536326,107400889841,5634878901,3674860711,,125560000,14135593651,33341845143,93265296190,45677013794,32972771325,17226858342,13414432030,28450155452,19558339295,15280208084,12234171967,13169947368,7324167328,17095130475,15580312267,10906636019,-20488280605,,,,2021
64283982666,47632402624,6591992959,4000000000,34203418473,53137727358,17895201343,199725162710,18738036312,5634878901,9507544122.0,166560000,91903982601,36865429377,107821180109,52572492155,45677013794,25580732408,17226858342,26991759747,28450155452,17507917757,15280208084,9483841990,13169947368,4563326433,5691985564,-6075796008,-83632540685,,,,2022
130357498864,64283982666,14949457663,40182979826,46288275960,74655316510,53137727358,262230105854,101838386776,18738036312,8247303470.0,63813565195,262230105854,83592511606,156855512482,68869546328,52572492155,34099911033,25580732408,34769635295,26991759747,27021629615,17507917757,7748005680,9483841990,14406644162,48531489397,-12132875375,24634287961,,,,2023
130188857877,130357498864,18286628164,4599171149,46779062384,97016849667,74655316510,475601177449,154708280372,101838386776,31600000000.0,66367248000,180875569755,222197222274,294725607694,72093323401,65926844211,36363994869,32070435651,35729328532,33856408560,33187257283,25727080511,2542071249,8129328049,-5444645920,140965124092,-8566586943,-21946169778,,,,2024
139188276970,130188857877,30887981159,4600000000,42817451697,106603681587,97016849667,456637114149,237795171925,154708280372,18500000000.0,48534794623,248103676806,99335571296,208533437343,85476414998,72032432117,40087891765,36356595276,45388523233,35675836841,40972809650,31806666583,4415713583,3869170258,-21677133279,-138246706187,12564732969,-32889654872,,,,2025
