year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,-12838601170,-9330257173,126242137495,113648123517,-12838601170,126242137495,0.1108,-0.376,0.0,-0.4292,-1.0
2021,Q4,97350931326,-12838601170,334983131724,126242137495,97350931326,334983131724,1.6535,8.5827,0.0,0.945,1.0
2022,Q4,-84938285329,97350931326,463491566220,334983131724,-84938285329,463491566220,0.3836,-1.8725,0.0,-0.7893,-1.0
2023,Q4,-110440776864,-84938285329,54574264840,463491566220,-110440776864,54574264840,-0.8823,-0.3002,0.0,-0.3752,-1.0
2024,Q1,-37625012307.0,0,161299380951.0,0.0,-37625012307.0,161299380951.0,0,-37625012307.0,0.0,0.0,0.0
2024,Q2,-24139535236.0,0,171389602633.0,0.0,-24139535236.0,171389602633.0,0,-24139535236.0,0.0,0.0,0.0
2024,Q3,51788361266.0,0,214360690172.0,0.0,51788361266.0,214360690172.0,0,51788361266.0,0.0,0.0,0.0
2024,Q4,7062218897,-110440776864,133014202908,54574264840,7062218897,133014202908,1.4373,1.0639,0.0,0.6803,1.0
2025,Q1,-11336568831.0,0,141833424712.0,0.0,-11336568831.0,141833424712.0,0,-11336568831.0,0.0,0.0,0.0
2025,Q2,-28548447095.0,0,116820341975.0,0.0,-28548447095.0,116820341975.0,0,-28548447095.0,0.0,0.0,0.0
2025,Q3,26308155889.0,0,163648297290.0,0.0,26308155889.0,163648297290.0,0,26308155889.0,0.0,0.0,0.0
2025,Q4,10678082423,7062218897,88060478881,133014202908,10678082423,88060478881,-0.338,0.512,0.0,0.5059,1.0
