current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,long_term_debt,short_term_investments
132460923631,125172510744,62022529307,31560998645,31598608694,52768642693,56729244296,403341396825,20890350625,15197980824,55157747142,137484844856,348183649683,107978511100,126588304320,4130726000,-11658667247,-88590626807,-73000608698,9625842020,-17003776510,0.0,,,,2016,,
322103105829,132460923631,127139645256,64803007262,31560998645,49375088925,52768642693,453300811280,93596242921,20890350625,111265620957,137341270477,342035190323,109568498519,107978511100,5975219701,4130726000,14534979753,-885023302,-8782232842,85076704195,0.0,,,,2017,,
177857936969,322103105829,57154044639,27619547299,64803007262,48812431011,49375088925,350825087723,72974228101,93596242921,75243840838,113970298940,275581246885,127075870093,109568498519,-36162084782,5975219701,-35383959654,-48528176488,-40538894386,-13932224381,,,,,2018,,
126629787873,177857936969,38124055761,38119169148,27619547299,48638259407,48812431011,296259242835,60737043161,72974228101,61598029106,94125024201,234661213729,113648123517,127075870093,-9330257173,-36162084782,-10453672646,-28698789113,-43125780140,34397174380,,,,,2019,,
145595739661,126629787873,42196706547,64483441633,38119169148,47359870853,48638259407,323370694038,64614603803,60737043161,67350352265,77645377832,256020341773,126242137495,113648123517,-12838601170,-9330257173,-14623507228,-18361927120,-14884985405,14134437537,,,,,2020,,
399201209864,145182269707,273726165333,80612746536,64483441633,40470267767,46573251312,1027300099293,355036031436,50116831683,383599172258,387607064022,643700927035,334983131724,126704859703,97350931326,-12461013679,391820836295,308090969487,94395580798,83141079493,,,,,2021,,
405362214973,399201209864,268132689768,65161672963,80612746536,54976710640,40470267767,1429831181230,722669210953,355036031436,895502859674,181183615112,534328321556,463491566220,334983131724,-84938285329,97350931326,-181695010645,-185755765680,-37019525545,-130906428428,0.0,,,,2022,9005671524.0,-38123716598.0
421994164740,405362214973,314809390192,54141984270,65161672963,78504232286,54976710640,1417739361214,889482394092,722669210953,1417739361214,15462974089,400778285482,54574264840,18933291656,-110440776864,-84938285329,46561624422,-206682445625,-10289938210,85466376412,-15022139186.0,,,,2023,19510353733.0,
550706768821,421994164740,270686029798,116895592359,54141984270,114766981005,78504232286,1875682729061,981280741285,889482394092,1875682729061,202676198847,831897265007,133014202908,54574264840,7062218897,-110440776864,-25679606795,181624881770,-80206752362,54640120406,,,,,2024,61553094050.0,
512607483597,550706768821,296472812229,100343549245,116895592359,180353157396,114766981005,1745649917765,745742957367,981280741285,1745649917765,173375418592,812655850470,88060478881,133014202908,10678082423,7062218897,29006495903,-27040443605,64255777601,-25901385193,,,,,2025,0.0,
