total_assets,current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_equity,retained_earnings,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,operating_income,prev_operating_income,revenue,prev_revenue,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,short_term_debt,capex,short_term_investments,cash_from_operations,roe,debt_ratio,opm,year
1591146181854,996234441988,0,153754690594,308812995673,304802691804,0,824726773737,12301007783,530103580800,0,228375274413,766419408117,-120362075,0,52929031535,0,161776825008,0,240208806445,0,253113556489,0,-9827830736,3210792631,10000000000,-74441384427,2747958750,56847904527,,,,2024
1809393507006,1131827637474,996234441988,248756754664,286435900302,360297523763,304802691804,866219782825,57295524641,626736338501,530103580800,395589145602,943173724181,162267204336,5466174056,50465751889,53174764880,522047501909,161346383190,841190155909,240080277901,949731713216,253242085033,-40154613197,42619753835,268627707337,-67110518758,35636000000,5676061731,,,,2025
