date,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
2025-02-27,164779,SK하이닉스,660,Y,주요사항보고서(자기주식처분결정),20250227000002,SK하이닉스,20250227,
2025-02-28,164779,SK하이닉스,660,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20250228005451,SK하이닉스,20250228,공
2025-03-04,164779,SK하이닉스,660,Y,자기주식처분결과보고서,20250304000432,SK하이닉스,20250304,
2025-03-06,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250306000099,최창언,20250306,
2025-03-12,164779,SK하이닉스,660,Y,의결권대리행사권유참고서류,20250312000408,컨두잇,20250312,
2025-03-14,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250314001400,박찬동,20250314,
2025-03-18,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래,20250318000393,SK하이닉스,20250318,공
2025-03-19,164779,SK하이닉스,660,Y,사업보고서 (2024.12),20250319000665,SK하이닉스,20250319,연
2025-03-27,164779,SK하이닉스,660,Y,정기주주총회결과              ,20250327801064,SK하이닉스,20250327,유
2025-03-28,164779,SK하이닉스,660,Y,합병등종료보고서(영업양수도),20250328000091,SK하이닉스,20250328,
2025-04-10,164779,SK하이닉스,660,Y,기업설명회(IR)개최(안내공시)              ,20250410800713,SK하이닉스,20250410,유
2025-04-18,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250418000182,정인철,20250418,
2025-04-23,164779,SK하이닉스,660,Y,주요사항보고서(자기주식처분결정),20250423000507,SK하이닉스,20250423,
2025-04-24,164779,SK하이닉스,660,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20250424800003,SK하이닉스,20250424,유
2025-04-25,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250425000230,한애라,20250425,
2025-04-28,164779,SK하이닉스,660,Y,자기주식처분결과보고서,20250428000526,SK하이닉스,20250428,
2025-05-15,164779,SK하이닉스,660,Y,분기보고서 (2025.03),20250515002103,SK하이닉스,20250515,
2025-05-28,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250528000635,조훈,20250528,
2025-05-30,164779,SK하이닉스,660,Y,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],20250530000764,SK하이닉스,20250530,공
2025-06-19,164779,SK하이닉스,660,Y,지속가능경영보고서등관련사항(자율공시)              ,20250619800512,SK하이닉스,20250619,유
2025-06-20,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250620000608,김상훈,20250620,
2025-06-26,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20250626000113,SK하이닉스,20250626,공
2025-06-27,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250627000819,김태환,20250627,
2025-07-08,164779,SK하이닉스,660,Y,주식등의대량보유상황보고서(약식),20250708000256,"TheCapitalGroupCompanies,Inc.",20250708,
2025-07-09,164779,SK하이닉스,660,Y,기업설명회(IR)개최(안내공시)              ,20250709800320,SK하이닉스,20250709,유
2025-07-10,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250710000579,김락현,20250710,
2025-07-15,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20250715000063,SK하이닉스,20250715,공
2025-07-23,164779,SK하이닉스,660,Y,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20250723800548,SK하이닉스,20250723,유
2025-07-24,164779,SK하이닉스,660,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20250724800001,SK하이닉스,20250724,유
2025-07-28,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250728000019,권기창,20250728,
2025-08-05,164779,SK하이닉스,660,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250805000091,SK하이닉스,20250805,공
2025-08-06,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250806000318,박태진,20250806,
2025-08-14,164779,SK하이닉스,660,Y,반기보고서 (2025.06),20250814003049,SK하이닉스,20250814,
2025-08-29,164779,SK하이닉스,660,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20250829001402,SK하이닉스,20250829,공
2025-09-19,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250919000520,박명수,20250919,
2025-09-23,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20250923000049,SK하이닉스,20250923,공
2025-10-14,164779,SK하이닉스,660,Y,주식등의대량보유상황보고서(약식),20251014000028,"TheCapitalGroupCompanies,Inc.",20251014,
2025-10-15,164779,SK하이닉스,660,Y,기업설명회(IR)개최(안내공시)              ,20251015800339,SK하이닉스,20251015,유
2025-10-17,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20251017000082,SK하이닉스,20251017,공
2025-10-29,164779,SK하이닉스,660,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20251029800001,SK하이닉스,20251029,유
2025-10-31,164779,SK하이닉스,660,Y,자기주식처분결과보고서,20251031000290,SK하이닉스,20251031,
2025-11-14,164779,SK하이닉스,660,Y,분기보고서 (2025.09),20251114001805,SK하이닉스,20251114,
2025-11-27,164779,SK하이닉스,660,Y,기업가치제고계획(자율공시)              (2025년 이행현황),20251127800876,SK하이닉스,20251127,유
2025-11-28,164779,SK하이닉스,660,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20251128001745,SK하이닉스,20251128,공
2025-12-03,164779,SK하이닉스,660,Y,[기재정정]타법인주식및출자증권취득결정              ,20251203800001,SK하이닉스,20251203,유
2025-12-05,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20251205000520,박태진,20251205,
2025-12-09,164779,SK하이닉스,660,Y,조회공시요구(풍문또는보도)              ,20251209800670,유가증권시장본부,20251209,유
2025-12-10,164779,SK하이닉스,660,Y,조회공시요구(풍문또는보도)에대한답변(미확정)              ,20251210800001,SK하이닉스,20251210,유
2025-12-15,164779,SK하이닉스,660,Y,주주명부폐쇄기간또는기준일설정              ,20251215801345,SK하이닉스,20251215,유
2025-12-23,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래,20251223000552,SK하이닉스,20251223,공
2025-12-26,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래,20251226000223,SK하이닉스,20251226,공
2026-01-07,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260107000023,강봉길,20260107,
2026-01-09,164779,SK하이닉스,660,Y,조회공시요구(풍문또는보도)에대한답변(미확정)              ,20260109800500,SK하이닉스,20260109,유
2026-01-15,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20260115000074,SK하이닉스,20260115,공
2026-01-16,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260116000406,이상환,20260116,
2026-01-27,164779,SK하이닉스,660,Y,동일인등출자계열회사와의상품ㆍ용역거래,20260127000146,SK하이닉스,20260127,공
2026-01-28,164779,SK하이닉스,660,Y,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20260128800591,SK하이닉스,20260128,유
2026-01-29,164779,SK하이닉스,660,Y,최대주주등소유주식변동신고서              ,20260129800916,SK하이닉스,20260129,유
2026-02-06,164779,SK하이닉스,660,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260206000331,강상철,20260206,
2026-02-09,164779,SK하이닉스,660,Y,주식등의대량보유상황보고서(약식),20260209000019,CapitalResearchandManagementCompany,20260209,
2026-02-12,164779,SK하이닉스,660,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20260212001477,SK하이닉스,20260212,공
2026-02-13,164779,SK하이닉스,660,Y,[기재정정]영업양도결정(종속회사의주요경영사항)              ,20260213800004,SK하이닉스,20260213,유
