date,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
2025-12-16,106641,기아,270,Y,특수관계인으로부터기타유가증권매수,20251216000409,기아,20251216,공
2025-12-19,106641,기아,270,Y,임원ㆍ주요주주특정증권등소유상황보고서,20251219000269,김희삼,20251219,
2026-01-05,106641,기아,270,Y,영업실적등에대한전망(공정공시)              ,20260105800035,기아,20260105,유
2026-01-08,106641,기아,270,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260108000130,곽현희,20260108,
2026-01-09,106641,기아,270,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260109000201,박형철,20260109,
2026-01-15,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20260115800317,기아,20260115,유
2026-01-28,106641,기아,270,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20260128800295,기아,20260128,유
2026-01-29,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20260129800132,기아,20260129,유
2026-02-02,106641,기아,270,Y,영업(잠정)실적(공정공시)              ,20260202801312,기아,20260202,유
2026-02-06,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20260206800166,기아,20260206,유
2026-02-12,106641,기아,270,Y,주주총회소집결의              ,20260212800756,기아,20260212,유
2026-02-13,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20260213800240,기아,20260213,유
