date,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
2025-02-25,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250225004532,노학준,20250225,
2025-02-26,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250226005576,박수영,20250226,
2025-02-27,159616,두산에너빌리티,34020,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20250227003885,두산에너빌리티,20250227,공
2025-03-10,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250310000201,박지원,20250310,
2025-03-11,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250311000001,김덕수,20250311,
2025-03-12,159616,두산에너빌리티,34020,Y,의결권대리행사권유참고서류,20250312000423,컨두잇,20250312,
2025-03-13,159616,두산에너빌리티,34020,Y,단일판매ㆍ공급계약체결              ,20250313800043,두산에너빌리티,20250313,유
2025-03-14,159616,두산에너빌리티,34020,Y,단일판매ㆍ공급계약체결              ,20250314800048,두산에너빌리티,20250314,유
2025-03-19,159616,두산에너빌리티,34020,Y,감사보고서제출              ,20250319801319,두산에너빌리티,20250319,유
2025-03-20,159616,두산에너빌리티,34020,Y,사업보고서 (2024.12),20250320001103,두산에너빌리티,20250320,연
2025-03-25,159616,두산에너빌리티,34020,Y,사외이사의선임ㆍ해임또는중도퇴임에관한신고,20250325000762,두산에너빌리티,20250325,
2025-03-31,159616,두산에너빌리티,34020,Y,정기주주총회결과              ,20250331803155,두산에너빌리티,20250331,유
2025-04-01,159616,두산에너빌리티,34020,Y,주식등의대량보유상황보고서(약식),20250401003751,국민연금공단,20250401,
2025-04-03,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250403800768,두산에너빌리티,20250403,유
2025-04-23,159616,두산에너빌리티,34020,Y,결산실적공시예고(안내공시)              ,20250423800658,두산에너빌리티,20250423,유
2025-04-30,159616,두산에너빌리티,34020,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20250430800694,두산에너빌리티,20250430,유
2025-05-07,159616,두산에너빌리티,34020,Y,풍문또는보도에대한해명(미확정)              ,20250507800616,두산에너빌리티,20250507,유
2025-05-13,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250513800360,두산에너빌리티,20250513,유
2025-05-14,159616,두산에너빌리티,34020,Y,주식등의대량보유상황보고서(일반),20250514001078,두산,20250514,
2025-05-15,159616,두산에너빌리티,34020,Y,분기보고서 (2025.03),20250515002881,두산에너빌리티,20250515,
2025-05-26,159616,두산에너빌리티,34020,Y,주식등의대량보유상황보고서(일반),20250526000405,두산,20250526,
2025-05-27,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250527000403,홍성명,20250527,
2025-05-29,159616,두산에너빌리티,34020,Y,기업지배구조보고서공시              ,20250529800604,두산에너빌리티,20250529,유
2025-05-30,159616,두산에너빌리티,34020,Y,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],20250530001276,두산에너빌리티,20250530,공
2025-06-05,159616,두산에너빌리티,34020,Y,[기재정정]풍문또는보도에대한해명              ,20250605800271,두산에너빌리티,20250605,유
2025-06-09,159616,두산에너빌리티,34020,Y,풍문또는보도에대한해명(미확정)              ,20250609800161,두산에너빌리티,20250609,유
2025-06-10,159616,두산에너빌리티,34020,Y,주식등의대량보유상황보고서(일반),20250610000286,두산,20250610,
2025-06-16,159616,두산에너빌리티,34020,Y,[발행조건확정]증권신고서(채무증권),20250616000324,두산에너빌리티,20250616,
2025-06-17,159616,두산에너빌리티,34020,Y,투자설명서,20250617000002,두산에너빌리티,20250617,
2025-06-18,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250618800589,두산에너빌리티,20250618,유
2025-06-25,159616,두산에너빌리티,34020,Y,주식등의대량보유상황보고서(일반),20250625000468,두산,20250625,
2025-06-30,159616,두산에너빌리티,34020,Y,지속가능경영보고서등관련사항(자율공시)              ,20250630800994,두산에너빌리티,20250630,유
2025-07-08,159616,두산에너빌리티,34020,Y,풍문또는보도에대한해명(미확정)              ,20250708800423,두산에너빌리티,20250708,유
2025-07-18,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250718800399,두산에너빌리티,20250718,유
2025-07-23,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250723800336,두산에너빌리티,20250723,유
2025-07-25,159616,두산에너빌리티,34020,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20250725800470,두산에너빌리티,20250725,유
2025-08-14,159616,두산에너빌리티,34020,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250814003145,두산에너빌리티,20250814,공
2025-08-22,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250822800410,두산에너빌리티,20250822,유
2025-08-25,159616,두산에너빌리티,34020,Y,단일판매ㆍ공급계약체결              ,20250825800035,두산에너빌리티,20250825,유
2025-08-29,159616,두산에너빌리티,34020,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20250829001406,두산에너빌리티,20250829,공
2025-09-05,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250905800537,두산에너빌리티,20250905,유
2025-09-12,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250912000343,이희범,20250912,
2025-09-19,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20250919800350,두산에너빌리티,20250919,유
2025-09-23,159616,두산에너빌리티,34020,Y,[기재정정]단일판매ㆍ공급계약체결              ,20250923800193,두산에너빌리티,20250923,유
2025-09-30,159616,두산에너빌리티,34020,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20250930000664,두산에너빌리티,20250930,공
2025-10-15,159616,두산에너빌리티,34020,Y,[기재정정]단일판매ㆍ공급계약체결              ,20251015800386,두산에너빌리티,20251015,유
2025-10-17,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20251017000361,이희범,20251017,
2025-10-29,159616,두산에너빌리티,34020,Y,결산실적공시예고(안내공시)              ,20251029800452,두산에너빌리티,20251029,유
2025-11-05,159616,두산에너빌리티,34020,Y,[기재정정]연결재무제표기준영업실적등에대한전망(공정공시)              ,20251105800355,두산에너빌리티,20251105,유
2025-11-13,159616,두산에너빌리티,34020,Y,분기보고서 (2025.09),20251113001034,두산에너빌리티,20251113,
2025-11-18,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20251118800017,두산에너빌리티,20251118,유
2025-11-24,159616,두산에너빌리티,34020,Y,주식등의대량보유상황보고서(일반),20251124000291,두산,20251124,
2025-11-26,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20251126000400,최용길,20251126,
2025-11-28,159616,두산에너빌리티,34020,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20251128001896,두산에너빌리티,20251128,공
2025-12-02,159616,두산에너빌리티,34020,Y,기업설명회(IR)개최(안내공시)              ,20251202800220,두산에너빌리티,20251202,유
2025-12-04,159616,두산에너빌리티,34020,Y,풍문또는보도에대한해명(미확정)              ,20251204800389,두산에너빌리티,20251204,유
2025-12-05,159616,두산에너빌리티,34020,Y,주식등의대량보유상황보고서(일반),20251205000409,두산,20251205,
2025-12-12,159616,두산에너빌리티,34020,Y,풍문또는보도에대한해명(미확정)              ,20251212800218,두산에너빌리티,20251212,유
2025-12-16,159616,두산에너빌리티,34020,Y,단일판매ㆍ공급계약체결              ,20251216801147,두산에너빌리티,20251216,유
2025-12-17,159616,두산에너빌리티,34020,Y,단일판매ㆍ공급계약체결              ,20251217800425,두산에너빌리티,20251217,유
2025-12-19,159616,두산에너빌리티,34020,Y,[기재정정]타법인주식및출자증권처분결정              ,20251219800511,두산에너빌리티,20251219,유
2025-12-31,159616,두산에너빌리티,34020,Y,단일판매ㆍ공급계약체결              ,20251231800182,두산에너빌리티,20251231,유
2026-01-08,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260108000206,김호정,20260108,
2026-01-12,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260112000203,최용길,20260112,
2026-01-27,159616,두산에너빌리티,34020,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260127000283,육심균,20260127,
2026-02-04,159616,두산에너빌리티,34020,Y,결산실적공시예고(안내공시)              ,20260204800826,두산에너빌리티,20260204,유
2026-02-11,159616,두산에너빌리티,34020,Y,매출액또는손익구조30%(대규모법인은15%)이상변경              ,20260211801209,두산에너빌리티,20260211,유
2026-02-12,159616,두산에너빌리티,34020,Y,연결재무제표기준영업실적등에대한전망(공정공시)              ,20260212800739,두산에너빌리티,20260212,유
2026-02-13,159616,두산에너빌리티,34020,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20260213002379,두산에너빌리티,20260213,공
