date,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
2025-02-18,111704,한화오션,42660,Y,주주총회소집결의              ,20250218800653,한화오션,20250218,유
2025-02-19,111704,한화오션,42660,Y,투자설명서,20250219000008,한화오션,20250219,
2025-02-25,111704,한화오션,42660,Y,단일판매ㆍ공급계약체결              ,20250225800348,한화오션,20250225,유
2025-02-28,111704,한화오션,42660,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20250228005625,한화오션,20250228,공
2025-03-12,111704,한화오션,42660,Y,감사보고서제출              ,20250312801310,한화오션,20250312,유
2025-03-13,111704,한화오션,42660,Y,주식등의대량보유상황보고서(일반),20250313001187,한화에어로스페이스,20250313,
2025-03-14,111704,한화오션,42660,Y,[기재정정]사업보고서 (2024.12),20250314001630,한화오션,20250314,연
2025-03-18,111704,한화오션,42660,Y,[기재정정]단일판매ㆍ공급계약체결              ,20250318800716,한화오션,20250318,유
2025-03-20,111704,한화오션,42660,Y,정기주주총회결과              ,20250320801784,한화오션,20250320,유
2025-03-21,111704,한화오션,42660,Y,동일인등출자계열회사와의상품ㆍ용역거래,20250321001540,한화오션,20250321,공
2025-03-26,111704,한화오션,42660,Y,주식등의대량보유상황보고서(일반),20250326001278,한화에어로스페이스,20250326,
2025-03-27,111704,한화오션,42660,Y,[기재정정]단일판매ㆍ공급계약체결              ,20250327801173,한화오션,20250327,유
2025-04-01,111704,한화오션,42660,Y,단일판매ㆍ공급계약체결              ,20250401800363,한화오션,20250401,유
2025-04-03,111704,한화오션,42660,Y,특수관계인과의내부거래,20250403002916,한화오션,20250403,공
2025-04-11,111704,한화오션,42660,Y,풍문또는보도에대한해명              ,20250411800300,한화오션,20250411,유
2025-04-14,111704,한화오션,42660,Y,결산실적공시예고(안내공시)              ,20250414800437,한화오션,20250414,유
2025-04-21,111704,한화오션,42660,Y,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250421000448,한화오션,20250421,공
2025-04-24,111704,한화오션,42660,Y,풍문또는보도에대한해명(미확정)              ,20250424800749,한화오션,20250424,유
2025-04-28,111704,한화오션,42660,Y,단일판매ㆍ공급계약체결              ,20250428800105,한화오션,20250428,유
2025-04-30,111704,한화오션,42660,Y,주식등의대량보유상황보고서(일반),20250430001323,한화에어로스페이스,20250430,
2025-05-08,111704,한화오션,42660,Y,특수관계인과의내부거래,20250508000493,한화오션,20250508,공
2025-05-13,111704,한화오션,42660,Y,분기보고서 (2025.03),20250513000657,한화오션,20250513,
2025-05-14,111704,한화오션,42660,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20250514000683,한화오션,20250514,공
2025-05-15,111704,한화오션,42660,Y,[기재정정]단일판매ㆍ공급계약체결              ,20250515801193,한화오션,20250515,유
2025-05-30,111704,한화오션,42660,Y,기업지배구조보고서공시              ,20250530800974,한화오션,20250530,유
2025-06-18,111704,한화오션,42660,Y,[기재정정]단일판매ㆍ공급계약체결              ,20250618800597,한화오션,20250618,유
2025-06-23,111704,한화오션,42660,Y,약관에의한금융거래시계열금융회사의거래상대방의공시,20250623000253,한화오션,20250623,공
2025-07-03,111704,한화오션,42660,Y,특수관계인과의내부거래,20250703000294,한화오션,20250703,공
2025-07-15,111704,한화오션,42660,Y,결산실적공시예고(안내공시)              ,20250715800310,한화오션,20250715,유
