date,name,position,change_dir,shares_before,shares_after,change_amount
2024-04-18,황수,,,0,0,0
2024-05-27,최종웅,,,0,0,0
2024-07-29,황수,,,0,0,0
2024-08-01,황수,,,0,0,0
2024-08-07,황수,,,0,0,0
2025-02-18,이배희,,,0,0,0
2025-02-18,신용주,,,0,0,0
2025-08-18,최종웅,,,0,0,0
2025-11-04,일진홀딩스,,,0,0,0
2025-12-02,황수,,,0,0,0
2026-02-26,일진홀딩스,,,0,0,0
2026-04-29,일진홀딩스,,,0,0,0
2026-05-29,유상석,,,0,0,0
2024-07-29,황수,,,0,0,0
2024-08-01,황수,,,0,0,0
2024-08-07,황수,,,0,0,0
2025-02-18,이배희,,,0,0,0
2025-02-18,신용주,,,0,0,0
2025-08-18,최종웅,,,0,0,0
2025-11-04,일진홀딩스,,,0,0,0
2025-12-02,황수,,,0,0,0
2026-02-26,일진홀딩스,,,0,0,0
2026-04-29,일진홀딩스,,,0,0,0
2026-05-29,유상석,,,0,0,0
