current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year,short_term_investments
1107439869411,1173953045522,22181963656,336506059048,314266492274,745392706000,2328157924004,2316974376144,3537087560425,777041138253,595518011180,438655422974,560660335886,1542848235073,1154518109443,1994239325352,2531111524260,2526725912931,2271770115590,2192526317484,259341408670,334199595447,115877445254.0,111907530971.0,143463963416,222292064476,132819046309,104654832540,255231398961,150266389681,30197415725.0,-171362781548,,,,2016,
1225696956930,1107439869411,12337481554,399037945416,336506059048,793921287416,2255361414990,2328157924004,3590984648655,634039444221,777041138253,274822400000,649563155984,1487814150407,1251919230442,2103170498248,3055344916475,2531111524260,2736767835124,2271770115590,318577081351,259341408670,130053196749.0,115877445254.0,188523884602,143463963416,173331071866,137150033601,221905765985,155833825672,,-125509157512,,,,2017,
1380930191146,1225696956930,71740697855,400390049655,399037945416,897289262827,2224188294439,2255361414990,3718893786248,981775164748,634039444221,616692412466,467992738342,1723895062517,1245180014739,1994998723731,3278056472831,3055344916475,3087956484928,2736767835124,190099987903,318577081351,134238145677.0,130053196749.0,55861842226,188523884602,29529746189,24809845730,88020960186,164258307569,,-91793858833,,,,2018,32948145757.0
1344845947529,1380930191146,74952449597,351597995597,400390049655,827227707361,2048089567351,2224188294439,3576889161377,735798155536,981775164748,1588800000000,250700000000,1593798152255,1231927531353,1983091009122,2960677156184,3278056472831,2788518178626,3087956484928,172158977558,190099987903,128170084529.0,134238145677.0,43988893029,55861842226,30649866785,19189145067,323396794077,174169394656,,-150117750307,,,,2019,5958531378.0
1340402546325,1344845947529,75697904262,345353168143,351597995597,718499434997,1725135920985,2048089567351,3280434990885,756875588893,735798155536,296215436678,255865656000,1566714421685,974753601717,1713720569200,2535775915596,2936506276222,2402692061225,2765758753389,133083854371,170747522833,136415957493.0,126978741367.0,-3332103122,43768781466,-314919789221,-245476439576,385737835559,179027229224,22785557838.0,-233698036452,,,,2020,0.0
1636018723683,1340402546325,64772638376,-123661636976,13673621223,1087653786453,1680963401140,1725135920985,3525996555495,910905882900,756875588893,791407099742,0,1619635049491,1162350997933,1906361506004,3651102951303,2535775915596,3257323362876,2402692061225,393779588427,133083854371,155349962867.0,136415957493.0,238429625560,-3332103122,232840014340,183668658624,83083139983,112023017276,17483571759.0,94974179444,,,,2021,0.0
1809109415045,1636018723683,136897186911,-148993214030,-123661636976,1119892265544,1691878639908,1680963401140,3818404052059,1025589889996,910905882900,1022121368543,236475410480,1846659305036,1218771552192,3818404052059,4386332748546,3651102951303,4040501591375,3257323362876,345831157171,393779588427,217974691339.0,155349962867.0,127856465832,238429625560,115666929125,88310592966,32901932284,107440161917,26123744080.0,-96950671492,,,,2022,1291950000.0
1664235509209,1809109415045,97264808995,39670658768,-148993214030,1104871695758,1652168513131,1691878639908,3665171000621,749296026184,1025589889996,303244412973,120316505894,1626121166492,1289734985969,2039049834129,4083481175925,4386332748546,3677434158236,4040501591375,406047017689,345831157171,209356857008.0,217974691339.0,196690160681,127856465832,29292577892,125991352125,229768401458,0,32958654272.0,-145950592870,,,,2023,5739626688.0
1712680355639,1664235509209,263554899330,26375818673,23391812241,970044321551,1683424554484,1652168513131,3826646864046,1137233323820,749296026184,526057893340,552360621161,1795239994311,1263599731873,2031406869735,3636063257694,4083481175925,3378039028208,3677434158236,258024229486,406047017689,,,52332166350,196690160681,2950432700,20273054942,318005330699,92939140,34405804178.0,-248449144690,,,,2024,0.0
1703305066304,1712680355639,232872225511,29210790853,26375818673,975620828405,1766099713912,1683424554484,3914568488213,916929899514,1137233323820,696792450607,152917249409,1961614625454,1265335340074,1952953862759,3651585276954,3636063257694,3336515123632,3378039028208,315070153322,258024229486,,,98411992401,52332166350,31663004645,56136309970,113476256502,75000,44257908068.0,-241689926662,,,,2025,5546217750.0
