current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,interest_expense,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year
,,16087635297,,,,,,97392484285,,,,,11098829666,25400809964,86293654619,131001972745,99398346285,,,,,,,8758923145,8031582097,,,8254206052,2480554573,-29430396182,1092292290,,,,2021
,,21188944927,,,,,,129216316028,,,,,32829452721,32792703634,96386863307,165272164547,131001972745,,,,,,,14239439136,8758923145,,,11155656520,9847553799,-20130650888,174287593780,,,,2022
,,17217510020,,,,,,215270561079,,,,,80318624896,70805907906,134951936183,342860997946,165272164547,,,,,,,47809343470,14239439136,,,38013204272,-18474116929,-18384947630,166914283103,,,,2023
,,86017437082,,,,,,457759144111,,,,,196171192588,191544104253,261587951523,691522368911,342860997946,,,,,,,137575012281,47809343470,,,120738196347,60126008213,-72087426839,0,,,,2024
,,77322804082,,,,,,709448340772,,,,,252018395129,359801368417,457429945643,1116287364104,691522368911,,,,,,,205361951857,137575012281,,,168584659656,1140985003,-42918538519,1859800000,,,,2025
