timestamp,bid_price_1,ask_price_1,bid_total,ask_total,imbalance_ratio,note
2026-03-11 09:00:56,0,0,0,0,1.0,no_orderbook_api
2026-03-11 09:31:00,0,0,0,0,1.0,no_orderbook_api
2026-03-11 10:03:33,0,0,0,0,1.0,no_orderbook_api
2026-03-11 10:30:56,0,0,0,0,1.0,no_orderbook_api
2026-03-11 11:00:58,0,0,0,0,1.0,no_orderbook_api
2026-03-11 11:32:49,0,0,0,0,1.0,no_orderbook_api
2026-03-11 12:02:25,0,0,0,0,1.0,no_orderbook_api
2026-03-11 13:28:59,0,0,0,0,1.0,no_orderbook_api
2026-03-11 13:31:00,0,0,0,0,1.0,no_orderbook_api
2026-03-11 14:01:01,0,0,0,0,1.0,no_orderbook_api
2026-03-11 14:38:13,0,0,0,0,1.0,no_orderbook_api
2026-03-11 15:01:09,0,0,0,0,1.0,no_orderbook_api
