current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,long_term_debt,roe,debt_ratio,opm,year,sga_expense,prev_sga
,,613786000000,3521893000000,,,,,,32216026000000,,,8192496000000,17066583000000,24023530000000,17197975000000,18797998000000,,,,,,,,2960483000000,5548922000000,-6230451000000,,,,,2016,,
,,2949991000000,5604663000000,,,,,,45418464000000,,,11597545000000,27287256000000,33820919000000,30109434000000,17197975000000,,,,,13721326000000.0,3276746000000.0,,10642219000000,14690614000000,-11919162000000,,,,,2017,,
,,2349319000000,523579000000,,,,,,63658335000000,,,16806004000000,42033601000000,46852331000000,40445066000000,30109434000000,,,,,20843750000000.0,13721326000000.0,,15539984000000,22227199000000,-21428749000000,,,,,2018,,
,,2306070000000,298350000000,,,,,,64789494000000,,,16846299000000,42930675000000,47943195000000,26990733000000,40445066000000,,,,,2712718000000.0,20843750000000.0,,2016391000000,6483188000000,-10450936000000,,,,,2019,,
,,2975989000000,436708000000,,,,,,71173853000000,,,19264756000000,46995728000000,51909097000000,31900418000000,26990733000000,,,,,5012624000000.0,2719179000000.0,,4758914000000,12314571000000,-11840393000000,,,,,2020,,
,,5057982000000,474637000000,,,,,,96386474000000,,,34195416000000,55784068000000,62191058000000,42997792000000,31900418000000,,,,,12410340000000.0,5012624000000.0,,9616188000000,19797648000000,-22392277000000,,,,,2021,,
,,4977007000000,415625000000,,,,,,103871512000000,,,40580970000000,56685260000000,63290542000000,44621568000000,42997792000000,,,,,6809417000000.0,12410340000000.0,,2241669000000,14780517000000,-17883746000000,,,,,2022,,
,,7587329000000,472617000000,,,,,,100330165000000,,,46826413000000,46729313000000,53503752000000,32765719000000,44621568000000,,,,,,,,-9137547000000,4278191000000,-7334727000000,,,,,2023,,
,,11205117000000,2382010000000,,,,,,119855209000000,,,45939505000000,65418061000000,73915704000000,66192960000000,32765719000000,,,,,,,,19796902000000,29795885000000,-18004637000000,,,,,2024,,
,,14923766000000,14679719000000,,,,,,176107659000000,,,55440908000000,106576548000000,120666751000000,97146675000000,66192960000000,,,,,,,,42947902000000,53373126000000,-48054251000000,,,,,2025,,
