current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
158933328241,0,38938425630,35518231565,0,80483882045,104819179527,0,280653651530,52978650048,0,12000000000,61731889683,23226483320,218921761847,244089917754,0,151046272910,0,93043644844,0,37007197001,0,28720399278.0,0.0,27900303841,22519378074.0,18978303561,9619363586,86106408,-14957044869,,,,2016
280069098878,158933328241,112496281643,51000946595,35518231565,109839755424,108199007991,104819179527,409618120681,81536939874,52978650048,12000000000,96149729181,117854460836,313468391500,630860973364,244089917754,379634687337,151046272910,251226286027,93043644844,69412886361,37007197001,122251767544.0,28720399278.0,124270338244,95364580825.0,96401563565,14427243742,179101952,-22276738390,,,,2017
331715602680,280069098878,90885817528,35791810647,51000946595,184483394045,137935400650,108199007991,512346016162,123966746925,81536939874,9000000000,143129539013,173678038574,369216477149,649312684893,630860973364,391437029909,379634687337,257875654984,251226286027,79180958778,69412886361,105894511995.0,122251767544.0,109813867132,86860388555.0,46595817373,16327367741,172645417,-56729406002,,,,2018
552974783891,331715602680,13540457060,127061671611,35791810647,322203787596,244746759004,137935400650,899161666256,327047469524,123966746925,15000000000,332607530256,207517597816,566554136000,669241556900,649312684893,390174789600,391437029909,279066767300,257875654984,128379065757,79180958778,41116029608.0,105894511995.0,43461147899,42862674126.0,-16203162265,26401487633,164193679,-39684184595,,,,2019
656887279237,552974783891,135099998502,12590900365,1585075224,381059162422,273194242957,244746759004,1099641462981,429851413083,327047469524,0,436613617233,303920698035,663027845748,1090924689101,669241556900,624650510443,390174789600,466274178658,279066767300,185366289801,128379065757,140597242597.0,41116029608.0,126957158629,97818821139.0,225055329125,30303188744,54610888,-82806322094,,,,2020
674847713442,656887279237,37675321602,-17233718447,12590900365,330091795160,333622496749,273194242957,1167585591415,359397009130,429851413083,0,366545866913,441628698162,801039724502,1232302198954,1090924689101,760681824125,624650510443,471620374829,466274178658,161312029849,185366289801,164128988758.0,140597242597.0,189288167815,145116947236.0,137290457928,29609077870,74717230,-223783631960,,,,2021
596025062092,674847713442,98372651160,-2795233688,-17233718447,327143396542,367567426771,333622496749,1121670538661,248902022998,359397009130,0,251943234499,521283769486,869727304162,1011484981702,1232302198954,599227531521,760681824125,412257450181,471620374829,162287293195,161312029849,97554876588.0,164128988758.0,117338639677,89438212718.0,28026783322,32383871814,819559643,60744469876,,,,2022
587550843984,596025062092,53989123994,16895190785,-2795233688,340987647423,353690379851,367567426771,1084862841788,209555443957,248902022998,50500000000,218160246280,494184153909,866702595508,8528071029,29404136071,414407177962,599227531521,275930408816,412257450181,129425432685,162287293195,,,-7349068240,,-12315183037,53000000000,483799701,-46027866311,,,,2023
645135490548,587550843984,135051183728,13571026425,16895190785,337663829800,334233349351,353690379851,1124147065791,228970241659,209555443957,170000000000,236686893210,514504153630,887460172581,748176487524,690337586778,455849202744,414407177962,292327284780,275930408816,125493130741,129425432685,,,-3327225732,,78280504451,30000000000,385433652,5495162371,,,,2024
699221942000,645135490548,107273747142,-10561380416,13571026425,272698619374,322582791922,334233349351,1164636219440,188109671299,228970241659,200000000000,194620663488,596933071940,970015555952,909795691103,748176487524,526952084731,455849202744,382843606372,292327284780,141574473205,125493130741,,,22124983957,,156607028356,94198000000,10942997,-178509048975,,,,2025
