Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2024-05-16,159.27268981933594,159.72813012881383,158.06765588736044,158.3902588366495,6793600
2024-05-17,159.06393432617188,159.40551815849608,158.3428193371255,159.09239843901676,4700800
2024-05-20,158.7508087158203,159.29165579617472,158.257406647842,158.97853608831454,3804600
2024-05-21,159.7376251220703,159.91789301785076,158.73184000826657,159.17779709812513,5147100
2024-05-22,159.22523498535156,159.81351261874752,159.05445030914711,159.41500056275166,4536700
2024-05-23,157.02394104003906,159.50990360666327,156.86263956217738,158.73184585419165,4729800
2024-05-24,156.87213134765625,157.80199293834167,156.70133216999466,157.3655334986717,3820100
2024-05-28,154.76568603515625,156.33127021998655,153.9591641955854,156.07509319364527,6466200
2024-05-29,153.38035583496094,154.4146049712153,153.1621261544015,154.32919815866174,4360400
2024-05-30,154.26280212402344,154.37665858121417,153.21906967248748,153.38037114623643,4748200
2024-05-31,156.12252807617188,156.34077226078415,153.68401054388508,154.1299676471375,10341400
2024-06-03,156.22689819335938,157.73556864005803,155.25908935215503,155.5437304947526,5828400
2024-06-04,158.4661865234375,158.57055978139212,155.98970692850327,156.35975493794456,6277000
2024-06-05,157.55531311035156,158.46619387824262,156.5400446014729,158.46619387824262,5243300
2024-06-06,159.8514862060547,159.9558594530474,156.6349109300623,157.34654275641626,6302000
2024-06-07,158.5136260986328,160.32591875257253,158.30487958989696,159.78507157679664,4558200
2024-06-10,158.78880310058594,159.13987020347523,157.58376903424738,158.24795590924927,4110600
2024-06-11,158.91212463378906,158.93110553610344,157.52682280675126,158.4282202111695,3947700
2024-06-12,156.72976684570312,159.0639253140356,155.8188863299037,158.93108796889047,5474500
2024-06-13,157.89686584472656,158.45667938094851,156.0561092887016,156.0561092887016,4902200
2024-06-14,158.25741577148438,158.39025312688457,156.7962048620822,157.49835344244661,3695000
2024-06-17,158.93109130859375,160.07919690576173,156.93851661136122,157.3655072451861,6759400
2024-06-18,159.93687438964844,160.02226673182463,158.39975431773223,158.48514665990842,5112600
2024-06-20,159.0924072265625,160.14562289455486,158.32384718092766,159.7565940266058,8483600
2024-06-21,159.6522216796875,160.2405138300542,158.627470120344,158.9121257443038,14682000
2024-06-24,159.83251953125,160.74341472047018,158.91214112898143,160.12665839581643,7565200
2024-06-25,158.31436157226562,160.26897461631228,157.41294970208145,160.0032999003168,7968200
2024-06-26,158.8836669921875,159.22525085683074,157.18524535960853,157.5552933397898,5164000
2024-06-27,158.09608459472656,159.5003814915731,157.0333859512173,158.92158716362258,5007000
2024-06-28,156.4830780029297,158.68439919571304,156.1604750799758,157.5078294742407,9253100
2024-07-01,154.39564514160156,157.7071105153877,153.90224301204958,157.11881834924182,7638600
2024-07-02,155.51527404785156,155.64811141367514,153.4373212135086,154.26280952411315,5449200
2024-07-03,155.44883728027344,155.80940199085035,154.64231552604127,154.86055968148764,2980500
2024-07-05,156.75827026367188,157.15678236222655,155.13574327552556,155.61964772130187,6509200
2024-07-08,158.00125122070312,158.14357179908373,157.14728431585834,157.46040406648274,5144500
2024-07-09,157.1852264404297,158.22894433363587,156.69182436684602,158.10560467387884,4393100
2024-07-10,158.2669219970703,158.3807784569293,157.0713712558042,157.41295511356785,5037100
2024-07-11,157.0713653564453,158.10561458133748,156.35025034077788,157.79249485029888,5831500
2024-07-12,158.0866241455078,159.06393060548342,157.5268106350723,157.71657620899458,4684600
2024-07-15,156.16049194335938,158.09612416829194,156.04663548253592,157.95380359226263,5752500
2024-07-16,158.40921020507812,158.5230811198572,156.1889228223659,156.47357839203806,6378300
2024-07-17,160.7718505859375,161.464501449637,158.76979264226517,159.16830469308618,7982300
2024-07-18,159.822998046875,162.17612287811343,159.67117980532817,160.1645818512632,5926300
2024-07-19,160.32608032226562,161.35698057834267,159.53380278645915,160.33562057019196,6597100
2024-07-22,160.60287475585938,161.03241890753281,160.07786987480856,160.29741207406167,6383000
2024-07-23,159.04693603515625,160.7651270003802,158.76058301200274,160.4692191662812,4863400
2024-07-24,160.36424255371094,160.63151512607942,158.0542355695188,158.76060711949998,5907000
2024-07-25,159.3142547607422,162.35926902211352,159.28561945012393,160.6697274345762,7338300
2024-07-26,161.42379760742188,161.62425932555294,159.438333747287,159.64833571284782,5581600
2024-07-29,162.20651245117188,162.78878795204238,160.46924076079165,161.1756122985688,6797800
2024-07-30,154.3505859375,154.99968689683195,150.8569327498577,154.43649186049203,15746300
2024-07-31,153.45330810546875,155.4578670420047,151.9737686523616,153.50103847353168,9660900
2024-08-01,158.15924072265625,158.75105649633764,153.37694046996265,153.56786193977499,12532700
2024-08-02,162.34971618652344,162.60744852737045,157.64378144782415,159.82970709064065,11899000
2024-08-05,160.42152404785156,163.11335957890677,159.09470134314907,163.11335957890677,10338800
