Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2024-05-16,326.1700134277344,331.4232881133356,326.11291482573034,331.18536759064114,3101600
2024-05-17,327.5784606933594,328.26367291098916,324.1333764202594,328.10190323133,2739000
2024-05-20,321.4972229003906,325.99866021051645,321.2307530998822,324.6472880233058,3237400
2024-05-21,319.9079284667969,322.62022822954555,316.2724959158294,322.62022822954555,4275100
2024-05-22,314.6165771484375,319.0514191518644,313.03678140140306,318.48993020660447,4024400
2024-05-23,311.0953369140625,315.00673591788734,310.2483260097622,314.9877127337454,4021100
2024-05-24,309.3918151855469,311.71392152276877,308.7446784143287,310.61949306258504,2736900
2024-05-28,312.81787109375,314.997201865767,308.8017720707846,309.66780613740116,3807500
2024-05-29,310.1626892089844,311.0001740296502,308.126075754817,310.7527274118089,3506200
2024-05-30,315.4524841308594,316.44912209887843,312.1271893700504,312.6542707426731,2921800
2024-05-31,320.90521240234375,321.19271931868286,314.3313028600757,316.28620951551306,5557800
2024-06-03,314.3313293457031,319.7361147381015,313.21010784287506,319.7361147381015,3712800
2024-06-04,314.5708923339844,316.0370870179392,311.5426673227253,313.2388441547727,4296800
2024-06-05,316.48748779296875,316.67912983447576,312.32847823263944,314.80087405608595,2422400
2024-06-06,317.2924499511719,318.0015810598297,314.37921606017284,316.0466450972576,2979400
2024-06-07,313.39215087890625,315.107512252721,310.42142163649766,312.1463753473785,2583800
2024-06-10,318.6915588378906,318.9215409838502,312.8842756929544,313.36342466032494,2691000
2024-06-11,321.71978759765625,322.2851798763986,316.5449845382952,319.1132160147654,3250900
2024-06-12,329.7886657714844,335.87383426985605,328.7536876233204,332.55813159948616,4793000
2024-06-13,333.3727111816406,334.1489302180002,328.76330016525975,331.4752706233539,3380800
2024-06-14,332.37603759765625,333.0085177162356,327.4408092991932,330.43069404525505,2589000
2024-06-17,334.9251708984375,336.06554792578385,330.03784495908684,330.50743089354086,2680200
2024-06-18,339.11285400390625,341.54693872074563,337.42624043697134,338.2312363629571,3655000
2024-06-20,338.7008361816406,340.1191277025911,335.01138315550406,337.3208847679951,3661200
2024-06-21,340.96240234375,341.3936481235634,337.36878499508094,340.04244449107193,6596400
2024-06-24,336.2475891113281,342.77359580611244,336.09425793005653,342.01653223762537,4278900
2024-06-25,324.21136474609375,332.5197914745589,320.57940737985103,331.8681558968228,4879600
2024-06-26,327.56536865234375,328.3032474473742,323.4542628059088,325.30377058424943,3365300
2024-06-27,327.2491455078125,330.382798405401,324.33594090369513,328.53326120402176,2912600
2024-06-28,329.88446044921875,330.88109845594926,326.5016700247189,327.11499471960883,6344000
2024-07-01,322.1701965332031,330.27738916224854,321.4035698559871,329.5778503616455,2643600
2024-07-02,321.0010681152344,322.78348827929216,318.6628187584535,321.02981588417293,2995900
2024-07-03,319.7265625,325.47635056730184,319.6307268498914,322.9464297801205,1733000
2024-07-05,320.6272888183594,321.91143370106573,317.80991998289403,318.8352764787394,3437500
2024-07-08,325.43798828125,326.5496174079017,321.0298118810609,321.8731187526541,3534500
2024-07-09,323.03265380859375,325.1121732365707,321.5760514466709,324.8151032104215,2254300
