Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2024-05-16,110.37994384765625,111.71907466728297,110.07091200976146,111.00736692853305,15745200
2024-05-17,112.0374755859375,112.2154043221371,110.46423090075085,110.7826293158141,15104500
2024-05-20,111.12911224365234,112.2715884776192,111.01674221708814,112.12175939400538,11551300
2024-05-21,110.36121368408203,111.85954016505741,110.29566212380762,110.87626676094118,14495000
2024-05-22,108.14183044433594,109.99600741024943,107.65486982580367,109.99600741024943,17879300
2024-05-23,106.2969970703125,110.04281664814103,106.15652740722716,108.25418437032765,15979800
2024-05-24,106.21272277832031,107.76724148420136,105.85687245575474,107.5424871435009,12212900
2024-05-28,107.56121826171875,107.79533200386169,105.88496301062519,106.3063648886487,13978300
2024-05-29,106.40937042236328,107.27091438216762,105.64147767060885,107.25218128272401,13902000
2024-05-30,106.74650573730469,106.87760886854771,105.78195820976607,106.07225697972065,14683700
2024-05-31,109.8087158203125,110.0240964703647,106.74650395484873,106.86824767795925,29037400
2024-06-03,107.1772689819336,108.9659014127667,106.53111990779634,108.9097164005594,19589300
2024-06-04,105.51038360595703,105.90369299301118,103.87158734864674,105.81941547203587,19412200
2024-06-05,105.93179321289062,105.99734477775132,104.39600756936743,105.71640541715708,14863500
2024-06-06,106.727783203125,106.79333477084865,104.98597623837065,105.58530689886838,13154100
2024-06-07,105.58529663085938,107.59867622169506,105.51037851943657,106.55921064560279,13289200
2024-06-10,105.89433288574219,106.96189101186721,105.53847541397742,105.87559978481528,15239700
2024-06-11,105.04216003417969,105.5103875537878,104.23680812888698,105.34182536094548,12462400
2024-06-12,103.88095092773438,106.10035179620077,103.51573405811875,106.10035179620077,13606800
2024-06-13,103.0475082397461,103.81540104787005,102.7478429279071,103.79666794705129,14466900
2024-06-14,102.1766128540039,103.2067119980012,101.68965221856763,103.02878324913965,13313400
2024-06-17,101.47425842285156,102.50435743354724,101.30569624694978,102.23278464211747,21147900
2024-06-18,102.429443359375,103.6842967504422,101.88630489969782,102.10168554459105,17762900
2024-06-20,104.63948059082031,105.46356557037393,102.6261008947537,102.92577335610754,17433200
2024-06-21,103.72176361083984,105.53848155429242,103.72176361083984,104.78932179907628,52212500
2024-06-24,106.80268859863281,107.25218296816618,104.5458287673444,104.5458287673444,16266700
2024-06-25,107.10236358642578,107.27092577640248,106.25018608582562,106.85888327988505,14188900
2024-06-26,107.13982391357422,107.52376676248858,105.95052201893564,107.12109081191893,15771800
2024-06-27,107.59867858886719,107.6829561076337,106.85887829760617,107.6829561076337,16812700
2024-06-28,107.80469512939453,109.13445942782349,107.39265267004532,108.49766978364025,24565900
2024-07-01,107.65486145019531,109.32175013750224,107.25218553121566,108.3572026708865,11972900
2024-07-02,106.92443084716797,108.5725936270179,106.27827461899028,108.53513457013669,13326700
2024-07-03,107.46756744384766,108.31037829154302,107.00869939396776,107.00869939396776,7732900
2024-07-05,106.16590118408203,107.34582928732328,105.52911152671727,107.32710333177623,12631000
2024-07-08,105.05152130126953,106.33446721251785,104.33981350677827,105.24817599226358,13350500
2024-07-09,103.89031982421875,105.38864639296472,103.59065451046955,104.04951545927011,11727000
2024-07-10,104.80802917480469,104.84548822761204,103.40334684515621,103.87157428837237,10004100
2024-07-11,106.05352020263672,106.11907176157021,103.88094506351838,104.34917252578168,13082700
2024-07-12,106.07225799560547,106.8963429936939,105.47292734858743,106.74650675964696,11684900
2024-07-15,107.88897705078125,108.77861356574759,106.36255801020903,107.00870708606926,13032500
2024-07-16,108.6662368774414,108.95653563535075,106.48429505651212,107.08362567292242,13614100
2024-07-17,110.16455841064453,110.67024493486299,109.14382595692176,109.32174753694709,13602800
2024-07-18,111.2508544921875,112.29967949735102,109.97727514770222,110.45486204344581,13033600
