Price,Close,High,Low,Open,Volume
Ticker,SHOP,SHOP,SHOP,SHOP,SHOP
Date,,,,,
2025-07-01,112.66999816894531,116.12000274658203,112.06999969482422,114.30999755859375,5537900
2025-07-02,114.7699966430664,117.17500305175781,111.77999877929688,111.80000305175781,6726100
2025-07-03,116.5199966430664,117.45999908447266,114.97000122070312,114.9800033569336,3773600
2025-07-07,116.66000366210938,117.06999969482422,114.88999938964844,115.94999694824219,5420500
2025-07-08,112.4800033569336,118.3499984741211,111.33000183105469,117.41400146484375,7718000
2025-07-09,114.31999969482422,114.93000030517578,112.58999633789062,113.16999816894531,6125800
2025-07-10,115.16000366210938,116.54000091552734,112.36000061035156,114.45999908447266,6836200
2025-07-11,112.11000061035156,116.30999755859375,111.38999938964844,114.02999877929688,5582800
2025-07-14,116.73999786376953,118.45999908447266,111.7249984741211,112.9000015258789,10225400
2025-07-15,115.05000305175781,118.6500015258789,114.6500015258789,116.98999786376953,5440500
2025-07-16,120.0,120.18000030517578,112.58999633789062,114.29000091552734,12714100
2025-07-17,126.75,127.33999633789062,119.66999816894531,120.04000091552734,13380600
2025-07-18,127.06999969482422,129.0800018310547,125.88999938964844,127.83000183105469,8473600
2025-07-21,128.42999267578125,129.2899932861328,126.5999984741211,126.83499908447266,6419800
2025-07-22,123.70999908447266,127.23799896240234,122.54000091552734,126.59500122070312,9045400
2025-07-23,122.20999908447266,123.11000061035156,118.87000274658203,122.80999755859375,8523600
2025-07-24,122.08000183105469,122.8499984741211,120.70999908447266,122.8499984741211,4313100
2025-07-25,124.43000030517578,125.56999969482422,121.5999984741211,122.19000244140625,6935300
2025-07-28,126.83999633789062,128.14999389648438,125.80999755859375,126.0999984741211,5335800
2025-07-29,124.8499984741211,127.62000274658203,123.27999877929688,126.59500122070312,5911800
2025-07-30,123.01000213623047,125.94000244140625,122.16000366210938,123.97000122070312,6702700
2025-07-31,122.20999908447266,126.58000183105469,122.05000305175781,125.3499984741211,8493500
2025-08-01,118.5999984741211,120.19000244140625,115.94999694824219,118.05000305175781,9886700
2025-08-04,125.20999908447266,125.48999786376953,120.2300033569336,120.2300033569336,6881700
2025-08-05,127.0,127.2300033569336,123.0,125.0,9223300
2025-08-06,154.89999389648438,156.38999938964844,145.11000061035156,145.16000366210938,38572100
2025-08-07,151.07000732421875,156.85000610351562,147.5,154.4600067138672,15934800
2025-08-08,149.61000061035156,150.72999572753906,148.02999877929688,150.49000549316406,9571000
2025-08-11,147.5,153.32000732421875,147.22000122070312,150.7550048828125,10131000
2025-08-12,149.3000030517578,150.6999969482422,147.0800018310547,148.02499389648438,7173100
2025-08-13,150.08999633789062,151.64999389648438,148.38999938964844,150.2100067138672,6660700
2025-08-14,144.27000427246094,148.5,142.92999267578125,148.375,9499700
2025-08-15,141.47000122070312,145.22000122070312,140.6999969482422,144.27000427246094,7198800
2025-08-18,143.11000061035156,143.3699951171875,140.07000732421875,141.38499450683594,4435700
2025-08-19,139.25,144.41000366210938,138.97000122070312,143.0,6339500
2025-08-20,137.2899932861328,138.52999877929688,134.75,137.9199981689453,7256000
2025-08-21,136.67999267578125,137.9600067138672,134.8800048828125,136.25999450683594,4420400
2025-08-22,142.11000061035156,143.1699981689453,135.38499450683594,136.77999877929688,7649800
2025-08-25,140.52999877929688,142.8560028076172,139.5,140.75,4945000
2025-08-26,140.85000610351562,141.17999267578125,139.1199951171875,140.88999938964844,4409000
2025-08-27,139.88999938964844,142.5,137.27999877929688,142.0800018310547,5272200
2025-08-28,141.5399932861328,144.1999969482422,140.58999633789062,140.82000732421875,6339600
2025-08-29,141.27999877929688,143.08999633789062,139.91000366210938,141.42999267578125,4617000
2025-09-02,139.0399932861328,139.32000732421875,133.39999389648438,136.9499969482422,5082300
2025-09-03,140.22000122070312,140.98699951171875,138.11300659179688,140.0,3531500
2025-09-04,145.14999389648438,145.61000061035156,140.072998046875,140.90499877929688,6538700
2025-09-05,146.82000732421875,147.97000122070312,144.9199981689453,146.58999633789062,5727700
2025-09-08,146.22000122070312,148.57000732421875,144.0780029296875,147.55999755859375,5782100
2025-09-09,143.44000244140625,146.61000061035156,142.85000610351562,145.02499389648438,5748600
2025-09-10,142.1999969482422,145.4600067138672,141.3000030517578,144.5500030517578,7362100
2025-09-11,145.02999877929688,146.99000549316406,142.0500030517578,142.0500030517578,6051900
2025-09-12,143.3800048828125,144.6199951171875,141.52000427246094,143.52000427246094,4911600
2025-09-15,147.88999938964844,148.1999969482422,142.88999938964844,144.24000549316406,6714600
2025-09-16,147.2100067138672,150.1699981689453,145.1999969482422,149.08999633789062,5453800
2025-09-17,147.8699951171875,149.10000610351562,145.3699951171875,148.47000122070312,4291200
2025-09-18,152.11000061035156,152.92999267578125,148.19000244140625,149.5,6485800
2025-09-19,153.3000030517578,155.1300048828125,151.75,151.9600067138672,8812900
2025-09-22,157.1199951171875,159.00999450683594,151.80999755859375,153.17999267578125,7020700
2025-09-23,149.94000244140625,157.19000244140625,149.10000610351562,157.10000610351562,7376000
2025-09-24,148.8300018310547,152.30999755859375,148.27999877929688,150.7899932861328,5559500
2025-09-25,143.4499969482422,145.13999938964844,142.08999633789062,145.0,8511200
2025-09-26,140.25,144.0,139.5,143.1199951171875,7259500
2025-09-29,149.0,149.5800018310547,140.91000366210938,141.75,14702700
2025-09-30,148.61000061035156,151.77999877929688,145.47000122070312,147.99000549316406,9254600
2025-10-01,149.57000732421875,151.74400329589844,146.10000610351562,146.27999877929688,6733300
2025-10-02,151.3000030517578,151.47000122070312,147.85499572753906,151.25,7272300
2025-10-03,161.13999938964844,162.60000610351562,152.5,152.8800048828125,15740200
2025-10-06,164.5,169.69000244140625,162.80999755859375,166.5500030517578,11317600
2025-10-07,161.27999877929688,168.3979949951172,160.74000549316406,165.0,6971900
2025-10-08,166.42999267578125,167.5399932861328,163.0,163.0,7366600
2025-10-09,163.8699951171875,167.5989990234375,162.47000122070312,166.69500732421875,7050500
2025-10-10,151.02000427246094,165.25399780273438,150.6020050048828,164.00999450683594,12431500
2025-10-13,153.66000366210938,154.9720001220703,151.10000610351562,154.11500549316406,7986400
2025-10-14,152.8800048828125,154.9199981689453,145.16000366210938,148.4199981689453,8698200
2025-10-15,156.2100067138672,158.6649932861328,154.24400329589844,154.9499969482422,6010000
2025-10-16,156.57000732421875,164.9499969482422,155.88999938964844,160.75999450683594,8937700
2025-10-17,157.75999450683594,158.90699768066406,154.52999877929688,155.8800048828125,7595100
2025-10-20,164.7100067138672,165.0800018310547,159.4250030517578,159.4250030517578,6266200
2025-10-21,162.63999938964844,165.1999969482422,161.11000061035156,164.7899932861328,6138500
2025-10-22,162.00999450683594,163.35000610351562,159.23399353027344,162.49000549316406,6207000
2025-10-23,167.02999877929688,167.6699981689453,162.14100646972656,162.5,6171500
2025-10-24,172.9499969482422,174.74000549316406,168.5,168.5,8382300
2025-10-27,175.05999755859375,176.8800048828125,172.63499450683594,174.77999877929688,9929500
2025-10-28,178.9600067138672,179.60000610351562,172.8000030517578,173.4250030517578,7167800
2025-10-29,179.00999450683594,182.19000244140625,176.3000030517578,180.0,10790100
2025-10-30,173.61000061035156,178.22999572753906,172.69000244140625,176.9250030517578,9394500
2025-10-31,173.86000061035156,179.75999450683594,171.69000244140625,178.9499969482422,10953300
2025-11-03,172.94000244140625,178.375,169.72000122070312,175.5,14631500
2025-11-04,160.94000244140625,174.13400268554688,160.4600067138672,163.06500244140625,16121600
2025-11-05,162.9199981689453,166.68499755859375,156.2310028076172,159.55999755859375,9710600
2025-11-06,156.0500030517578,163.08999633789062,155.33999633789062,162.4250030517578,10030000
2025-11-07,152.41000366210938,154.0,146.8800048828125,153.94500732421875,11322800
2025-11-10,158.8800048828125,159.6300048828125,155.75,157.11500549316406,10493300
2025-11-11,158.94000244140625,160.0399932861328,155.52000427246094,156.8300018310547,5344200
2025-11-12,156.58999633789062,160.49400329589844,156.22999572753906,160.11000061035156,6585700
2025-11-13,146.33999633789062,155.0,143.8000030517578,153.83999633789062,11351200
2025-11-14,146.0399932861328,149.72000122070312,141.0,142.3300018310547,8384300
2025-11-17,139.92999267578125,145.3000030517578,138.7100067138672,143.64999389648438,12531800
2025-11-18,140.4499969482422,142.4199981689453,136.17999267578125,137.5,12873800
2025-11-19,146.0,147.0500030517578,140.61300659179688,141.6999969482422,9572000
2025-11-20,144.55999755859375,154.8699951171875,143.80999755859375,154.48500061035156,13447300
2025-11-21,147.8000030517578,149.8800048828125,142.42999267578125,144.57000732421875,10260300
2025-11-24,155.30999755859375,156.35000610351562,147.0800018310547,149.02000427246094,9141900
2025-11-25,157.3699951171875,158.30999755859375,151.3800048828125,154.5800018310547,8587900
2025-11-26,159.33999633789062,160.5800018310547,157.4199981689453,158.32000732421875,5239100
2025-11-28,158.63999938964844,161.0,157.85000610351562,160.0,4200900
2025-12-01,149.27999877929688,155.55999755859375,149.08999633789062,152.8000030517578,11746800
2025-12-02,156.8300018310547,158.74000549316406,152.1300048828125,153.4600067138672,8429300
2025-12-03,160.0,161.22500610351562,155.1999969482422,156.0,5579800
2025-12-04,162.30999755859375,163.25999450683594,157.8699951171875,160.33999633789062,5415000
2025-12-05,161.0800018310547,163.14999389648438,158.94000244140625,161.9499969482422,5440100
2025-12-08,158.41000366210938,163.77000427246094,156.30999755859375,161.91000366210938,4834500
