current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
247756281041,183975091533,66965893239,30150000000.0,87659749676,71951751196,55242330120,764193226305,692386461616,1263350828196,228624930492,163376913735,1566961394,43905375019,666636973885,314978068440,596713854311,615909682576,563812485011,482123695855,465238302841,133785986721,98574182170,65244411840,51635228944,68541574881,46938953226,39191804755,50294748652,107621002516,62057250549,29192552064,-171652982813,,,,2016
200454948346,247756281041,38435919722,150000000.0,84702301164,87659749676,69580597077,803546715030,764193226305,1265303707111,301288814096,228624930492,50479798875,118112619858,632988001679,350276176178,632315705432,671307465183,615909682576,527849875611,482123695855,143457589572,133785986721,69102417737,65244411840,74355171835,68541574881,44865632560,36285020200,90616425811,50786462604,26407650064,-70362899666,,,,2017
232279779073,200454948346,81007503427,600000000.0,74557070921,84702301164,62564150008,815753383413,803546715030,1306846596555,222738283464,301288814096,52758084395,68441321541,685801934425,342612592077,621044662130,576027307973,671307465183,516340871574,527849875611,59686436399,143457589572,58941204135,69102417737,745232264,74355171835,-9862083562,-4346817131,52203481851,49594453510,18945055171,-69794427543,,,,2018
219605708500,232279779073,65339119902,110000000.0,81752855924,74557070921,62332002954,869731980243,815753383413,1346969001800,264390829931,222738283464,41688876938,92294895289,711766435543,356640859781,635202566257,595485609978,576027307973,494931053730,516340871574,100554556248,59686436399,52495918377,58941204135,48058637871,745232264,26713143596,18557380121,66444296854,51151025858,21550858276,-44451299632,,,,2019
205336191126,219605708500,57689287197,110000000.0,82117655701,81752855924,55605134856,879800243784,869731980243,1349298506487,306635867484,264390829931,32644605844,106302981705,706380743211,362447944870,642917763276,543151580297,595485609978,431924448998,494931053730,111227131299,100554556248,49548525576,52495918377,61678605723,48058637871,26114672820,13703733291,92788355609,55560718896,19826675810,-46482085943,,,,2020
219447748602,205336191126,33173374378,610000000.0,95132716907,82117655701,79697830416,926276846817,879800243784,1412331190231,343942387420,306635867484,80015153931,142687882311,756248687736,380036981115,656082502495,568987710995,543151580297,463152693360,431924448998,105835017635,111227131299,53163618078,49548525576,52671399557,61678605723,21877311653,20335297394,32722226100,60587610358,19362641444,-106528168504,,,,2021
283443135474,219447748602,49803946659,0.0,94983241505,95132716907,119910372848,910796378163,926276846817,1452791372545,290168489932,343942387420,28005670634,97778672017,765292464745,409855943065,687498907800,721115587886,568987710995,594612984631,463152693360,126502603255,105835017635,55404156723,53163618078,71098446532,52671399557,37802018416,30182787524,80929477366,65529224761,23927624007,-41200524166,,,,2022
318200836488,283443135474,81715586502,0.0,126907544788,94983241505,95422467719,916773198377,910796378163,1520485305476,405727399602,290168489932,63560765900,49979069562,1520485305476,426361322519,706001382639,824722084,10753975483,671705670638,594612984631,152023773276,126502603255,67322658335,55404156723,84701114941,71098446532,11257011789,33807860692,120166710610,3887974500,29562248205,-33076958234,,,,2023
317873666526,318200836488,100862919451,,114919470366,126907544788,85644540020,886148410841,916773198377,1485067226446,311290002411,405727399602,50344748193,39958827220,1485067226446,476524498317,756213299450,6022957232,824722084,621557396165,671705670638,169229127166,152023773276,65299002592,67322658335,103930124574,84701114941,69234235,66099929851,126119025406,0,28762027176,-40005931170,,,,2024
312899297338,317873666526,82294593284,10000000000.0,117099297646,114919470366,82929595314,841789623885,886148410841,1446731199428,343558672864,311290002411,47901107200,116964762717,660466231983,506699944598,786264967445,2708513822,6022957232,546559807258,621557396165,130366908166,169229127166,53783440025,65299002592,76583468141,103930124574,10003531952,40803560450,93852723445,0,24630129428,-49111372952,,,,2025
