current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,short_term_investments,long_term_debt,roe,debt_ratio,opm,year
253630144606,225993622152,21615715835,141865368650,116509723801,75725271990,371957092607,378634934560,728757944901,336257463554,324115107717,214428889019,408848239358,146182823451,319909705543,678079933020,714649868649,604195297495,635297729893,73884635525,79352138756,69420176510,65196592902,4464459015,14155545854,5663699842,1419328969,-10011054240,2312286955.0,6083176369.0,16271106739,1000000000,10000000000,,,,2016
278689502145,253630144606,16938713859,168704942142,153214247975,81034336069,376606490671,371957092607,756774591469,292990342349,336257463554,139127904135,438805343651,144555386522,317969247818,142256903604,144106774147,687351369868,604195297495,74633031471,73884635525,68666983523,69420176510,5966047948,4464459015,-1780905149,-2087995661,4514660935,38525911757.0,5504457806.0,-24556366871,5418110968,10000000000,,,,2017
295303716173,278689502145,13120111902,185170145532,168704942142,82881118630,381669909643,376606490671,778631600959,370893169669,292990342349,225024266836,478307703529,127074125086,300323897430,124553208554,142256903604,665784063379,687351369868,65646660476,74633031471,60414313666,68666983523,5232346810,5966047948,-13095177177,-14444780541,-17987477246,9010614184.0,7656991194.0,-28843635401,9909454075,7600000000,,,,2018
304053028870,295303716173,27712063393,197253512056,185170145532,70497173959,375400877816,381669909643,780849822476,273112730023,370893169669,109589472245,477125356781,130197750614,303724465695,127676834082,124553208554,605392389189,665784063379,62911707610,65646660476,51488162382,60414313666,11423545228,5232346810,2915913513,3604463098,25541035645,9839975426.0,8853519431.0,-2275925327,5456110528,10000000000,,,,2019
305742723154,304053028870,40565758935,165939759821,197253512056,93535864383,366245168033,375400877816,790379091642,277617259789,273112730184,70718948710,481494842226,135821284615,308884249416,133300368083,127676834082,634594295702,605392389189,73336494012,62911707610,59559802394,51488162382,13776691618,11423545228,5007072044,4818812413,57664627757,10944915220.0,7441914706.0,-7749831896,431993359,27000000000,,,,2020
358603605679,305742723154,23654942533,166122017300,153031534540,141819007105,362399126172,366245168033,837942610833,367087635956,277617259789,249851474843,514885050517,149338457385,323057560316,932362520580,707930789714,853019534219,634594295702,79342986361,73336494012,58940317249,59559802394,20402669112,13776691618,19710708068,14946262435,9620953048,,,-6529712550,35022943816,79982567684,,,,2021
360680352497,358603605679,39456657378,156878978746,166122017300,133624760078,372443557494,362399126172,839513249151,321654655572,367087635956,572875224388,494610873687,170001866889,344902375464,1164706090212,932362520580,1068497385360,853019534219,96208704852,79342986361,64717827610,58940317249,31490877242,20402669112,27728684638,24221646869,50573216276,,,-10623162097,6348924174,106873600000,,,,2022
433757560045,360680352497,56717295702,201766563248,156878978746,146070405150,388609946689,372443557494,928888144074,384892900350,321654655572,803674557738,928888144074,197135778768,371142176219,17398815628,40741145700,1129402833219,1068497385360,117328813969,96208704852,56572293390,64717827610,60756520579,31490877242,9052772002,34540066652,49223343515,,,-18650468575,1234131642,100986130000,,,,2023
702238015000,433757560000,140017884000,5161999000,4413573000,245056781000,437109267000,388609947000,1249038272000,606533501000,384892900000,518073357000,1249038272000,232430107000,500309704000,1577247371000,1246731647000,1421604248000,1129402833000,155643123000,117328814000,75901113000,56572293000,79742010000,60756521000,17560045000,61856554000,105677318000,,,-68764000000,0,77922773000,,,,2024
967476668000,702238015000,137563249000,389272508000,242744367000,335513063000,441733590000,437109267000,1525996520000,834541618000,606533501000,294972922000,1525996520000,319977184000,588671403000,2044552052000,1577247371000,1764125416000,1421604248000,280426636000,155643123000,129200030000,75901113000,151226606000,79742010000,38534832000,103889478000,86862549000,,,-35107758000,85500000000,72349000000,,,,2025
