ppe_net,prev_ppe_net,accounts_receivable,prev_accounts_receivable,current_assets,prev_current_assets,inventory,cash,total_assets,retained_earnings,total_equity,current_liabilities,prev_current_liabilities,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,long_term_debt,capex,short_term_investments,short_term_debt,roe,debt_ratio,opm,year
,,,,,,,31479562559,327512587532.0,-35796436938,147738601992.0,,,179773985540.0,268011410937,175637904859,,,,,,,37688491507.0,15274163282.0,,32594662746,44731184198,,8109368117,,-4489040233,0.0,,,,,2016
,,,,,,,49239307775,315265401377.0,43796229524,188389251853.0,,,126876149524.0,272687422531,268011410937,,,,,,,,,,42019907763,57148234755,,8073377960,,-15192458274,,,,,,2017
,,,,,,,11642312918,363289203845.0,63039615063,209328834044.0,,,153960369801.0,264029619691,272687422531,,,,,,,,,,43785719642,-35025792062,,9439824020,,-48035374868,,,,,,2018
,,,,,,,15355598503,450012280142.0,83699448160,247817462572.0,,,202194817570.0,259064128325,264029619691,,,,,,,,,,26551287475,58464104612,,7602627077,,-93892606712,,,,,,2019
,,,,,,,18536394225,549203147652.0,71046687177,227403564385.0,,,321799583267.0,118545864748,254580906403,,,,,,,,,,-8217719874,1572486285,,13468955836,,-84576838023,,,,,,2020
,,,,,,,119203187016,711899410354.0,214855707429,369635316368.0,,,342264093986.0,377294631076,118545864748,,,,,,,,,,145503481733,110703979209,,13326067315,,6947517717,,,,,,2021
,,,,,,,120982181388,833063199031.0,311292465054,484608319076.0,,,348454879955.0,437938720318,377294631076,,,,,,,,,,106171290850,100995569624,,15320589454,,-48396816601,,,,,,2022
,,,,,,,110639608016,,335192985694,,,,,284745246660,437938720318,,,,,,,28937462812.0,123884000542.0,,34000802285,886629703,,3043703577,,-1171928652,,,,,,2023
,,,,,,,250695295992,986824795276.0,421753870306,566590299600.0,,,986824795276.0,409393371588,284745246660,,,,,,,,,,106814110967,224672730163,,12691750392,,-40332274846,5144474150.0,,,,,2024
,,,,,,,164383610031,887892914256.0,444596307787,590456566398.0,,,887892914256.0,310692584812,409393371588,,,,,,,,,,35693416702,-30678160138,,0,,-53872736602,0.0,,,,,2025
