current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,long_term_debt,roe,debt_ratio,opm,year
,,268408116475,,,,,,2883847406229,,,822974206572,1066759835822,2060873199657,670580961669.0,603412768883.0,,,,,,,,,,149418660913,230113413112,-141719898276,,,,,2016
,,419205662651,,,,,,3294095985833,,,883598310539,1429153613949,2410497675294,949079965214.0,670580961669.0,,,,,,,,,,377725080593,485980718131,-233633217523,,,,,2017
,,410547608852,,,,,,3503108204930,,,907848812346,1665189222641,2595259392584,982074959799.0,949079965214.0,,,,,,,,,,237476360558,364786083261,-175836253602,,,,,2018
,,546137583490,,,,,,3859646629058,,,986733418125,1963727518268,2872913210933,1128459877886.0,982074959799.0,,,,,,,,,,301442694249,473993887712,-251440600404,,,,,2019
,,684293887404,,,,,,5020121254019,,,1592540899881,2475296679338,3427580354138,1849115532111.0,1128459877886.0,,,,,,,,,,525702909620,350746671970,-471983443239,,,,,2020
,,1188325852061,,,,,,5674122532472,,,1623747845677,3052474447456,4050374686795,1911601263030.0,1849115532111.0,,,,,,,756857107226.0,718577359816.0,,595779438812,911159432327,-355825397294,,,,,2021
,,551186669819,,,,,,5891652311251,,,1617448041462,3485109538439,4274204269789,2283967480394.0,1893401217210.0,,,,,,,647198174586.0,744176850301.0,,542566233270,863531984,-297051208427,,,,,2022
,,564611719562,,,,,,19917534297169,,,2791739989934,3963573529273,17125794307235,2176431531380.0,2283967480394.0,,,,,,,651481422157.0,647198174586.0,,539706505110,537158606192,-138864903398,,,,,2023
,,996430679072,,,,,,21055222437706,,,3475160069015,3744280141368,17580062368691,,,,,,,,,492015534847.0,651481422157.0,,418883310404,901870301325,-169388988171,,,,,2024
,,1119206211717,,,,,,22334900189800,,,4982370370686,4407125786902,17352529819114,4162495108881.0,3557303554371.0,,,,,,,1168471345595.0,492015534847.0,,1031483789240,646050776661,-860422441486,,,,,2025
