date,name,position,change_dir,shares_before,shares_after,change_amount
2024-04-23,남궁홍,,,0,0,0
2024-04-29,김대원,,,0,0,0
2024-05-27,남궁홍,,,0,0,0
2024-06-12,최춘기,,,0,0,0
2024-06-17,남궁홍,,,0,0,0
2024-08-09,남궁홍,,,0,0,0
2024-09-13,남궁홍,,,0,0,0
2024-09-25,남궁홍,,,0,0,0
2024-10-02,남궁홍,,,0,0,0
2024-10-02,최춘기,,,0,0,0
2024-10-24,남궁홍,,,0,0,0
2024-10-30,정용석,,,0,0,0
2024-10-31,나창흠,,,0,0,0
2024-11-04,김동현,,,0,0,0
2024-11-18,남궁홍,,,0,0,0
2024-12-05,이동헌,,,0,0,0
2024-12-06,조유식,,,0,0,0
2024-12-09,윤형식,,,0,0,0
2024-12-09,이정은,,,0,0,0
2024-12-27,남궁홍,,,0,0,0
2025-01-02,남궁홍,,,0,0,0
2025-01-07,양승찬,,,0,0,0
2025-02-04,이상윤,,,0,0,0
2025-02-06,양승찬,,,0,0,0
2025-04-02,남궁홍,,,0,0,0
2025-04-22,남궁홍,,,0,0,0
2025-12-01,윤혜연,,,0,0,0
2025-12-01,안성찬,,,0,0,0
2025-12-08,고제황,,,0,0,0
2025-12-15,이상윤,,,0,0,0
2026-01-08,남궁홍,,,0,0,0
2026-04-30,문승욱,,,0,0,0
2026-05-12,남궁홍,,,0,0,0
2026-05-14,문승욱,,,0,0,0
2024-08-09,남궁홍,,,0,0,0
2024-09-13,남궁홍,,,0,0,0
2024-09-25,남궁홍,,,0,0,0
2024-10-02,남궁홍,,,0,0,0
2024-10-02,최춘기,,,0,0,0
2024-10-24,남궁홍,,,0,0,0
2024-10-30,정용석,,,0,0,0
2024-10-31,나창흠,,,0,0,0
2024-11-04,김동현,,,0,0,0
2024-11-18,남궁홍,,,0,0,0
2024-12-05,이동헌,,,0,0,0
2024-12-06,조유식,,,0,0,0
2024-12-09,윤형식,,,0,0,0
2024-12-09,이정은,,,0,0,0
2024-12-27,남궁홍,,,0,0,0
2025-01-02,남궁홍,,,0,0,0
2025-01-07,양승찬,,,0,0,0
2025-02-04,이상윤,,,0,0,0
2025-02-06,양승찬,,,0,0,0
2025-04-02,남궁홍,,,0,0,0
2025-04-22,남궁홍,,,0,0,0
2025-12-01,윤혜연,,,0,0,0
2025-12-01,안성찬,,,0,0,0
2025-12-08,고제황,,,0,0,0
2025-12-15,이상윤,,,0,0,0
2026-01-08,남궁홍,,,0,0,0
2026-04-30,문승욱,,,0,0,0
2026-05-12,남궁홍,,,0,0,0
2026-05-14,문승욱,,,0,0,0
