current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year
,,144829329639,144970886049,,,,,,2360802861680,,,,,465295073708,1543826676323,1895507787972,983556873665.0,838297603134.0,,,,,,,328762462165.0,237466377634.0,,271381872090,112022508831,,4650426171,-138664241049,,,,2016
,,187255812447,92695012937,,,,,,3526567160619,,,,,797327860834,1905908375074,2729239299785,1758721721721.0,983556873665.0,,,,,,,,,,444043111896,595173210397,,1496504052,-459622828394,,,,2017
,,185592882727,232653095174,,,,,,2941278714044,,,,,562307308920,2163816327128,2378971405124,,,,,,,,,,,,421467650710,352800469174,,964851916,68346555573,,,,2018
,,303443276788,676809612966,,,,,,3346377400385,,,,,834211969584,2382086225822,2512165430801,,,,,,,,,,,,359154722508,392249235729,,1946782552,-234237265934,,,,2019
,,157272936923,638038278271,,,,,,4081208896622,,,,,936521663466,2856767122938,3144687233156,,,,,,,,,,,,586612599330,707646022942,,959548219,-695571922714,,,,2020
,,255942400609,420420000000,,,,,,4581889369472,,,,,1430662643098,3071454121747,3151226726374,,,,,,,,,,,,395734616139,391086720594,,3004810684,-188080033146,,,,2021
,,285573838469,1088607617521,,,,,,4437632450781,,,,,1239083608249,3409408748470,3198548842532,,,,,,,,,,,,435990309263,736014155699,,2252422993,-392232507533,,,,2022
,,365199572306,1167466860880,,,,,,4393800423903,,,,,4393800423903,3472646963393,3253028540550,,,,,,,,,,,,213914315973,139905154853,,20067280000,112987657765,,,,2023
,,1260473495762,178293257125,,,,,,3953941191414,,,,,3953941191414,3473871298903,3063588634574,,,,,,,,,,,,94115833907,107041218268,,50041130000,1294118099209,,,,2024
,,503522487163,491465188172,,,,,,4333140469623,,,,,4333140469623,3669049319396,3370430829195,,,,,,,,,,,,347421554268,161967521188,,100465000,-832439281183,,,,2025
