current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,accounts_receivable,prev_accounts_receivable,capex,short_term_investments,roe,debt_ratio,opm,year
507458545965,453104620630,78280444266,162746110895,367079907063,255844141508,1144699985944,222832140138,149436906855,7870599208,99882352269,540148894700,416621672123,604551091244,883920424600,839686478174,-510232177375,-537082983390,373688247225,302603494784,-347794762083.0,-259039049984.0,25893485142,43564444800,27609294199,26125870870,15377371367.0,20582196237.0,4717136668.0,-26501740796,-12433416621,-155768240991,99620380993,,,,2016
518131857767,507458545965,91121303244,187015618326,396157723902,367079907063,1213524544321,268048604381,222832140138,5790172221,89936158180,581987524927,442013841909,631537019394,19061823719,6451654828,553325207648,510232177375,406982215392,373688247225,,,38957148643,25893485142,36132507834,35436336840,103938172740.0,,,169932628981,173238342535,-73004640674,135293026744,,,,2017
515665940560,518131857767,65333694953,189035191721,401129322098,396157723902,1207846351694,367400664611,268048604381,7498978258,199864885984,600036901763,422884202125,607809449931,8238959803,19061823719,621484738163,553325207648,409942687366,406982215392,,,24566167685,38957148643,-622522346,-15417244518,,40859740990.0,9595931673.0,178888186633,169932628981,-68619492620,56808458329,,,,2018
526256346628,515665940560,32094194148,177609255572,387214960894,401129322098,1245668149263,262080185563,367400664611,9414841787,89921320846,609748054792,445415030356,635920094471,6098695263,8238959803,635132493527,621484738163,478293427356,409942687366,,,44687096858,27596205973,23321673227,28865605844,,29094903425.0,10088046056.0,205735802170,178888186633,-85605118333,-219165374446,,,,2019
528351294969,526256346628,72299249872,173970642869,386161986677,387214960894,1366907921139,326750097396,262080185563,57052620048,89925922452,671659304534,452801592452,695248616605,14811940785,6098695263,608481968091,635132493527,446941721905,478293427356,,,16979724383,44687096858,13559332837,24148065662,,29521139474.0,10609839567.0,148886754181,205735802170,-127151664625,360352754076,,,,2020
524893678083,528351294969,75907306381,175051531630,387969441168,386161986677,1415179681074,460659801423,326750097396,56109217341,199877826445,712772241623,471052779970,702407439451,5734617704,14811940785,608229803554,608481968091,544745894616,446941721905,,,88902176601,16979724383,19934222266,30257002685,,29027823908.0,10248267081.0,160616636774,148886754181,-87683369363,306300000000,,,,2021
548968363658,520401448798,102951259956,208735653961,432708859350,387969441168,1563340613712,472831460366,460659801423,141741535848,91931262490,822117616379,504294308944,741222997333,4838479968,5734617704,641134291178,608402659519,638957559835,544573038651,,,95797148532,88729320636,38329656956,39163169338,118214603334.0,27878176438.0,8405545387.0,182901431780,160616636774,-106871719407,30051319177,,,,2022
574824299442,548968363658,111506188293,241545436655,517759387341,432708859350,1770310792992,667117310302,472831460366,113742200000,89942602779,1770310792992,618864080208,912281029374,35502421163,4838479968,687162023959,641134291178,688166720918,638957559835,,,122591949287,95797148532,1996359488,120002904220,136008810720.0,5835133738.0,13602903708.0,179527649846,182901431780,-165620549817,3000001188,,,,2023
612792473976,574824299442,102950420365,256352667768,656489764612,517759387341,1976977110511,629415583933,695532720108,206495492942,115000000000,1976977110511,635674486941,926984605142,5574125289,35502421163,688515743851,687162023959,734167552529,688166720918,414935699385.0,394001327793.0,147942198476,122591949287,33203971730,23346508507,51492294010.0,,,214725945977,179527649846,-265450884404,5076781766,,,,2024
732358000737,612792473976,168941641596,310876262897,825303367926,656489764612,2362799296077,588823499092,629415583933,70828808025,90946902845,2362799296077,833595362051,1134655756699,59064510012,5574125289,748359218860,688515743851,822531786469,734167552529,625749371094.0,586225354053.0,196782415375,147942198476,-1075779719,192908919078,149205466388.0,,,219496159724,214725945977,-247026350145,2877058268,,,,2025
