current_assets,prev_current_assets,cash,inventory,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,revenue,prev_revenue,capex,roe,debt_ratio,opm,year,sga_expense,prev_sga
264793797017,255672476955,61846768543,64402727717,10768655785,12747682792,319931294904,334116999508,657591755145,404329737089,424930736875,333979282919,37268292030,460665117685,57397222624,196926637460,641628964347,580733288487,123326976270,128554618582,45404003049.0,58451962578.0,32310582428,26377437554,111225861232,70299031098,327514329,118952568,-69209394538,,,,2016,,
302835744996,264793797017,73021605252,70232164330,125871524778,125274052465,305794447411,319931294904,667169454942,338250009493,404329737089,269273025597,48217935907,399569925236,102682742136,267599529706,637398524074,641628964347,147756041325,123326976270,71904939416.0,45404003049.0,57952530629,44996645918,81190641303,38697512138,785154565399,764955940617,-49350146015,,,,2017,,
363608168087,302835744996,85841971551,90567463040,150423969812,125871524778,324818994853,305794447411,760451747575,355804658245,338250009493,266613938225,80163244481,454557635269,141154291908,305894112306,674255871580,637398524074,152975290015,147756041325,,,61731289300,47958363786,62329884295,33473735744,827231161595,785154565399,-73501429978,,,,2018,,
410640426785,363608168087,114384211665,87571526761,151348778258,150423969812,351623571265,324818994853,840710797540,433155784082,355804658245,332146133922,22151909867,480348778356,193431903573,360362019184,688847602984,674255871580,186406572047,152975290015,104867455148.0,70984302815.0,88079477778,58693161574,108747151160,40329212930,481601013,378307965,-80140906446,,,,2019,81539116899.0,81990987200.0
527429646188,410640426785,201286539579,100427050145,159769117008,151348778258,373505027451,351623571265,960791826390,398740979533,433155784082,277492409820,90764259928,522783551618,272429222758,438008274772,718669864344,688847602984,219130935334,186406572047,126257657451.0,104867455148.0,121959653042,85257903462,130241209519,44437708361,169481376,481601013,-49462815797,,,,2020,92873277883.0,81539116899.0
690201851352,527429646188,231211989608,158457404722,220126400147,159769117008,448396899393,373505027451,1186189143728,458726304524,398740979533,285880903118,138179785614,625155643773,367863610135,561033499955,921113882147,718669864344,240170195014,219130935334,131814933901.0,126257657451.0,135796392250,102879224817,76098753709,47289191301,258732189,169481376,-96276916853,,,,2021,108355261113.0,92873277883.0
826408327642,690201851352,280458844748,205293875457,212322985491,220126400147,496314338721,448396899393,1374303530098,531371591554,458726304524,336916905291,112691007498,673516166268,521015824109,700787363830,1120425476950,921113882147,336789331357,240170195014,216308703354.0,131814933901.0,210963962073,156195316180,190056242655,48162569784,125722731,258732189,-147320572980,,,,2022,120480628003.0,108355261113.0
818373234035,826408327642,272560514431,213726792709,216946095653,212322985491,741627729204,496314338721,1606588027004,496221734476,531371591554,350143500568,234570880150,1606588027004,628992461223,835481646771,1009832300663,1120425476950,300092137327,336789331357,176174316058.0,216308703354.0,39408743578,123534360586,114685604318,287745350,190788454,125722731,-260654256749,,,,2023,123917821269.0,120480628003.0
1082970678911,818373234035,417387384045,230808121783,-19443507717,-164339165,879751904545,741627729204,2016989003189,722768727205,496221734476,523457945423,247369219949,996558402618,775554117471,1020430600571,1043686718432,1009832300663,364457457526,300092137327,208225729660.0,176174316058.0,58580683351,143484559745,226861923132,8059530308,117373152,190788454,-267472661689,,,,2024,,
1130911258220,1082970678911,371911660277,194271567269,-17736860797,-19443507717,784962881292,879751904545,2006130721478,579367200075,722768727205,349218723122,304175588224,904550189105,861609222716,1101580532373,883948554666,813270152388,310195979901,299542760633,172448889381.0,175412739519.0,54916149189,94092225845,191257331406,2591882417,143923725,117373152,-32797015301,,,,2025,,
