date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-02-13,0.0,1,0.5
2026-02-19,0.0,0,0.0
2026-02-20,0.0,0,0.0
2026-02-23,0.0,0,0.0
2026-02-24,0.0,0,0.0
2026-02-25,0.0,0,0.0
2026-02-26,0.0,0,0.0
2026-02-27,0.0,0,0.0
2026-03-03,0.0,0,0.0
2026-03-04,0.0,0,0.0
2026-03-05,0.0,0,0.0
2026-03-06,0.0,0,0.0
2026-03-09,0.0,0,0.0
2026-03-10,0.0,0,0.0
2026-03-11,0.0,0,0.0
2026-03-12,0.0,0,0.0
2026-03-13,0.0,0,0.0
2026-03-16,0.0,0,0.0
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,0.0,0,0.0
2026-03-20,0.0,0,0.0
2026-03-23,5.0,0,2.5
2026-03-24,0.0,0,0.0
2026-03-25,0.0,0,0.0
2026-03-26,1.001,0,0.5
2026-03-27,0.0,0,0.0
2026-03-30,0.865,0,0.432
2026-03-31,0.0,0,0.0
2026-04-01,0.0,0,0.0
2026-04-02,1.042,1,1.021
2026-04-03,0.0,0,0.0
2026-04-06,0.501,0,0.25
2026-04-07,0.529,0,0.264
2026-04-08,0.0,0,0.0
2026-04-09,0.0,0,0.0
2026-04-10,0.0,0,0.0
2026-04-13,0.0,0,0.0
2026-04-14,0.0,0,0.0
2026-04-15,0.0,0,0.0
2026-04-16,1.476,0,0.738
2026-04-17,0.0,0,0.0
2026-04-20,0.0,0,0.0
2026-04-21,0.0,0,0.0
2026-04-22,0.0,1,0.5
2026-04-23,2.499,1,1.75
2026-04-24,0.0,1,0.5
2026-04-27,0.0,1,0.5
2026-04-28,0.387,1,0.694
2026-04-29,0.711,1,0.855
2026-04-30,0.509,0,0.254
2026-05-04,0.0,1,0.5
2026-05-06,1.043,0,0.522
2026-05-07,0.0,0,0.0
2026-05-08,1.639,0,0.82
2026-05-11,0.0,0,0.0
2026-05-12,0.644,0,0.322
2026-05-13,1.007,0,0.503
2026-05-14,0.645,0,0.322
2026-05-15,1.202,0,0.601
2026-05-18,0.0,1,0.5
2026-05-19,0.958,0,0.479
2026-07-21,0.958,0,0.479
