current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year
203083117304,206906369147,9898953018,50414691488,56907064983,10007642092,204837688810,207199205134,446434441102,314710513102,301447479713,146631250902,4912700009,346745170421,44421630476,99689270681,313183103649,356421040708,266427534186,366216292350,46755569463,-9795251642,31813720241,31260274256,14941849222,-41055525898,9511960442,10130283358,14741434006,2435772313,1666505551,,,,2016
178813210055,203083117304,13786560328,45087901777,50414691488,6269283661,198800974605,204837688810,423367351204,264035804240,314710513102,132101216781,16042600013,311495118299,52379590609,111872232905,325171694193,313183103649,283237005094,266427534186,41934689099,46755569463,22798520699,31813720241,19136168400,14941849222,9060263523,8144625909,24894223552,-12932979122,1097276592,,,,2017
130878178939,178813210055,6513154327,15133666684,45087901777,4505127013,191021066522,198800974605,365363944989,249197257745,264035804240,132169445138,2651993597,281397190324,27330114458,83966754665,211817909615,325171694193,207334181009,283237005094,4483728606,41934689099,27740376273,22798520699,-23256647667,19136168400,-30437870047,-29627450014,18979939700,2119576784,400000000,,,,2018
140742303601,130878178939,15083342049,21823374362,15133666684,4966764644,185652151513,191021066522,370163701176,233610239596,249197257745,99642934879,39801000000,300304115323,12806630704,69859585853,222852343658,211817909615,214342984793,207334181009,8509358865,4483728606,20971823248,27740376273,-12462464383,-23256647667,-15626567346,-14779295786,18112259097,-5845330369,14316177192,,,,2019
134944403542,140742303601,22006194065,20649015829,21823374362,4606777357,210047948071,185652151513,394304279849,221880526283,233610239596,99632187300,42038200000,296202814600,17918216862,98101465249,243441146415,222852343658,209367571487,214342984793,34073574928,8509358865,22807209568,20971823248,11266365360,-12462464383,4475952251,4562461317,3501812527,2731754435,52070420492,,,,2020
135163000368,134944403542,11024894569,18377521632,20649015829,3610561027,203135650425,210047948071,390239232336,249756301739,221880526283,123120043424,42345325000,325836039640,-16137367340,64403192696,234883716342,243441146415,241249518763,209367571487,-6365802421,34073574928,24245077624,22807209568,-30610880045,11266365360,-34484581408,-34587106118,-17568809782,-6620877157,500000000,,,,2021
202231017437,135163000368,23603234432,57179631584,18377521632,4352762291,196091976763,203135650425,449374334319,309895251954,249756301739,148359011881,40606997500,399835782572,-33972320377,49538551747,330197109400,234883716342,295265471475,241249518763,34931637925,-6365802421,26823583811,24245077624,8108054114,-30610880045,-20775115442,-19117755790,15242141340,-25183734648,23678533800,,,,2022
188080477207,202231017437,13872465813,40736744836,57179631584,5521344557,192076929964,196091976763,425449541558,321135148953,309895251954,125512711375,0,425449541558,-27177552013,73702999852,3026611380,1363980534,323957622027,295265471475,43441586613,34931637925,28354888447,26823583811,15086698166,8108054114,-3638866146,7463782053,43715223925,-15002307342,9218209660,,,,2023
247320460329,188080477207,17607751787,34896378249,40736744836,10805143058,222332441033,192076929964,524776405785,379905605041,321135148953,184674306469,124568814324,524776405785,-8461007967,116446559547,2458585765,3026611380,345623021093,323957622027,59118017516,43441586613,37190759142,28354888447,21927258374,15086698166,-23530262053,19585052430,39963225786,-211589828,2481055657,,,,2024
533696733320,247320460329,59951352513,110177925920,34896378249,8978325602,233192539926,222332441033,830757375864,615333434384,379905605041,268683648508,800000000,830757375864,56053873857,177646394222,774116878915,404741038609,653748884354,345623021093,120367994561,59118017516,44871376556,37190759142,75496618005,21927258374,14268679657,65196402061,112298107754,-87769290815,2010421940,,,,2025
