current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,short_term_investments,roe,debt_ratio,opm,year
27992354179,26350519424,7099109786,12987098609,12165521540,1053781659,9999081571,9415831697,82328277892,40923985972,33237015606,25077305993,12138551352,51391781371,-36477159882,30936496521,31453884900,39739564511,19344909762,29107378460,12108975138,10632186051,8266290931,7963344800,3842684207,2668841251,4986482464,4986482464,4123009859,1668020938.0,1004486159.0,-2069989049,303916000,,,,2016
28535299453,27992354179,5971918287,12012708113,12987098609,4015871764,9819085041,9999081571,85218107870,27952978951,40923985972,22977973224,10000000000,47596636815,-33876850963,37621471055,30179282151,31453884900,16967949902,19344909762,13211332249,12108975138,8186471089,8266290931,5024861160,3842684207,3265238605,3265238605,5686592023,1461517962.0,1129171891.0,-4526274657,8622980030,,,,2017
34511704829,28535299453,12107311485,4370056097,12012708113,4185570558,10253116466,9819085041,91614306833,28657679024,27952978951,15239414850,415000000,58547907469,-42254875532,33066399364,28192114567,30179282151,22028821120,16967949902,6163293447,13211332249,9031075234,8186471089,-2867781787,5024861160,-8340145633,-8340145633,696393768,2077287858.0,1258387892.0,-10312411038,33305071783,,,,2018
31927969486,34511704829,5838173228,6270651160,4370056097,9362943704,13150378419,10253116466,104000980844,58240104375,28657679024,16623764484,20152762489,70779180117,-53956869050,33221800727,32592805465,28192114567,28821363208,22028821120,3771442257,6163293447,12773310258,9031075234,-9001868001,-2867781787,-11358506283,-11358506283,-10031601170,3014977223.0,1975311262.0,-4287874453,21376858005,,,,2019
50000332127,31562691656,17025861874,3453668128,6270651160,8207822109,14070367032,13150378419,118299501230,50683520218,58350179612,14144099200,15344533194,67334002764,-55826019436,50965498466,49911171537,34533856427,35567716725,29476375212,14343454812,5057481215,11638069336,12614115304,2705385476,-7556634089,-1550365421,-1411519470,789650076,,,-3404937792,325884000,,,,2020
61916104123,50000332127,27942204755,4672077803,3453668128,7248544172,14662258103,14070367032,148100524868,44113256987,50683520218,14399679158,239290000,69685218393,-49591997223,78415306475,52141052240,49911171537,33020517552,35567716725,19120534688,14343454812,11875040666,11638069336,7245494022,2705385476,3584447420,3695895648,8832852384,,,-18331725195,6311792000,,,,2021
65775971470,61916104123,13715295703,6943603126,4672077803,8662126434,22737574149,14662258103,162014196691,50477611968,44113256987,14897641800,10002590000,66541800413,-46174076056,95472396278,49494570488,52141052240,32466806278,33020517552,17027764210,19120534688,12226638876,11875040666,4801125334,7245494022,2865361176,3368733524,1568239421,,,-22248446434,50110000000,,,,2022
66053868963,65775971470,12555532267,11193732817,6943603126,10314060277,49804077004,22737574149,190185191918,41542865065,50477611968,16288628243,5966517932,190185191918,-43630489393,103420278634,63166127548,49494570488,42994306447,32466806278,20171821101,17027764210,13492967297,12226638876,6678853804,4801125334,-516974791,5032187322,3712002546,,,-24648964912,40435020000,,,,2023
82988672851,66053868963,10892773445,12314268032,11193732817,12976614723,110758435283,49804077004,265459207084,73265138811,41542865065,12468831850,6772943833,265459207084,-48587065182,112086289530,71250184948,63166127548,52637869096,42994306447,18612315852,20171821101,18058393566,13492967297,553922286,6678853804,165825835,-4401591680,3943637732,,,-41581558258,25334409996,,,,2024
112804927069,82988672851,9476066958,13464164114,12314268032,16543678726,155683907016,110758435283,338455308703,109059245705,73265138811,33818571027,11289731291,338455308703,-48202120530,124394101537,87135395389,71250184948,69486516103,52637869096,17648879286,18612315852,23135592109,18058393566,-5486712823,553922286,-3209490253,-4104661336,-18848097423,,,-51161761458,2655901997,,,,2025
