date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio,personal_net_buy,inst_net_value,foreign_net_value
2016-06-09,40100.0,1254498.0,0.0,0.0,0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-10,39550.0,862665.0,0.0,0.0,0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-13,39400.0,1080761.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-14,38450.0,880773.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-15,37700.0,1057891.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-16,37800.0,578892.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-17,37800.0,533940.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-20,38650.0,761936.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-21,38400.0,422564.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-22,38700.0,559983.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2016-06-23,38800.0,726718.0,0.0,0.0,-0.0,0.0,-0.014842,0.0,ohlcv_proxy,,,,
2016-06-24,37050.0,1410049.0,0.0,0.0,-0.0,-0.1,-0.02127,0.0,ohlcv_proxy,,,,
2016-06-27,37200.0,1121351.0,0.0,0.0,-0.0,-0.1,-0.026204,0.0,ohlcv_proxy,,,,
2016-06-28,37300.0,993049.0,0.0,0.0,-0.0,-0.1,-0.027671,0.0,ohlcv_proxy,,,,
2016-06-29,37450.0,770879.0,0.0,0.0,-0.0,-0.1,-0.028397,0.0,ohlcv_proxy,,,,
2016-06-30,38000.0,757969.0,0.0,0.0,-0.0,-0.1,-0.03004,0.0,ohlcv_proxy,,,,
2016-07-01,38300.0,719641.0,0.0,0.0,0.0,-0.1,-0.022989,0.0,ohlcv_proxy,,,,
2016-07-04,38050.0,534322.0,0.0,0.0,-0.0,-0.1,-0.017612,0.0,ohlcv_proxy,,,,
2016-07-05,37900.0,386030.0,0.0,0.0,-0.0,-0.1,-0.011246,0.0,ohlcv_proxy,,,,
2016-07-06,37300.0,719469.0,0.0,0.0,-0.0,-0.1,-0.007907,0.0,ohlcv_proxy,,,,
2016-07-07,37500.0,449697.0,0.0,0.0,-0.0,-0.1,-0.005705,0.0,ohlcv_proxy,,,,
