current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
1056951250931,997823091034,179380603913,437937314130,222704200919,210204844440,169177643046,1092482544162,1132997955988,2481287283853,549356596010,634365756004,39908890721.0,59196050112,678899069365,1721188809543,1802388214488,2217015272133,2181623581013,1503710526572,1509622908285,713304745561,672000672728,623601861881,553712739885,89702883680,118287932843,233293199680,199229661284,220960820949,-134504675903,,,,2016
985853063106,1056951250931,155384211894,396283954583,223144624762,222704200919,172014293149,1122260575734,1092482544162,2449898372957,489271080948,549356596010,11727638631.0,56436163517,608800458106,1787713132125,1841097914851,2208260639714,2217015272133,1473891444468,1503710526572,734369195246,713304745561,637985219329,623601861881,96383975917,89702883680,119433709944,90685628838,103437685255,-79187475618,,,,2017
1053752881601,985853063106,167718554051,454326060636,196881151274,223144624762,202442162119,1157817535995,1122260575734,2532286534905,522231431608,489271080948,35214015724.0,53076659809,634536236222,1842485246371,1897750298683,2236436214583,2208260639714,1564692858541,1473891444468,671743356042,734369195246,583183360306,637985219329,88559995736,96383975917,112322316554,84301646697,146872696174,-128870981748,,,,2018
1078580682201,1053752881601,317796185342,273924243662,210608471651,196881151274,208388985969,1208287548782,1157817535995,2653049874906,584986895655,522231431608,81159565337.0,57683963224,712306478095,1878010502530,1940743396811,2343942951727,2236436214583,1626034453119,1564692858541,717908498608,671743356042,639092449787,583183360306,78816048821,88559995736,103491938775,71068947413,162459540125,-30736184916,,,,2019
1074436085893,1078580682201,321541825344,237162185828,211492570419,210608471651,228410803287,1271413955199,1208287548782,2725528184628,522145640326,584986895655,3313086305.0,68269577500,676564196659,2000730361274,2048963987969,2639795633339,2343942951727,1802599872535,1626034453119,837195760804,717908498608,676898269079,639092449787,160297491725,78816048821,190552283976,149048288404,231491673657,-132012401004,,,,2020
1088691509295,1074436085893,157475655585,244527972819,224004447811,211492570419,256007782597,1427516995561,1271413955199,2899907793800,537328993494,522145640326,,82215490675,699140508273,2083111995381,2200767285527,2662982988213,2639795633339,1844870906955,1802599872535,818112081258,837195760804,711972360363,676898269079,106139720895,160297491725,136816917866,99637362533,162684342404,-318880289115,,,,2021
1208524614820,1088691509295,127900573250,373268300000,279227304177,224004447811,296880553453,1527290891976,1427516995561,3034718535547,616485543701,537328993494,,20354830698,719378356883,2197469338759,2315340178664,3129065208087,2662982988213,2229502633084,1844870906955,899562575003,818112081258,787389718287,711972360363,112172856716,106139720895,158840599107,116033570018,159650440148,-106876589926,,,,2022
1419816691135,1208524614820,142899537581,530177502361,292382383365,279227304177,318234266905,1535128743343,1527290891976,3234751426458,696493722736,616485543701,21629136460.0,14269146595,793949665281,2316234373382,2440801761177,17636963989,57300423332,2375319699349,2229502633084,1035239667910,899562575003,823174924455,787389718287,212064743455,112172856716,59659187729,171469224876,327223955699,-267358587600,,,,2023
1743739590775,1419816691135,140894116584,751199120000,308271886119,292382383365,323189566831,1579766033199,1535128743343,3597461570702,678174791731,696493722736,27272821197.0,129181856550,924886441245,2437443898464,2672575129457,31486211230,17636963989,2473188669478,2375319699349,965542188520,1035239667910,802468256590,823174924455,163073931930,212064743455,60185592028,157630314203,272544275630,-381946565995,,,,2024
1960196420067,1743739590775,253539960716,745596630000,322700751452,308271886119,353314247728,1586058613556,1579766033199,3822122467403,833082759238,678174791731,27652497602.0,111526007631,990936608000,2578245603707,2831185859403,13899078923,31486211230,2495381082806,2473188669478,1018934417291,965542188520,835001385094,802468256590,183933032197,163073931930,48073396119,170054449646,268700833743,-116836707850,,,,2025
