current_assets,prev_current_assets,cash,inventory,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments,depreciation
,,1907796378116,,,,,,5347705409970,,,,,882436412276,602922538504,4465268997694,,,,,,360883596458.0,503397716928,-1335742998123,,,,2017,,
,,1548658558133,,,,,,5433046593422,,,,,881510902397,760998351022,4551535691025,,,241651480142.0,509756227599.0,,214932108137.0,235338135878,-505252027811,,,,2018,499440987175.0,217006618397.0
,,1574831709792,,,,,,5806087951025,,,,,1157746996133,914496222716,4648340954892,,,202652419951.0,241651480142.0,,169769227460.0,381252820138,-247318417758,,,,2019,572821111954.0,422374477247.0
,,1257495850292,,,,,,8223428815673,,,,,2572832681500,1226238809718,5650596134173,,,272046487017.0,202652419951.0,,338047021964.0,372261914839,-1529078237462,,,,2020,248533580031.0,535928621403.0
,,1353724443229,,,,,,10663783073696,,,,,4656124187351,2234633450425,6007658886345,,,151024628649.0,272046487017.0,,249178251759.0,137464407630,-1157533989780,,,,2021,186706565965.0,232987090096.0
,,502997969607,,,,,,8935573715860,,,,,3313765261202,1377507408304,5621808454658,,,,,,-886357560393.0,-408393774419,-40435688004,,,,2022,72345805974.0,184601506854.0
,,430338258320,,,,,,7915865389294,,,,,7915865389294,1128478828526,5079044788538,,,,,,-303885236393.0,-98114733894,524906701183,,,,2023,63647403230.0,129786524560.0
,,577864115437,,,,,,8177066253496,,,,,8177066253496,1145496880623,5473860209795,,,,,,3216188118.0,287708442387,36731755285,,,,2024,99131590088.0,219645346749.0
,,688942929318,,,,,,8093652130179,,,,,8093652130179,1337593297021,5492482877191,,,,,,,337793565982,-74006307155,,,,2025,142125800000.0,124180893278.0
