year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,272046487017,202652419951,2484764985888,2178677560442,272046487017,2484764985888,0.1405,0.3424,0.0,0.4065,1.0
2021,Q4,151024628649,272046487017,2506906374110,2484764985888,151024628649,2506906374110,0.0089,-0.4449,0.0,-0.4708,-1.0
2022,Q4,-108688598689,151024628649,2673408275832,2506906374110,-108688598689,2673408275832,0.0664,-1.7197,0.0,-0.7747,-1.0
2023,Q4,-68468184309,-108688598689,2502055599771,2673408275832,-68468184309,2502055599771,-0.0641,0.3701,0.0,0.4253,1.0
2024,Q1,3693042333.0,0,585386793718.0,0.0,3693042333.0,585386793718.0,0,3693042333.0,0.0,0.0,0.0
2024,Q2,111211470656.0,0,782086584242.0,0.0,111211470656.0,782086584242.0,0,111211470656.0,0.0,0.0,0.0
2024,Q3,65495481623.0,0,647310764577.0,0.0,65495481623.0,647310764577.0,0,65495481623.0,0.0,0.0,0.0
2024,Q4,215627215188,-68468184309,2663783169910,2502055599771,215627215188,2663783169910,0.0646,4.1493,0.0,0.8925,1.0
2025,Q1,49710408219.0,0,623876973162.0,0.0,49710408219.0,623876973162.0,0,49710408219.0,0.0,0.0,0.0
2025,Q2,101140974173.0,0,717640895462.0,0.0,101140974173.0,717640895462.0,0,101140974173.0,0.0,0.0,0.0
2025,Q3,90869530867.0,0,695955265610.0,0.0,90869530867.0,695955265610.0,0,90869530867.0,0.0,0.0,0.0
2025,Q4,0,215627215188,2835074411896,2663783169910,0,2835074411896,0.0643,-1.0,0.0,-0.6667,-1.0
