year,report,account,current,previous,fs_div,sj_div
2025,연간,자산총계,225224012033,212880605189,CFS,BS
2025,연간,자본총계,161681400836,168351403333,CFS,BS
2025,연간,자본과부채총계,225224012033,212880605189,CFS,BS
2025,연간,부채총계,63542611197,44529201856,CFS,BS
2025,연간,영업이익(손실),-915814382,230474890,CFS,CIS
2025,연간,매출총이익,80857900077,73306381983,CFS,CIS
2025,연간,당기순이익(손실),-5559162634,-1804843479,CFS,CIS
2025,연간,수익(매출액),155184524107,138943698757,CFS,CIS
2024,연간,자산총계,212880605189,239746992700,CFS,BS
2024,연간,자본총계,168351403333,186218369830,CFS,BS
2024,연간,자본과부채총계,212880605189,239746992700,CFS,BS
2024,연간,부채총계,44529201856,53528622870,CFS,BS
2024,연간,영업이익(손실),230474890,2211359603,CFS,CIS
2024,연간,매출총이익,73306381983,75172268247,CFS,CIS
2024,연간,당기순이익(손실),-1804843479,3508607559,CFS,CIS
2024,연간,수익(매출액),138943698757,134909837622,CFS,CIS
2023,연간,자산총계,239746992700,213451232698,CFS,BS
2023,연간,자본총계,186218369830,168256460626,CFS,BS
2023,연간,자본과부채총계,239746992700,213451232698,CFS,BS
2023,연간,부채총계,53528622870,45194772072,CFS,BS
2023,연간,영업이익(손실),2211359603,1505787596,CFS,CIS
2023,연간,매출총이익,75172268247,61971290265,CFS,CIS
2023,연간,당기순이익(손실),3508607559,251473643,CFS,CIS
2023,연간,수익(매출액),134909837622,109995418981,CFS,CIS
2022,연간,자산총계,213451232698,198477805328,CFS,BS
2022,연간,부채총계,45194772072,34985661619,CFS,BS
2022,연간,자본총계,168256460626,163492143709,CFS,BS
2022,연간,자본과부채총계,213451232698,198477805328,CFS,BS
2022,연간,수익(매출액),109995418981,101594443691,CFS,CIS
2022,연간,매출총이익,61971290265,60332612987,CFS,CIS
2022,연간,영업이익(손실),1505787596,10099118837,CFS,CIS
2022,연간,당기순이익(손실),251473643,8896137176,CFS,CIS
2025,3분기,자산총계,201818011138,212880605189,CFS,BS
2025,3분기,자본총계,157652862685,168351403333,CFS,BS
2025,3분기,자본과부채총계,201818011138,212880605189,CFS,BS
2025,3분기,부채총계,44165148453,44529201856,CFS,BS
2025,3분기,영업이익(손실),348875709,0,CFS,CIS
2025,3분기,매출총이익,21046234166,0,CFS,CIS
2025,3분기,당기순이익(손실),298958019,0,CFS,CIS
2025,3분기,수익(매출액),40803569354,0,CFS,CIS
2024,3분기,자산총계,212917704540,239746992700,CFS,BS
2024,3분기,자본총계,171355098407,186218369830,CFS,BS
2024,3분기,자본과부채총계,212917704540,239746992700,CFS,BS
2024,3분기,부채총계,41562606133,53528622870,CFS,BS
2024,3분기,영업이익(손실),430155408,0,CFS,CIS
2024,3분기,매출총이익,19797219430,0,CFS,CIS
2024,3분기,당기순이익(손실),221925805,0,CFS,CIS
2024,3분기,수익(매출액),36839656251,0,CFS,CIS
2023,3분기,자산총계,241314254427,213451232698,CFS,BS
2023,3분기,자본총계,197683937537,168256460626,CFS,BS
2023,3분기,자본과부채총계,241314254427,213451232698,CFS,BS
2023,3분기,부채총계,43630316890,45194772072,CFS,BS
2023,3분기,영업이익(손실),91213520,0,CFS,CIS
2023,3분기,매출총이익,17548398942,0,CFS,CIS
2023,3분기,당기순이익(손실),318811865,0,CFS,CIS
2023,3분기,수익(매출액),32969261606,0,CFS,CIS
2022,3분기,자산총계,186345377047,198477805328,CFS,BS
2022,3분기,부채총계,32312160646,34985661619,CFS,BS
2022,3분기,자본총계,154033216401,163492143709,CFS,BS
2022,3분기,자본과부채총계,186345377047,198477805328,CFS,BS
2022,3분기,수익(매출액),29641929655,0,CFS,CIS
2022,3분기,매출총이익,16520937889,0,CFS,CIS
2022,3분기,영업이익(손실),621847967,0,CFS,CIS
2022,3분기,당기순이익(손실),734368005,0,CFS,CIS
2025,반기,자산총계,190692900886,212880605189,CFS,BS
2025,반기,자본총계,156106469831,168351403333,CFS,BS
2025,반기,자본과부채총계,190692900886,212880605189,CFS,BS
2025,반기,부채총계,34586431055,44529201856,CFS,BS
2025,반기,영업이익(손실),1145818081,0,CFS,CIS
2025,반기,매출총이익,21937265578,0,CFS,CIS
2025,반기,당기순이익(손실),598772436,0,CFS,CIS
2025,반기,수익(매출액),40681535264,0,CFS,CIS
2024,반기,자산총계,212913925889,239746992700,CFS,BS
2024,반기,자본총계,170299167993,186218369830,CFS,BS
2024,반기,자본과부채총계,212913925889,239746992700,CFS,BS
2024,반기,부채총계,42614757896,53528622870,CFS,BS
2024,반기,영업이익(손실),-3057012579,0,CFS,CIS
2024,반기,매출총이익,15882471487,0,CFS,CIS
2024,반기,당기순이익(손실),-3323560843,0,CFS,CIS
2024,반기,수익(매출액),31592938521,0,CFS,CIS
2023,반기,자산총계,227224378988,213451232698,CFS,BS
2023,반기,부채총계,49927695389,45194772072,CFS,BS
2023,반기,자본총계,177296683599,168256460626,CFS,BS
2023,반기,자본과부채총계,227224378988,213451232698,CFS,BS
2023,반기,수익(매출액),41417986987,0,CFS,CIS
2023,반기,매출총이익,27204128210,0,CFS,CIS
2023,반기,영업이익(손실),8122061194,0,CFS,CIS
2023,반기,당기순이익(손실),7306469749,0,CFS,CIS
2022,반기,자산총계,183410928168,198477805328,CFS,BS
2022,반기,부채총계,32777585189,34985661619,CFS,BS
2022,반기,자본총계,150633342979,163492143709,CFS,BS
2022,반기,자본과부채총계,183410928168,198477805328,CFS,BS
2022,반기,수익(매출액),26249557075,0,CFS,CIS
2022,반기,매출총이익,14941348971,0,CFS,CIS
2022,반기,영업이익(손실),681541348,0,CFS,CIS
2022,반기,당기순이익(손실),-77244455,0,CFS,CIS
2026,1분기,자산총계,243834178787,225224012033,CFS,BS
2026,1분기,자본총계,162357295312,161681400836,CFS,BS
2026,1분기,자본과부채총계,243834178787,225224012033,CFS,BS
2026,1분기,부채총계,81476883475,63542611197,CFS,BS
2026,1분기,영업이익(손실),838726386,0,CFS,CIS
2026,1분기,매출총이익,21326022062,0,CFS,CIS
2026,1분기,당기순이익(손실),275003828,0,CFS,CIS
2026,1분기,수익(매출액),40030619639,0,CFS,CIS
2025,1분기,자산총계,195719003529,212880605189,CFS,BS
2025,1분기,자본총계,159304943021,168351403333,CFS,BS
2025,1분기,자본과부채총계,195719003529,212880605189,CFS,BS
2025,1분기,부채총계,36414060508,44529201856,CFS,BS
2025,1분기,영업이익(손실),-394461621,0,CFS,CIS
2025,1분기,매출총이익,19211746156,0,CFS,CIS
2025,1분기,당기순이익(손실),-207514535,0,CFS,CIS
2025,1분기,수익(매출액),36150425038,0,CFS,CIS
2024,1분기,자산총계,221516196748,239746992700,CFS,BS
2024,1분기,자본총계,178204797453,186218369830,CFS,BS
2024,1분기,자본과부채총계,221516196748,239746992700,CFS,BS
2024,1분기,부채총계,43311399295,53528622870,CFS,BS
2024,1분기,영업이익(손실),118589170,0,CFS,CIS
2024,1분기,매출총이익,18618085364,0,CFS,CIS
2024,1분기,당기순이익(손실),-323317539,0,CFS,CIS
2024,1분기,수익(매출액),34093771031,0,CFS,CIS
2023,1분기,자산총계,209132517545,213451232698,CFS,BS
2023,1분기,부채총계,43323113540,45194772072,CFS,BS
2023,1분기,자본총계,165809404005,168256460626,CFS,BS
2023,1분기,자본과부채총계,209132517545,213451232698,CFS,BS
2023,1분기,수익(매출액),28804436202,0,CFS,CIS
2023,1분기,매출총이익,15724303493,0,CFS,CIS
