current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,long_term_debt,interest_expense
,,1126274203000,,,,,,20888570158000,,,10786705628000,946760920000,20888570158000,14299511713000,0,,,,,,,843038417000.0,0.0,,1013033249000,815025918000,-655395349000,33220969000.0,,,,2017,,
,,1099823984000,,,,,,23347820007000,,,12793660095000,3302009313000,23347820007000,27256649937000,14299511713000,,,,,,,861427338000.0,843038417000.0,,283985348000,668090632000,-1785192623000,,,,,2018,,
,,2028484960000,,,,,,25715535189000,,,13830840336000,3183258255000,11884694853000,26630333352000,27256649937000,,,,,,,666593845000.0,861427338000.0,,115347380000,1205565539000,-1639842009000,,,,,2019,,
,,2038500825000,,,,,,26558952365000,,,15461098130000,2212956223000,11097854235000,18910981519000,26630333352000,,,,,,,-597108836000.0,666593845000.0,,-789719525000,887075074000,-1818404519000,,,,,2020,,
,,2137064211000,,,,,,35815655908000,,,23928156390000,1701353534000,11887499518000,28158746399000,18910981519000,,,,,,,1085411576000.0,-597108836000.0,,186012264000,205801317000,-1862489886000,527812399000.0,,,,2021,,
,,3994767866000,,,,,,65570861076000,,,42307197037000,2654698596000,23263664039000,60849668073000,28353671478000,,,,,,,3387008264000.0,1036588377000.0,,2234955013000,2133778170000,1235407171000,1241487270000.0,,,,2022,,
,,4400502623000,,,,,,67982820888000,,,67982820888000,2439211859000,23231837100000,61331302785000,60849668073000,,,,,,,,,,785832206000,3934871003000,-2622447720000,,,,,2023,,
,,5667059887000,,,,,,73866670219000,,,73866670219000,3021079419000,26385102145000,67765626088000,61331302785000,,,,,,,,,,1930179481000,7511489661000,-2400882029000,-341062754000.0,,,,2024,,
,,6367475266000,,,,,,78685890494000,,,78685890494000,3132378013000,30335091114000,71259438270000,67765626088000,,,,,,,,,,3675482625000,7384884225000,-4746311853000,,,,,2025,,
