year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,-597108836000,666593845000,18910981519000,26630333352000,-597108836000,18910981519000,-0.2899,-1.8958,0.0,-0.7913,-1.0
2021,Q4,1085411576000,-597108836000,28158746399000,18910981519000,1085411576000,28158746399000,0.489,2.8178,0.0,0.8493,1.0
2022,Q4,3387008264000,1085411576000,60849668073000,28158746399000,3387008264000,60849668073000,1.161,2.1205,0.0,0.8092,1.0
2023,Q4,2031563587000,3387008264000,61331302785000,60849668073000,2031563587000,61331302785000,0.0079,-0.4002,0.0,-0.4446,-1.0
2024,Q1,793639750000.0,0,16514417915000.0,0.0,793639750000.0,16514417915000.0,0,793639750000.0,0.0,0.0,0.0
2024,Q2,879816617000.0,0,17554834298000.0,0.0,879816617000.0,17554834298000.0,0,879816617000.0,0.0,0.0,0.0
2024,Q3,431556651000.0,0,16599169952000.0,0.0,431556651000.0,16599169952000.0,0,431556651000.0,0.0,0.0,0.0
2024,Q4,2983162778000,2031563587000,67765626088000,61331302785000,2983162778000,67765626088000,0.1049,0.4684,0.0,0.4837,1.0
2025,Q1,1286396862000.0,0,17086949449000.0,0.0,1286396862000.0,17086949449000.0,0,1286396862000.0,0.0,0.0,0.0
2025,Q2,1138886949000.0,0,17211008448000.0,0.0,1138886949000.0,17211008448000.0,0,1138886949000.0,0.0,0.0,0.0
2025,Q3,1702387189000.0,0,18224352744000.0,0.0,1702387189000.0,18224352744000.0,0,1702387189000.0,0.0,0.0,0.0
2025,Q4,6099636253000,2983162778000,71259438270000,67765626088000,6099636253000,71259438270000,0.0516,1.0447,0.0,0.6763,1.0
