current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,depreciation
96436378984,92768895571,9499037857,37420000000.0,17626224221,13779348116,12178701754,124730823162,14393783665,14082155976,0.0,0.0,20373365518,-30268170752,104357457644,82881524071,80022559942,44379161087,43122295658,38502362984,36900264284,29214146768,35114218862,285400581,-4279947876,1673607437,2026026424,3950368121,-10803442117,,,,2016,,,
138372086656,96436378984,41922274059,52166330000.0,16452306640,13378138263,13779348116,168695546893,52788362813,14393783665,0.0,0.0,57497660963,-24454938452,111197885930,84230756083,82881524071,41552077430,44379161087,42678678653,38502362984,29348969671,29214146768,3540013299,285400581,2626616946,5813253664,42138652265,-10051654114,,,,2017,19110063672.0,22677684584.0,
128408636359,138372086656,22682394423,66673300000.0,15519616531,13768866528,13378138263,162304333363,21805135773,52788362813,,,45386080654,-21335622286,116918252709,91839350940,84230756083,42813724414,41552077430,49025626526,42678678653,33007065574,29348969671,5473828377,3540013299,3996407615,3300102186,-2994392103,-16109891179,,,,2018,17522294062.0,19110063672.0,
134295046213,128408636359,6120056033,89313090000.0,13717381946,14373493239,13768866528,191383402868,27384696661,21805135773,,,50965912355,-3106028379,140417490513,108452042397,91839350940,45671624980,42813724414,62780417417,49025626526,35640202088,33007065574,17089604759,5473828377,17455220539,19174349790,20490918611,-36596849705,,,,2019,22630236559.0,17522294062.0,
129364551692,134295046213,4200417295,,19891326107,14941021397,14373493239,220132430899,23069434364,27384696661,,,38858947934,17590210602,181273482965,88602270090,108452042397,37951231683,45671624980,50651038407,62780417417,35399568434,35640202088,5935188193,17089604759,19225288903,19764498918,929290569,-2317735008,,,,2020,15728664106.0,22630236559.0,
118814675571,129364551692,12794273522,,20408182895,17732952518,14941021397,198477805328,22119700012,23069434364,,,34985661619,26382396445,163492143709,101594443691,88602270090,41261830704,37951231683,60332612987,50651038407,39771071250,35399568434,10099118837,5935188193,8702090321,8896137176,839871903,8029663062,,,,2021,15554721982.0,15728664106.0,
111788673247,118814675571,16840782324,,25183715091,17731242912,17732952518,213451232698,28534710402,22119700012,,,45194772072,29411631952,168256460626,109995418981,101594443691,48024128716,41261830704,61971290265,60332612987,43967031056,39771071250,1505787596,10099118837,1929429576,251473643,25204350565,-10592439027,,,,2022,30709423718.0,15554721982.0,10000000000.0
113577189274,111788673247,33722513722,,32384161038,18079815939,17731242912,239746992700,37651870142,28534710402,,,239746992700,31364999167,186218369830,134909837622,109995418981,59737569375,48024128716,75172268247,61971290265,49015957587,43967031056,2211359603,1505787596,-306075425,3508607559,29642920058,-11887229386,,,,2023,22524255320.0,30709423718.0,0.0
85353313757,113577189274,16386156700,,37702069041,17021438141,18079815939,212880605189,34720482983,37651870142,,,212880605189,26494980558,168351403333,138943698757,134909837622,65637316774,59737569375,73306381983,75172268247,53083294704,49015957587,230474890,2211359603,1621646531,-1804843479,9360058092,-27492828991,,,,2024,20069300281.0,22524255320.0,0.0
84912535878,85353313757,24743015950,,38111706195,15896086660,17021438141,225224012033,44467606213,34720482983,15739600000.0,15000000000.0,225224012033,21126208302,161681400836,155184524107,138943698757,74326624030,65637316774,80857900077,73306381983,81773714459,73075907093,-915814382,230474890,-620720315,-5559162634,-2340357567,-18831502662,,,,2025,,,
