current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,capex,roe,debt_ratio,opm,year
43960719353,29998338168,24834072865,7597380370.0,7054105322.0,1372862613,252432965,513262051,86571517594,18538427714,15213440117,0.0,19529789206,10632553020,67041728388,73645282523,50557050960,46319455231,34912510966,27325827292,15644539994,13514019551,11446004899,13811807741,4198535095,13066937782,8524635842,15424673317,0.0,305063206,-3825604500,,,,2016
58395470412,43960719353,25360096727,11052585408.0,7597380370.0,1653786151,24736687226,252432965,124428024149,34823349581,18538427714,0.0,38667610853,26808549360,85760413296,102241863796,73645282523,62968269737,46319455231,39273594059,27325827292,19810986912,13514019551,19462607147,13811807741,21068468114,16369258073,27110664256,0.0,279617080,-28666772897,,,,2017
82595693876,58395470412,44957699516,13894125665.0,11052585408.0,1481778495,36545283667,24736687226,159341919774,30834770493,34823349581,,31373866303,48261938685,127968053471,124821138131,102241863796,68659611563,62968269737,56161526568,39273594059,27412892298,19810986912,28748634270,19462607147,30199133606,24275342132,22396588778,,880869375,-13664689742,,,,2018
116257542821,82595693876,38658746138,,,690988886,38782757897,36545283667,207839679239,43149749830,30512693955,,45489735142,75507992104,162349944097,155435844908,124821138131,79358997387,68659611563,76076847521,56161526568,32618322776,27412892298,43458524745,28748634270,43017090481,31220337653,50943042578,49145471.0,3284344026,-58762454546,,,,2019
126952970508,116257542821,34542244171,,,448282082,40547332973,38782757897,223949702666,33334303727,43149749830,,37702367193,99912036166,186247335473,144399021991,155435844908,67501513665,79358997387,76897508326,76076847521,32761025511,32618322776,44136482815,43458524745,37987823328,29636398233,22060358410,93526188.0,3653132733,-20296736206,,,,2020
159186900028,126952970508,49138232915,,,1433494363,38286277286,40547332973,317418306083,58331683486,33334303727,,66768917247,162275837571,250649388836,193899561773,144399021991,89745860121,67501513665,104153701652,76897508326,46249940539,32761025511,57903761113,44136482815,85912417959,67500729976,45832695228,37574163.0,4134400560,-25630103967,,,,2021
237105821049,159186900028,139647280323,,,2397304762,37763727474,38286277286,411122310132,101383995470,58331683486,,106621208896,217546377622,304501101236,345892110215,193899561773,189329525299,89745860121,156562584916,104153701652,59931044946,46249940539,96631539970,57903761113,94120580393,67501258494,87648404245,90358064.0,4324161942,17078167460,,,,2022
368755808500,237105821049,217189672861,17572156680.0,-24226158357.0,24438851519,56287042425,37763727474,571533446142,154345051751,101383995470,,571533446142,310800033061,398042670936,806686665,335224145,298216964062,189329525299,268283578809,156562584916,98839668860,59931044946,169443909949,96631539970,50656124683,105016740741,151239365837,264407815.0,5760406,-60704788201,,,,2023
362268599891,368755808500,190613227749,-39206345625.0,17572156680.0,14310042165,140231005691,56287042425,678782059891,174828773094,154345051751,,678782059891,389528327045,482881501386,393689264,806686665,345406334314,298216964062,256381549018,268283578809,128119279778,98839668860,128262269240,169443909949,38441959676,97714913917,89293013736,201928160.0,40989051,-99757676006,,,,2024
496447845291,362268599891,294471835825,,,20168943120,141798664055,140231005691,851090190178,206243158446,174828773094,,226142470880,532624244530,624947719298,1087952448,393689264,518411171206,345406334314,303443463408,256381549018,148197369332,128119279778,155246094076,128262269240,62789595557,160563476080,124332829487,171202963.0,350909935,2873660277,,,,2025
