current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,depreciation,revenue,prev_revenue,accounts_receivable,prev_accounts_receivable,capex,roe,debt_ratio,opm,year
,,103226351205,147587511906,,,,2753593503931,,,,,1390704879495,811867419363,1362888624436,,,,,,,178880156479.0,209654718318.0,,32583105673,416058713234,,7637280507.0,,,,,-329140374602,,,,2016
,,114276456955,76780000000,,,,2801818454439,,,,,1317714354251,924144306991,1484104100188,,,,,,,224481550757.0,178880156479.0,,143441965513,330007004991,,,,,,,-256435876478,,,,2017
,,453401307611,75712738615,,,,6754948264541,,,,,3329299954479,1069859888095,3425648310062,,,,,,,251016488622.0,224481550757.0,,184218974433,586688731575,,13059027653.0,,,,,-158376983911,,,,2018
,,269792454423,99303655013,,,,5434907587861,,,,,2283014093463,1145527001590,3151893494398,,,,,,,269385174265.0,182069696289.0,,58615849418,743378557941,,3710995509.0,,,,,-287726419907,,,,2019
,,269742356030,441193820728,,,,6279917456928,,,,,2494738813674,1161951415725,3785178643254,,,,,,,272067865192.0,269385174265.0,,65629506717,566412764825,,1116860675.0,,,,,-1049895255625,,,,2020
,,1287375693855,198093329769,,,,7940624818521,,,,,3737319022978,1333797442896,4203305795543,,,,,,,296876105378.0,272067865192.0,,227562448542,782218621248,,5678817091.0,,,,,-727055418496,,,,2021
,,1133713181886,201648305243,,,,10332246645583,,,,,5987918870682,1180277034650,4344327774901,,,,,,,,,,-176815032777,1650761469423,,2297105494.0,,,,,-3006817105127,,,,2022
,,1032592197719,64213297721,,,,9949859715419,,,,,5772095217523,852327478179,4177764497896,,,,,,,,,,-396774722680,1296047106262,,8533491940.0,4368360656512.0,4792237788876.0,,,-1267645800375,,,,2023
,,973227664804,68603075744,,,,9316636930911,,,,,5638566211854,379501858124,3678070719057,,,,,,,,,,-580847429608,1402576859379,,2886794291.0,5231360073502.0,4368360656512.0,,,-935761131761,,,,2024
,,782050698548,81389268242,,,,8666766089199,,,,,5220924631396,411725616518,3445841457803,,,,,,,,,,17013682266,1166374650640,,11256962023.0,5134511101925.0,5231360073502.0,,,-1023237645415,,,,2025
